Summer 2023,,Chaldea Summer Adventure,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,These calculations were done assuming Drop Rate +100% on treasure chests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Drifting Coast,30,30,Event,12,,2.669,1.614,,6501,Phoenix Feather,15.22,197.1,AP,0.266,0.146,,6006,Gem of Assassin,10.15,295.6,AP,0.025,,,7006,Assassin Piece,9.85,304.6,AP,0.052,,,,,,,,,,,,,,,,,,,6516,Evil Bone,40,75.0,AP,0.248,0.164,,6512,Dragon Fang,40,75.0,AP,0.335,0.217,,6534,Mystic Gunpowder,40,75.0,AP,0.365,0.225,,6527,Deadly Poison Needle,40,75.0,AP,0.405,0.248,,6530,Mystic Spinal Fluid,40,75.0,AP,0.383,0.209,,6509,Serpent Jewel,8.8,340.9,AP,0.130,0.080,,6526,Shell of Reminiscense,8.8,340.9,AP,0.136,0.085,,6508,Ghost Lantern,8.8,340.9,AP,0.134,0.086,,6537,Giant's Ring,8.8,340.9,AP,0.131,0.074,,6547,Ball of Rainbow Thread,8.8,340.9,AP,0.135,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Caribbean Street,35,35,Event,12,,5.840,3.404,,6534,Mystic Gunpowder,35.22,99.4,AP,0.276,0.170,,6001,Gem of Saber,16.36,213.9,AP,0.035,,,7001,Saber Piece,11.01,317.9,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509,Serpent Jewel,40,87.5,AP,0.506,0.311,,6526,Shell of Reminiscense,40,87.5,AP,0.531,0.330,,6508,Ghost Lantern,40,87.5,AP,0.523,0.335,,6537,Giant's Ring,40,87.5,AP,0.510,0.288,,6547,Ball of Rainbow Thread,40,87.5,AP,0.526,0.321,,6506,Dragon's Reverse Scale,16,218.8,AP,0.752,0.440,,6546,Fruit of Eternity,16,218.8,AP,0.421,0.213,,6528,Primordial Lanugo,16,218.8,AP,0.470,0.280,,6531,Mysterious Divine Wine,16,218.8,AP,0.645,0.317,,6544,Fragment of a Twinkling Star,16,218.8,AP,0.679,0.399,,"3,400",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hidden Cove,40,40,Event,12,,7.582,4.256,,6502,Seed of Yggdrasil,33.79,118.4,AP,0.297,0.162,,6103,Magic Gem of Lancer,11.33,353.0,AP,0.057,,,7003,Lancer Piece,16.7,239.5,AP,0.078,,,6003,Gem of Lancer,22.65,176.6,AP,0.048,,,,,,,,,,,6516,Evil Bone,24.4,163.9,AP,0.113,0.075,,6512,Dragon Fang,24.4,163.9,AP,0.153,0.099,,6534,Mystic Gunpowder,24.4,163.9,AP,0.167,0.103,,6527,Deadly Poison Needle,24.4,163.9,AP,0.185,0.113,,6530,Mystic Spinal Fluid,24.4,163.9,AP,0.175,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6506,Dragon's Reverse Scale,40,100.0,AP,1.645,0.963,,6546,Fruit of Eternity,40,100.0,AP,0.922,0.465,,6528,Primordial Lanugo,40,100.0,AP,1.028,0.613,,6531,Mysterious Divine Wine,40,100.0,AP,1.410,0.693,,6544,Fragment of a Twinkling Star,40,100.0,AP,1.486,0.874,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Secluded Isle,40,40,Event,12,,4.381,2.658,,6537,Giant's Ring,36.16,110.6,AP,0.403,0.227,,6102,Magic Gem of Archer,28.43,140.7,AP,0.142,,,7002,Archer Piece,21.28,188.0,AP,0.100,,,,,,,,,,,,,,,,,,,6516,Evil Bone,52.4,76.3,AP,0.244,0.161,,6512,Dragon Fang,52.4,76.3,AP,0.329,0.213,,6534,Mystic Gunpowder,52.4,76.3,AP,0.359,0.221,,6527,Deadly Poison Needle,52.4,76.3,AP,0.398,0.243,,6530,Mystic Spinal Fluid,52.4,76.3,AP,0.376,0.205,,6509,Serpent Jewel,40,100.0,AP,0.443,0.272,,6526,Shell of Reminiscense,40,100.0,AP,0.465,0.289,,6508,Ghost Lantern,40,100.0,AP,0.458,0.293,,6537,Giant's Ring,40,100.0,AP,0.446,0.252,,6547,Ball of Rainbow Thread,40,100.0,AP,0.460,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Japanese Archeological Site,40,40,Event,12,,9.970,5.731,,6547,Ball of Rainbow Thread,43.67,91.6,AP,0.502,0.306,,6104,Magic Gem of Rider,33.31,120.1,AP,0.180,,,7104,Rider Monument,8.89,449.9,AP,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509,Serpent Jewel,52.4,76.3,AP,0.580,0.357,,6526,Shell of Reminiscense,52.4,76.3,AP,0.609,0.379,,6508,Ghost Lantern,52.4,76.3,AP,0.600,0.384,,6537,Giant's Ring,52.4,76.3,AP,0.584,0.330,,6547,Ball of Rainbow Thread,52.4,76.3,AP,0.603,0.368,,6506,Dragon's Reverse Scale,40,100.0,AP,1.645,0.963,,6546,Fruit of Eternity,40,100.0,AP,0.922,0.465,,6528,Primordial Lanugo,40,100.0,AP,1.028,0.613,,6531,Mysterious Divine Wine,40,100.0,AP,1.410,0.693,,6544,Fragment of a Twinkling Star,40,100.0,AP,1.486,0.874,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Seabed Cavern,40,40,Event,12,,10.726,6.021,,6520,Tearstone of Blood,18.59,215.2,AP,0.525,0.262,,6545,Divine Leyline Spiritron,34.34,116.5,AP,0.396,0.236,,6106,Magic Gem of Assassin,21.45,186.5,AP,0.102,,,7106,Assassin Monument,11.2,357.1,AP,0.135,,,6006,Gem of Assassin,34.6,115.6,AP,0.064,,,6516,Evil Bone,40,100.0,AP,0.186,0.123,,6512,Dragon Fang,40,100.0,AP,0.251,0.162,,6534,Mystic Gunpowder,40,100.0,AP,0.274,0.169,,6527,Deadly Poison Needle,40,100.0,AP,0.304,0.186,,6530,Mystic Spinal Fluid,40,100.0,AP,0.287,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6506,Dragon's Reverse Scale,52.4,76.3,AP,2.155,1.262,,6546,Fruit of Eternity,52.4,76.3,AP,1.208,0.610,,6528,Primordial Lanugo,52.4,76.3,AP,1.347,0.803,,6531,Mysterious Divine Wine,52.4,76.3,AP,1.847,0.907,,6544,Fragment of a Twinkling Star,52.4,76.3,AP,1.947,1.145,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Clouded Mountain,40,40,Event,12,,5.352,3.212,,6523,Lamp of Evil-Sealing,23.99,166.7,AP,0.573,0.329,,6532,Refined Magatama,37.21,107.5,AP,0.410,0.214,,6105,Magic Gem of Caster,22.73,176.0,AP,0.100,,,7105,Caster Monument,16.2,246.9,AP,0.198,,,6005,Gem of Caster,27.4,146.0,AP,0.056,,,6516,Evil Bone,64.4,62.1,AP,0.299,0.197,,6512,Dragon Fang,64.4,62.1,AP,0.404,0.261,,6534,Mystic Gunpowder,64.4,62.1,AP,0.441,0.272,,6527,Deadly Poison Needle,64.4,62.1,AP,0.489,0.299,,6530,Mystic Spinal Fluid,64.4,62.1,AP,0.462,0.252,,6509,Serpent Jewel,40,100.0,AP,0.443,0.272,,6526,Shell of Reminiscense,40,100.0,AP,0.465,0.289,,6508,Ghost Lantern,40,100.0,AP,0.458,0.293,,6537,Giant's Ring,40,100.0,AP,0.446,0.252,,6547,Ball of Rainbow Thread,40,100.0,AP,0.460,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Gigantic Ancient Ruins,40,40,Event,12,,11.332,6.542,,6506,Dragon's Reverse Scale,20.62,194.0,AP,0.848,0.497,,6527,Deadly Poison Needle,47.1,84.9,AP,0.358,0.219,,6201,Secret Gem of Saber,20.58,194.4,AP,0.356,,,7101,Saber Monument,18.7,213.9,AP,0.232,,,6001,Gem of Saber,22.8,175.4,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509,Serpent Jewel,64,62.5,AP,0.709,0.436,,6526,Shell of Reminiscense,64,62.5,AP,0.744,0.462,,6508,Ghost Lantern,64,62.5,AP,0.733,0.469,,6537,Giant's Ring,64,62.5,AP,0.714,0.403,,6547,Ball of Rainbow Thread,64,62.5,AP,0.736,0.449,,6506,Dragon's Reverse Scale,40,100.0,AP,1.645,0.963,,6546,Fruit of Eternity,40,100.0,AP,0.922,0.465,,6528,Primordial Lanugo,40,100.0,AP,1.028,0.613,,6531,Mysterious Divine Wine,40,100.0,AP,1.410,0.693,,6544,Fragment of a Twinkling Star,40,100.0,AP,1.486,0.874,,"8,900",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Pirates' Ocean,40,40,Event,12,,13.029,7.372,,6544,Fragment of a Twinkling Star,21.16,189.0,AP,0.786,0.462,,6526,Shell of Reminiscense,42.2,94.8,AP,0.491,0.305,,6207,Secret Gem of Berserker,31.49,127.0,AP,0.589,,,7107,Berserker Monument,21,190.5,AP,0.252,,,6007,Gem of Berserker,23,173.9,AP,0.040,,,6516,Evil Bone,40,100.0,AP,0.186,0.123,,6512,Dragon Fang,40,100.0,AP,0.251,0.162,,6534,Mystic Gunpowder,40,100.0,AP,0.274,0.169,,6527,Deadly Poison Needle,40,100.0,AP,0.304,0.186,,6530,Mystic Spinal Fluid,40,100.0,AP,0.287,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6506,Dragon's Reverse Scale,64.4,62.1,AP,2.648,1.551,,6546,Fruit of Eternity,64.4,62.1,AP,1.484,0.749,,6528,Primordial Lanugo,64.4,62.1,AP,1.655,0.987,,6531,Mysterious Divine Wine,64.4,62.1,AP,2.270,1.115,,6544,Fragment of a Twinkling Star,64.4,62.1,AP,2.392,1.407,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Caribbean FINAL,40,40,Event,12,,12.290,7.038,,6539,Reactor Core of Dawn,31.17,128.3,AP,0.720,0.364,,6541,Arrowhead of Malice,52.54,76.1,AP,0.599,0.362,,6203,Secret Gem of Lancer,31.17,128.3,AP,0.574,,,7103,Lancer Monument,26.4,151.5,AP,0.315,,,6103,Magic Gem of Lancer,22.4,178.6,AP,0.112,,,6516,Evil Bone,43.6,91.7,AP,0.203,0.134,,6512,Dragon Fang,43.6,91.7,AP,0.274,0.177,,6534,Mystic Gunpowder,43.6,91.7,AP,0.299,0.184,,6527,Deadly Poison Needle,43.6,91.7,AP,0.331,0.202,,6530,Mystic Spinal Fluid,43.6,91.7,AP,0.313,0.171,,6509,Serpent Jewel,43.6,91.7,AP,0.483,0.297,,6526,Shell of Reminiscense,43.6,91.7,AP,0.507,0.315,,6508,Ghost Lantern,43.6,91.7,AP,0.499,0.319,,6537,Giant's Ring,43.6,91.7,AP,0.486,0.274,,6547,Ball of Rainbow Thread,43.6,91.7,AP,0.501,0.306,,6506,Dragon's Reverse Scale,43.6,91.7,AP,1.793,1.050,,6546,Fruit of Eternity,43.6,91.7,AP,1.005,0.507,,6528,Primordial Lanugo,43.6,91.7,AP,1.121,0.668,,6531,Mysterious Divine Wine,43.6,91.7,AP,1.537,0.755,,6544,Fragment of a Twinkling Star,43.6,91.7,AP,1.620,0.952,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
