Summer 2024,,Arctic Summer World,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Flower Park: Guide,30,30,Event,12,,0.174,0.106,,6527,Deadly Poison Needle,17.18,174.6,AP,0.174,0.106,,6005,Gem of Caster,11.2,267.9,AP,0.031,,,7005,Caster Piece,8.33,360.1,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Flower Park: Look After,35,35,Event,12,,0.295,0.216,,6514,Homunculus Baby,22.75,153.8,AP,0.295,0.216,,6103,Magic Gem of Lancer,8.28,422.7,AP,0.047,,,7003,Lancer Piece,12.2,286.9,AP,0.065,,,6003,Gem of Lancer,11.6,301.7,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,400",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Walking Tree Forest,40,40,Event,12,,0.309,0.169,,6530,Mystic Spinal Fluid,43,93.0,AP,0.309,0.169,,6101,Magic Gem of Saber,11.7,341.9,AP,0.064,,,7001,Saber Piece,16.9,236.7,AP,0.079,,,6001,Gem of Saber,22.7,176.2,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Argo's Adventure,40,40,Event,12,,0.618,0.335,,6507,Claw of Chaos,13.82,289.4,AP,0.319,0.188,,6515,Octuplet Crystal,25.83,154.9,AP,0.299,0.146,,6107,Magic Gem of Berserker,16.5,242.4,AP,0.091,,,7007,Berserker Piece,19.8,202.0,AP,0.096,,,6007,Gem of Berserker,23.1,173.2,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Thrilling Erice-Land,40,40,Event,12,,0.725,0.404,,6539,Reactor Core of Dawn,17.05,234.6,AP,0.394,0.199,,6526,Shell of Reminiscense,28.45,140.6,AP,0.331,0.206,,6102,Magic Gem of Archer,19.3,207.3,AP,0.097,,,7102,Archer Monument,7.3,547.9,AP,0.088,,,6002,Gem of Archer,23.7,168.8,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hawaiian Genji,40,40,Event,12,,0.827,0.455,,6523,Lamp of Evil-Sealing,18.7,213.9,AP,0.447,0.256,,6532,Refined Magatama,34.51,115.9,AP,0.380,0.199,,6105,Magic Gem of Caster,28.5,140.4,AP,0.125,,,7105,Caster Monument,10.7,373.8,AP,0.131,,,6005,Gem of Caster,22,181.8,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
North Pole Magical Ice Castle,40,40,Event,12,,1.017,0.675,,6528,Primordial Lanugo,23.15,172.8,AP,0.595,0.355,,6513,Meteor Horseshoes,38.8,103.1,AP,0.422,0.321,,6101,Magic Gem of Saber,24.5,163.3,AP,0.135,,,7101,Saber Monument,15.2,263.2,AP,0.188,,,6001,Gem of Saber,28.4,140.8,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Oni Haunted House,40,40,Event,12,,1.221,0.739,,6525,Scarab of Wisdom,20.4,196.1,AP,0.779,0.456,,6508,Ghost Lantern,38.64,103.5,AP,0.442,0.283,,6206,Secret Gem of Assassin,15.9,251.6,AP,0.293,,,7106,Assassin Monument,17.4,229.9,AP,0.210,,,6006,Gem of Assassin,35.8,111.7,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Mini ServaFes Hall,40,40,Event,12,,1.289,0.767,,6548,Flaming Oni Lantern Plant,21.24,188.3,AP,0.836,0.511,,6537,Giant's Ring,40.69,98.3,AP,0.454,0.256,,6207,Secret Gem of Berserker,19.9,201.0,AP,0.372,,,7107,Berserker Monument,21.8,183.5,AP,0.262,,,6107,Magic Gem of Berserker,32.7,122.3,AP,0.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Arctic Tower: Petting Time,40,40,Event,12,,1.573,1.012,,6517,Heart of the Foreign God,27.71,144.4,AP,1.054,0.656,,6535,Eternal Ice,50.74,78.8,AP,0.519,0.356,,6204,Secret Gem of Rider,20.5,195.1,AP,0.375,,,7104,Rider Monument,26.5,150.9,AP,0.322,,,6104,Magic Gem of Rider,22.5,177.8,AP,0.122,,,6004,Gem of Rider,16.1,248.4,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
