Tunguska Sanctuary,,"Non-Prime Species Biosphere, Tunguska Sanctuary",Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
AM602-Ivan: Raid 1,40,40,Raid 1,12,,3.251,1.971,,6529,Cursed Beast Gallstone,28.36,141.0,AP,1.114,0.547,,6535,Eternal Ice,76.93,52.0,AP,0.787,0.540,,6513,Meteor Horseshoes,76,52.6,AP,0.827,0.628,,6503,Proof of Hero,112.15,35.7,AP,0.524,0.257,,6204,Secret Gem of Rider,49.64,80.6,AP,0.908,,,6104,Magic Gem of Rider,97.4,41.1,AP,0.526,,,6004,Gem of Rider,108.3,36.9,AP,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,504,650",112616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
R-36M2-Voevoda: Raid 2,40,40,Raid 2,12,,3.606,2.196,,6525,Scarab of Wisdom,30.21,132.4,AP,1.153,0.675,,6536,Aurora Steel,80.95,49.4,AP,0.911,0.558,,6547,Ball of Rainbow Thread,80.97,49.4,AP,0.931,0.568,,6512,Dragon Fang,97.38,41.1,AP,0.611,0.395,,6201,Secret Gem of Saber,50.56,79.1,AP,0.875,,,6101,Magic Gem of Saber,96.7,41.4,AP,0.532,,,6001,Gem of Saber,107.5,37.2,AP,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,506,150",112654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Strange Retainer: I,40,40,Raid 3,12,,1.754,1.071,,6519,Warhorse's Young Horn,42.57,94.0,AP,0.915,0.554,,6534,Mystic Gunpowder,122.45,32.7,AP,0.839,0.517,,6201,Secret Gem of Saber,20.63,193.9,AP,0.357,,,6207,Secret Gem of Berserker,9.23,433.4,AP,0.173,,,6101,Magic Gem of Saber,61.6,64.9,AP,0.339,,,6107,Magic Gem of Berserker,23.3,171.7,AP,0.128,,,6001,Gem of Saber,90,44.4,AP,0.167,,,6007,Gem of Berserker,40.5,98.8,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,360,750",84019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Strange Retainer: III,40,40,Raid 3,12,,1.898,0.996,,6539,Reactor Core of Dawn,42.9,93.2,AP,0.991,0.500,,6530,Mystic Spinal Fluid,126.45,31.6,AP,0.907,0.496,,6202,Secret Gem of Archer,37.26,107.4,AP,0.665,,,6102,Magic Gem of Archer,93.71,42.7,AP,0.469,,,6002,Gem of Archer,116.3,34.4,AP,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,814,300",95358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Strange Retainer: IV,40,40,Raid 3,12,,2.280,1.385,,6521,Black Beast Grease,49.14,81.4,AP,1.140,0.695,,6541,Arrowhead of Malice,100,40.0,AP,1.140,0.690,,6207,Secret Gem of Berserker,28.57,140.0,AP,0.534,,,6107,Magic Gem of Berserker,88.14,45.4,AP,0.485,,,6007,Gem of Berserker,137.1,29.2,AP,0.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,357,750",83944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Strange Retainer: V,40,40,Raid 3,12,,2.440,1.440,,6544,Fragment of a Twinkling Star,35.03,114.2,AP,1.301,0.765,,6522,Fool's Chain,173.25,23.1,AP,1.139,0.675,,6204,Secret Gem of Rider,46.5,86.0,AP,0.851,,,6104,Magic Gem of Rider,94.9,42.1,AP,0.512,,,6004,Gem of Rider,103.2,38.8,AP,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,515,050",112876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Strange Retainer: LWB-MB,40,40,Raid 3,12,,2.460,1.415,,6528,Primordial Lanugo,55.88,71.6,AP,1.436,0.856,,6502,Seed of Yggdrasil,116.67,34.3,AP,1.024,0.559,,6206,Secret Gem of Assassin,36.27,110.3,AP,0.667,,,6106,Magic Gem of Assassin,95.1,42.1,AP,0.452,,,6006,Gem of Assassin,119.6,33.4,AP,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,782,100",94553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Strange Retainer: HWB-MB,40,40,Raid 3,12,,3.166,1.925,,6528,Primordial Lanugo,65.14,61.4,AP,1.674,0.998,,6526,Shell of Reminiscense,128.33,31.2,AP,1.492,0.927,,6204,Secret Gem of Rider,16.03,249.5,AP,0.293,,,6205,Secret Gem of Caster,11.58,345.4,AP,0.143,,,6206,Secret Gem of Assassin,11.57,345.7,AP,0.213,,,6207,Secret Gem of Berserker,8.92,448.4,AP,0.167,,,6104,Magic Gem of Rider,23.17,172.6,AP,0.125,,,6105,Magic Gem of Caster,24.05,166.3,AP,0.106,,,6106,Magic Gem of Assassin,23.21,172.3,AP,0.110,,,6107,Magic Gem of Berserker,26.77,149.4,AP,0.147,,,6004,Gem of Rider,22.25,179.8,AP,0.047,,,6005,Gem of Caster,28.53,140.2,AP,0.058,,,6006,Gem of Assassin,30.27,132.1,AP,0.056,,,6007,Gem of Berserker,31.25,128.0,AP,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,461,900",111548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Beast IV: Raid 4,40,40,Raid 4,12,,12.396,6.735,,6540,Tsukumo Mirror,35.82,111.7,AP,1.371,0.674,,6531,Mysterious Divine Wine,65.96,60.6,AP,2.325,1.142,,6518,Spirit Root,47.76,83.8,AP,1.834,0.898,,6509,Serpent Jewel,78.7,50.8,AP,0.872,0.536,,6524,Great Knight Medal,116.41,34.4,AP,1.574,0.902,,6537,Giant's Ring,174.16,23.0,AP,1.942,1.096,,6550,Scale of Fantasy,97.23,41.1,AP,1.128,0.696,,6549,Small Bell of Absolution,186.26,21.5,AP,1.350,0.791,,6201,Secret Gem of Saber,9.5,421.1,AP,0.164,,,6202,Secret Gem of Archer,8.8,454.5,AP,0.157,,,6203,Secret Gem of Lancer,37.9,105.5,AP,0.697,,,6204,Secret Gem of Rider,9.5,421.1,AP,0.174,,,6205,Secret Gem of Caster,38.3,104.4,AP,0.473,,,6206,Secret Gem of Assassin,9.2,434.8,AP,0.169,,,6207,Secret Gem of Berserker,9.9,404.0,AP,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,360,750",84019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
