Sea Monster Crisis,,Sea Monster Crisis,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Left Beach: Beg,40,40,Event,12,,0.427,0.263,,6509,Serpent Jewel,38.58,103.7,AP,0.427,0.263,,6105,Magic Gem of Caster,11.8,339.0,AP,0.052,,,7005,Caster Piece,20.9,191.4,AP,0.080,,,6005,Gem of Caster,22.7,176.2,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Left Beach: Int,40,40,Event,12,,0.861,0.464,,6520,Tearstone of Blood,19.68,203.3,AP,0.555,0.278,,6527,Deadly Poison Needle,40.16,99.6,AP,0.305,0.186,,6101,Magic Gem of Saber,12.5,320.0,AP,0.069,,,7001,Saber Piece,23.6,169.5,AP,0.111,,,6005,Gem of Caster,17.5,228.6,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Large Palm Forest,40,40,Event,12,,0.753,0.416,,6507,Claw of Chaos,19.95,200.5,AP,0.461,0.272,,6505,Void's Dust,40.49,98.8,AP,0.293,0.144,,6103,Magic Gem of Lancer,22.9,174.7,AP,0.115,,,7003,Lancer Piece,17.7,226.0,AP,0.082,,,6107,Magic Gem of Berserker,11.8,339.0,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Streaming Waterfall,40,40,Event,12,,0.999,0.607,,6521,Black Beast Grease,24.58,162.7,AP,0.570,0.348,,6541,Arrowhead of Malice,37.57,106.5,AP,0.428,0.259,,6102,Magic Gem of Archer,18.6,215.1,AP,0.093,,,7102,Archer Monument,18.1,221.0,AP,0.219,,,6002,Gem of Archer,10.8,370.4,AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Turtle Mine: Mining,40,40,Event,12,,1.132,0.624,,6544,Fragment of a Twinkling Star,19.02,210.3,AP,0.707,0.415,,6510,Eternal Gear,38.31,104.4,AP,0.425,0.209,,6204,Secret Gem of Rider,8.29,482.5,AP,0.152,,,7104,Rider Monument,18.2,219.8,AP,0.221,,,6104,Magic Gem of Rider,34.2,117.0,AP,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Turtle Mine: Cave,40,40,Event,12,,1.094,0.648,,6523,Lamp of Evil-Sealing,26.09,153.3,AP,0.624,0.357,,6550,Scale of Fantasy,40.57,98.6,AP,0.471,0.291,,6101,Magic Gem of Saber,25.1,159.4,AP,0.138,,,7101,Saber Monument,20.4,196.1,AP,0.253,,,6001,Gem of Saber,17,235.3,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Sahara Forest,40,40,Event,12,,0.930,0.514,,6546,Fruit of Eternity,23.82,167.9,AP,0.549,0.277,,6533,Stake of Wailing Night,55.82,71.7,AP,0.381,0.237,,6207,Secret Gem of Berserker,11.57,345.7,AP,0.216,,,7107,Berserker Monument,21,190.5,AP,0.252,,,6007,Gem of Berserker,18.6,215.1,AP,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Uhura River,40,40,Event,12,,1.044,0.634,,6519,Warhorse's Young Horn,26.44,151.3,AP,0.568,0.344,,6547,Ball of Rainbow Thread,41.34,96.8,AP,0.475,0.290,,6106,Magic Gem of Assassin,45.9,87.1,AP,0.218,,,7106,Assassin Monument,19.8,202.0,AP,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Cape Toe,40,40,Event,12,,1.318,0.716,,6529,Cursed Beast Gallstone,21.77,183.7,AP,0.855,0.420,,6508,Ghost Lantern,40.41,99.0,AP,0.463,0.296,,6107,Magic Gem of Berserker,30.2,132.5,AP,0.166,,,7107,Berserker Monument,19.8,202.0,AP,0.238,,,6007,Gem of Berserker,22,181.8,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Right Harbor,40,40,Event,12,,1.250,0.638,,6540,Tsukumo Mirror,21.15,189.1,AP,0.810,0.398,,6530,Mystic Spinal Fluid,61.33,65.2,AP,0.440,0.240,,6205,Secret Gem of Caster,16.27,245.9,AP,0.201,,,7105,Caster Monument,22.8,175.4,AP,0.278,,,6105,Magic Gem of Caster,17.4,229.9,AP,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
