Space Phantasmoon,,Space Phantasmoon,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,"The 2nd Raid in this Event drops currency which can be exchanged for 1 of 5 different Materials. This sheet simulates this by copying the 2nd Raid's drop data 5 times, with each copy ""dropping"" 1 of the Materials that can be exchanged for. The Material drop rate is the same as the currency drop rate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Bloody Dating Sim Stream,30,30,165,Event,12,,0.103,0.050,,6503,Proof of Hero,16.51,181.7,AP,0.103,0.050,,6003,Gem of Lancer,14.68,204.4,AP,0.041,,,7003,Lancer Piece,11.93,251.5,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
This Year's Best 5,35,35,265,Event,12,,0.249,0.125,,6510,Eternal Gear,20.95,167.1,AP,0.249,0.125,,6104,Magic Gem of Rider,9.52,367.6,AP,0.059,,,7004,Rider Piece,8.57,408.4,AP,0.045,,,6004,Gem of Rider,11.43,306.2,AP,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dance Cover,40,40,415,Event,12,,0.305,0.182,,6522,Fool's Chain,46.43,86.2,AP,0.305,0.182,,6105,Magic Gem of Caster,11.43,350.0,AP,0.051,,,7005,Caster Piece,20.71,193.1,AP,0.080,,,6005,Gem of Caster,16.43,243.5,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Free Talk,40,40,615,Event,12,,0.708,0.426,,6545,Divine Leyline Spiritron,35,114.3,AP,0.405,0.248,,6508,Ghost Lantern,26.5,150.9,AP,0.303,0.178,,6106,Magic Gem of Assassin,14,285.7,AP,0.066,,,7106,Assassin Monument,13,307.7,AP,0.158,,,6006,Gem of Assassin,26,153.8,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hand-Picked FPS Stream,40,40,715,Event,12,,0.696,0.384,,6539,Reactor Core of Dawn,17.06,234.5,AP,0.394,0.199,,6534,Mystic Gunpowder,44.08,90.7,AP,0.302,0.186,,6102,Magic Gem of Archer,28.91,138.4,AP,0.145,,,7102,Archer Monument,13.27,301.4,AP,0.163,,,6002,Gem of Archer,15.64,255.8,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Artoria Craft,40,40,815,Event,12,,0.763,0.467,,6528,Primordial Lanugo,18.32,218.3,AP,0.476,0.279,,6516,Evil Bone,61.39,65.2,AP,0.287,0.188,,6107,Magic Gem of Berserker,22.28,179.5,AP,0.123,,,7107,Berserker Monument,13.37,299.2,AP,0.161,,,6007,Gem of Berserker,27.23,146.9,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Play With Me,40,40,915,Event,12,,1.276,0.634,,6540,Tsukumo Mirror,20.87,191.7,AP,0.832,0.417,,6515,Octuplet Crystal,38.42,104.1,AP,0.444,0.217,,6103,Magic Gem of Lancer,31.04,128.9,AP,0.156,,,7103,Lancer Monument,21.12,189.4,AP,0.252,,,6003,Gem of Lancer,35.11,113.9,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Karaoke,40,40,"1,098",Event,12,,1.745,1.015,,6542,Egg of Truth,26.24,152.4,AP,1.043,0.614,,6524,Great Knight Medal,51.55,77.6,AP,0.702,0.402,,6201,Secret Gem of Saber,25.08,159.5,AP,0.451,,,7101,Saber Monument,26.24,152.4,AP,0.321,,,6101,Magic Gem of Saber,32.84,121.8,AP,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Call-In Stream,40,40,"1,318",Event,12,,1.872,0.965,,6517,Heart of the Foreign God,30.1,132.9,AP,1.146,0.520,,6553,Sun Leather,63.97,62.5,AP,0.726,0.445,,6202,Secret Gem of Archer,31.07,128.7,AP,0.558,,,7104,Rider Monument,8.52,469.5,AP,0.106,,,6102,Magic Gem of Archer,34.09,117.3,AP,0.170,,,7105,Caster Monument,7.66,522.2,AP,0.093,,,7106,Assassin Monument,8.74,457.7,AP,0.106,,,7107,Berserker Monument,9.17,436.2,AP,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
King Santa Neco-Arc: Village,40,40,"1,830",Raid 1,12,,2.255,1.287,,6544,Fragment of a Twinkling Star,17.09,234.1,AP,0.644,0.385,,6547,Ball of Rainbow Thread,50.63,79.0,AP,0.578,0.353,,6514,Homunculus Baby,51.9,77.1,AP,0.589,0.347,,6505,Void's Dust,61.39,65.2,AP,0.444,0.201,,6204,Secret Gem of Rider,13.92,287.4,AP,0.255,,,6205,Secret Gem of Caster,12.66,316.0,AP,0.157,,,6206,Secret Gem of Assassin,16.46,243.0,AP,0.301,,,6207,Secret Gem of Berserker,12.03,332.5,AP,0.223,,,6104,Magic Gem of Rider,9.49,421.5,AP,0.051,,,6105,Magic Gem of Caster,12.66,316.0,AP,0.056,,,6106,Magic Gem of Assassin,17.72,225.7,AP,0.084,,,6107,Magic Gem of Berserker,8.23,486.0,AP,0.045,,,6004,Gem of Rider,8.23,486.0,AP,0.017,,,6005,Gem of Caster,7.59,527.0,AP,0.016,,,6006,Gem of Assassin,4.43,902.9,AP,0.008,,,6007,Gem of Berserker,7.59,527.0,AP,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400","3,637,975",91184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
