Summer 2026,,Celeb Summer Experience,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Dubai Airport,30,30,165,Event,12,,0.106,0.062,,6512,Dragon Fang,12.7,236.2,AP,0.106,0.062,,6004,Gem of Rider,18.02,166.5,AP,0.050,,,7004,Rider Piece,13.59,220.8,AP,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Downtown,35,35,265,Event,12,,0.251,0.154,,6534,Mystic Gunpowder,32.06,109.2,AP,0.251,0.154,,6103,Magic Gem of Lancer,7.46,469.2,AP,0.043,,,7003,Lancer Piece,15.19,230.4,AP,0.081,,,6003,Gem of Lancer,11.18,313.1,AP,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Marion Hotel: Flavor Hanuman,40,40,415,Event,12,,0.295,0.181,,6552,Ash of Remembrance,39.38,101.6,AP,0.295,0.181,,6101,Magic Gem of Saber,11.34,352.7,AP,0.063,,,7001,Saber Piece,19.73,202.7,AP,0.093,,,6001,Gem of Saber,16.33,244.9,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Marion Hotel: Banquet ot Kings,40,40,"1,098",Event,12,,1.607,0.952,,6544,Fragment of a Twinkling Star,25.88,154.6,AP,0.972,0.574,,6556,Ether Photon Converger,54.93,72.8,AP,0.634,0.378,,6203,Secret Gem of Lancer,26.16,152.9,AP,0.481,,,7107,Berserker Monument,7.11,562.6,AP,0.086,,,6103,Magic Gem of Lancer,27.34,146.3,AP,0.137,,,6003,Gem of Lancer,17.52,228.3,AP,0.037,,,7104,Rider Monument,6.59,607.0,AP,0.082,,,7105,Caster Monument,6.7,597.0,AP,0.082,,,7106,Assassin Monument,7.1,563.4,AP,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dubai Beach,40,40,515,Event,12,,0.557,0.326,,6546,Fruit of Eternity,12.88,310.6,AP,0.296,0.149,,6535,Eternal Ice,25.66,155.9,AP,0.262,0.177,,6107,Magic Gem of Berserker,16.41,243.8,AP,0.090,,,7007,Berserker Piece,4.65,860.2,AP,0.023,,,6007,Gem of Berserker,16.27,245.9,AP,0.028,,,7004,Rider Piece,6.04,662.3,AP,0.028,,,7005,Caster Piece,7.16,558.7,AP,0.028,,,7006,Assassin Piece,5.9,678.0,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dubai Mall: Hundred Faces,40,40,615,Event,12,,0.748,0.440,,6528,Primordial Lanugo,15.49,258.2,AP,0.403,0.237,,6508,Ghost Lantern,30.19,132.5,AP,0.345,0.204,,6106,Magic Gem of Assassin,21.96,182.1,AP,0.104,,,7106,Assassin Monument,11.09,360.7,AP,0.135,,,6006,Gem of Assassin,22.49,177.9,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dubai Mall: Should Buy It,40,40,715,Event,12,,0.516,0.235,,6509,Serpent Jewel,45.91,87.1,AP,0.516,0.235,,6105,Magic Gem of Caster,22.25,179.8,AP,0.098,,,7105,Caster Monument,13.7,292.0,AP,0.167,,,6005,Gem of Caster,24.03,166.5,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Business District,40,40,765,Event,12,,0.914,0.532,,6521,Black Beast Grease,21.08,189.8,AP,0.489,0.298,,6526,Shell of Reminiscence,36.71,109.0,AP,0.426,0.234,,6107,Magic Gem of Berserker,22.6,177.0,AP,0.124,,,7107,Berserker Monument,15.18,263.5,AP,0.184,,,6007,Gem of Berserker,23.3,171.7,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Desert Suburbs: Escapade,40,40,815,Event,12,,1.069,0.594,,6531,Mysterious Divine Wine,18.2,219.8,AP,0.645,0.335,,6547,Ball of Rainbow Thread,36.98,108.2,AP,0.423,0.258,,6202,Secret Gem of Archer,16.87,237.1,AP,0.305,,,7102,Archer Monument,14.2,281.7,AP,0.175,,,6102,Magic Gem of Archer,33.64,118.9,AP,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Desert Suburbs: Utilize It,40,40,865,Event,12,,1.311,0.761,,6506,Dragon's Reverse Scale,19.2,208.3,AP,0.792,0.463,,6524,Great Knight Medal,38.21,104.7,AP,0.520,0.297,,6206,Secret Gem of Assassin,17.54,228.1,AP,0.320,,,7106,Assassin Monument,17.21,232.4,AP,0.209,,,6106,Magic Gem of Assassin,33.87,118.1,AP,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
