Valentines 2027,,Ono-no-Komachi: Annotated Edition - The Shining Lotus of February,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Alchemist Researching About Love,30,30,165,Event,12,,0.256,0.116,,6511,Forbidden Page,12.61,237.9,AP,0.256,0.116,,6105,Magic Gem of Caster,6.72,446.4,AP,0.040,,,7005,Caster Piece,15.97,187.9,AP,0.082,,,6005,Gem of Caster,11.76,255.1,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Daimyo of the Gale,35,35,265,Event,12,,0.217,0.106,,6503,Proof of Hero,40.62,86.2,AP,0.217,0.106,,6004,Gem of Rider,18.75,186.7,AP,0.045,,,7004,Rider Piece,17.71,197.6,AP,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Truly Sparkling,40,40,415,Event,12,,0.364,0.222,,6550,Scale of Fantasy,16.15,247.7,AP,0.186,0.115,,6533,Stake of Wailing Night,26.15,153.0,AP,0.178,0.106,,6101,Magic Gem of Saber,15.38,260.1,AP,0.085,,,7001,Saber Piece,23.08,173.3,AP,0.109,,,6001,Gem of Saber,16.15,247.7,AP,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Love and Knife,40,40,515,Event,12,,0.498,0.293,,6537,Giant's Ring,21.8,183.5,AP,0.245,0.138,,6534,Mystic Gunpowder,36.84,108.6,AP,0.252,0.155,,6106,Magic Gem of Assassin,9.77,409.4,AP,0.046,,,7006,Assassin Piece,18.05,221.6,AP,0.072,,,6006,Gem of Assassin,29.32,136.4,AP,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Only Enchantress Left in the Human Order,40,40,615,Event,12,,0.690,0.374,,6528,Primordial Lanugo,14.31,279.5,AP,0.372,0.218,,6515,Octuplet Crystal,27.57,145.1,AP,0.318,0.155,,6107,Magic Gem of Berserker,26.18,152.8,AP,0.144,,,7107,Berserker Monument,9.95,402.0,AP,0.120,,,6007,Gem of Berserker,34.9,114.6,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
And so I've Become God,40,40,715,Event,12,,0.811,0.481,,6519,Warhorse's Young Horn,19.83,201.7,AP,0.427,0.252,,6538,Soundless Bell,33.33,120.0,AP,0.384,0.229,,6103,Magic Gem of Lancer,17.64,226.8,AP,0.089,,,7103,Lancer Monument,13.63,293.5,AP,0.163,,,6003,Gem of Lancer,29.68,134.8,AP,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Pleasure Over Flowers,40,40,815,Event,12,,0.959,0.533,,6507,Claw of Chaos,24.07,166.2,AP,0.558,0.332,,6510,Eternal Gear,38.56,103.7,AP,0.401,0.201,,6102,Magic Gem of Archer,22.81,175.4,AP,0.114,,,7102,Archer Monument,14.93,267.9,AP,0.183,,,6002,Gem of Archer,27.34,146.3,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Fragrant Flower of Applause,40,40,915,Event,12,,0.836,0.494,,6501,Phoenix Feather,30.7,130.3,AP,0.402,0.222,,6551,Ceremonial Sword of Twilight,59.83,66.9,AP,0.434,0.272,,6201,Secret Gem of Saber,21.76,183.8,AP,0.391,,,7101,Saber Monument,21.27,188.1,AP,0.260,,,6101,Magic Gem of Saber,23.82,167.9,AP,0.132,,,6001,Gem of Saber,10.63,376.3,AP,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
My Happy Daily Life,40,40,"1,098",Event,12,,1.654,0.999,,6548,Flaming Oni Lantern Plant,27.01,148.1,AP,1.055,0.646,,6508,Ghost Lantern,52.45,76.3,AP,0.599,0.353,,6205,Secret Gem of Caster,25.19,158.8,AP,0.312,,,7105,Caster Monument,25.44,157.2,AP,0.310,,,6005,Gem of Caster,33.51,119.4,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Rabbit Mask,40,40,"1,318",Event,12,,1.924,1.008,,6518,Spirit Root,30.81,129.8,AP,1.182,0.577,,6557,Flower of the End,63.72,62.8,AP,0.742,0.431,,6206,Secret Gem of Assassin,30.82,129.8,AP,0.563,,,7106,Assassin Monument,30.75,130.1,AP,0.374,,,6106,Magic Gem of Assassin,22.32,179.2,AP,0.105,,,6006,Gem of Assassin,10.79,370.7,AP,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
