White Day 2027,,His Name is Dante,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Hardworking Room Attendant,40,40,715,Event,12,,0.512,0.302,,6514,Homunculus Baby,45.12,88.7,AP,0.512,0.302,,6106,Magic Gem of Assassin,20.73,193.0,AP,0.098,,,7006,Assassin Piece,21.95,182.2,AP,0.088,,,6006,Gem of Assassin,30.49,131.2,AP,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Unmatched Pest Control,40,40,715,Event,12,,0.544,0.321,,6527,Deadly Poison Needle,71.64,55.8,AP,0.544,0.321,,6104,Magic Gem of Rider,7.46,536.2,AP,0.040,,,7004,Rider Piece,25.37,157.7,AP,0.117,,,6004,Gem of Rider,14.93,267.9,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Fishing Full of Tricks,40,40,715,Event,12,,0.533,0.294,,6526,Shell of Reminiscence,45.93,87.1,AP,0.533,0.294,,6103,Magic Gem of Lancer,21.48,186.2,AP,0.108,,,7003,Lancer Piece,16.3,245.4,AP,0.076,,,6003,Gem of Lancer,33.33,120.0,AP,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Luxury Planning,40,40,765,Event,12,,0.986,0.536,,6520,Tearstone of Blood,21.22,188.5,AP,0.576,0.288,,6556,Ether Photon Converger,35.51,112.6,AP,0.410,0.248,,6107,Magic Gem of Berserker,18.37,217.7,AP,0.101,,,7107,Berserker Monument,19.59,204.2,AP,0.237,,,6007,Gem of Berserker,27.76,144.1,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Heart-Warming Cloak Room,40,40,815,Event,12,,0.921,0.511,,6546,Fruit of Eternity,21.84,183.2,AP,0.501,0.253,,6536,Aurora Steel,36.78,108.8,AP,0.419,0.258,,6105,Magic Gem of Caster,24.14,165.7,AP,0.107,,,7105,Caster Monument,18.39,217.5,AP,0.224,,,6005,Gem of Caster,31.8,125.8,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Room Cleaning Mystery,40,40,865,Event,12,,1.218,0.553,,6517,Heart of the Foreign God,22.81,175.4,AP,0.868,0.394,,6505,Void's Dust,48.44,82.6,AP,0.350,0.159,,6201,Secret Gem of Saber,17.5,228.6,AP,0.315,,,7101,Saber Monument,19.38,206.4,AP,0.237,,,6001,Gem of Saber,37.81,105.8,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Wild Rescue,40,40,915,Event,12,,1.476,0.881,,6542,Egg of Truth,25.08,159.5,AP,0.997,0.587,,6552,Ash of Remembrance,63.84,62.7,AP,0.479,0.294,,6202,Secret Gem of Archer,20.85,191.8,AP,0.375,,,7102,Archer Monument,15.96,250.6,AP,0.196,,,6102,Magic Gem of Archer,31.92,125.3,AP,0.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Impregnable Fortress Support,40,40,"1,098",Event,12,,1.515,0.762,,6525,Scarab of Wisdom,25.86,154.7,AP,0.995,0.452,,6522,Fool's Chain,79.06,50.6,AP,0.520,0.311,,6204,Secret Gem of Rider,26.4,151.5,AP,0.484,,,7104,Rider Monument,27.27,146.7,AP,0.340,,,6104,Magic Gem of Rider,17.58,227.5,AP,0.095,,,6004,Gem of Rider,11.31,353.7,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Five-Star Round Service,40,40,"1,318",Event,12,,2.032,1.098,,6540,Tsukumo Mirror,31.24,128.0,AP,1.246,0.624,,6559,Universal Cube,65.14,61.4,AP,0.787,0.474,,6207,Secret Gem of Berserker,31.37,127.5,AP,0.581,,,7107,Berserker Monument,8.28,483.1,AP,0.100,,,6107,Magic Gem of Berserker,22.5,177.8,AP,0.124,,,6007,Gem of Berserker,11.14,359.1,AP,0.019,,,7104,Rider Monument,8.54,468.4,AP,0.106,,,7105,Caster Monument,8.37,477.9,AP,0.102,,,7106,Assassin Monument,7.93,504.4,AP,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
