Zone,Quest,AP,Type,Sample,Bronze Material,,,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Training Grounds,Archer: Extreme,40,Daily,4625,,,,138.7,,,108.8,,,,,,,,,146.1,,,,159.6,,,,,,,,,,,,,,,,,,,,,,,,,247.7,,,,,,424.3,,,,,,,,,138.0,,,,,,,,36.6,,,,,,,,71.1,,,,,,,,62.5,,,,,,,,48.3,,,,,,,,271.7,,,,,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,50.25
Training Grounds,Archer: Expert,40,Daily,1000,205.1,,,153.3,,,,,,,,,,,,191.4,,,,186.0,,,,192.3,,,,,,,,,,,,,,,,,,,,,327.9,,,,,,,,,,,,,,,198.0,,,,,,,,33.9,,,,,,,,130.7,,,,,,,,49.6,,,,,,,,69.1,,,,,,,,341.6,,,,,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,50.25
Training Grounds,Archer: Advance,30,Daily,1351,190.3,,,132.5,,,,,,,,,,,,192.1,,,,316.6,,,,203.7,,,,,,,,,,,,,,,,,,,,,471.3,,,,,,,,,,,,,,,142.2,,,,,,,,19.8,,,,,,,,198.7,,,,,,,,27.8,,,,,,,,82.7,,,,,,,,347.2,,,,,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,49.10
Training Grounds,Archer: Intermed,20,Daily,1160,229.7,58.7,1784.6,114.3,,,,,,,,,,,,135.7,,,,2577.8,,,,184.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,50.5,,,,,,,,,,,,,,,,25.2,,,,,,,,110.5,,,,,,,,48.7,,,,,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,46.08
Training Grounds,Archer: Novice,10,Daily,1744,94.3,38.4,235.7,164.5,,,,,,,,,,,,,,,,,,,,179.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,,169.3,,,,,,,,23.8,,,,,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,47.18
Training Grounds,Lancer: Extreme,40,Daily,7324,,,,141.4,,142.4,,,,,,,,,,,,,,171.9,,,159.4,,150.9,,,,,,,,,,,,,,,,,,,268.7,,,,,,,,,,,,,,,,,159.9,,,,,,,,38.0,,,,,,,,73.6,,,,,,,,61.5,,,,,,,,47.7,,,,,,,,560.4,,,,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,50.33
Training Grounds,Lancer: Expert,40,Daily,1100,194.7,,,171.2,,,,,,,,,,,,149.7,,,,318.8,,,210.5,,,,,,,,,,,,,,,,,,,,,301.4,,,,,,,,,,,,,,,,,164.8,,,,,,,,34.2,,,,,,,,137.5,,,,,,,,49.9,,,,,,,,70.2,,,,,,,,494.4,,,,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,51.57
Training Grounds,Lancer: Advance,30,Daily,1100,194.1,,,130.4,,,,,,,,,,,,126.9,,,,478.3,,,217.1,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,148.0,,,,,,,,20.1,,,,,,,,205.0,,,,,,,,29.1,,,,,,,,82.7,,,,,,,,336.7,,,,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,51.57
Training Grounds,Lancer: Intermed,20,Daily,1000,253.2,106.4,,134.2,,,,,,,,,,,,149.3,,,,,,,173.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,,,29.7,,,,,,,,,,,,,,,,26.5,,,,,,,,102.6,,,,,,,,54.9,,,,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,48.27
Training Grounds,Lancer: Novice,10,Daily,1785,74.1,33.4,,176.7,,,,,,,,,,,,,,,,,,,168.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,160.8,,,,,,,,26.3,,,,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,48.27
