,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,113,114,115,116,117,118
ID #,6503,6516,6512,6505,6522,6527,6530,6533,6534,6549,6551,6552,6554,6555,0,6502,6508,6515,6509,6501,6510,6511,6514,6513,6524,6526,6532,6535,6537,6536,6538,6541,6543,6545,6547,6550,6553,6556,0,6507,6517,6506,6518,6519,6520,6521,6523,6525,6528,6529,6531,6539,6540,6542,6544,6546,6548,0,6001,6002,6003,6004,6005,6006,6007,0,6101,6102,6103,6104,6105,6106,6107,0,6201,6202,6203,6204,6205,6206,6207,0,7001,7002,7003,7004,7005,7006,7007,0,7101,7102,7103,7104,7105,7106,7107,0,9701400,9703400,9702400,9704400,9705400,9706400,9707400,0,9701500,9703500,9702500,9704500,9705500,9706500,9707500,0,-1,-2,-3,-4,-5,-6
Material,Proof of Hero,Evil Bone,Dragon Fang,Void's Dust,Fool's Chain,Deadly Poison Needle,Mystic Spinal Fluid,Stake of Wailing Night,Mystic Gunpowder,Small Bell of Absolution,Twilit Ritual Sword,Ashes of Forgetfulness,Obsidian Knife,Vestige of Madness,,Seed of Yggdrasil,Ghost Lantern,Octuplet Crystal,Serpent Jewel,Phoenix Feather,Eternal Gear,Forbidden Page,Homunculus Baby,Meteor Horseshoes,Great Knight Medal,Shell of Reminiscense,Refined Magatama,Eternal Ice,Giant's Ring,Aurora Steel,Soundless Bell,Arrowhead of Malice,Crown of Silvery Light,Divine Leyline Spiritron,Ball of Rainbow Thread,Scale of Fantasy,Sun Leather,Ether Photon Converger,,Claw of Chaos,Heart of the Foreign God,Dragon's Reverse Scale,Spirit Root,Warhorse's Young Horn,Tearstone of Blood,Black Beast Grease,Lamp of Evil-Sealing,Scarab of Wisdom,Primordial Lanugo,Cursed Beast Gallstone,Mysterious Divine Wine,Reactor Core of Dawn,Tsukumo Mirror,Egg of Truth,Fragment of a Twinkling Star,Fruit of Eternity,Flaming Oni Lantern Plant,,Gem of Saber,Gem of Archer,Gem of Lancer,Gem of Rider,Gem of Caster,Gem of Assassin,Gem of Berserker,,Magic Gem of Saber,Magic Gem of Archer,Magic Gem of Lancer,Magic Gem of Rider,Magic Gem of Caster,Magic Gem of Assassin,Magic Gem of Berserker,,Secret Gem of Saber,Secret Gem of Archer,Secret Gem of Lancer,Secret Gem of Rider,Secret Gem of Caster,Secret Gem of Assassin,Secret Gem of Berserker,,Saber Piece,Archer Piece,Lancer Piece,Rider Piece,Caster Piece,Assassin Piece,Berserker Piece,,Saber Monument,Archer Monument,Lancer Monument,Rider Monument,Caster Monument,Assassin Monument,Berserker Monument,,Saber Blaze,Archer Blaze,Lancer Blaze,Rider Blaze,Caster Blaze,Assassin Blaze,Berserker Blaze,,Saber Hellfire,Archer Hellfire,Lancer Hellfire,Rider Hellfire,Caster Hellfire,Assassin Hellfire,Berserker Hellfire,,Blue Gems,Red Gems,Gold Gems,Silver Statues,Gold Statues,EXP
AP/Drop,18.7,18.6,25.1,28.9,26.0,30.4,28.7,27.3,27.4,28.9,29.0,30.0,29.1,0.0,0.0,35.1,45.8,46.4,44.3,52.5,44.4,60.7,45.4,43.5,54.1,46.5,44.1,40.9,44.6,45.0,46.2,45.6,50.6,46.1,46.0,46.4,44.8,0.0,0.0,92.4,152.2,164.5,154.7,86.0,112.9,92.8,95.5,152.1,102.8,157.1,141.0,92.4,153.1,160.9,148.7,92.2,157.5,0.0,7.5,7.2,8.4,8.4,8.1,7.3,6.9,0.0,22.1,19.8,20.1,21.6,17.7,19.0,22.0,0.0,69.3,71.1,73.6,73.3,49.5,73.6,74.9,0.0,18.8,18.9,18.5,18.3,15.3,15.9,19.4,0.0,49.5,48.3,47.7,49.0,48.7,48.2,48.1,0.0,21.0,23.5,23.0,5.8,20.3,21.8,20.7,0.0,22.6,393.3,209.7,384.5,12.7,324.9,212.0,,,,,,,
Exclude,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,3,3,3,3,3
Skip To,1,2,3,4,5,6,7,8,9,10,11,12,13,,,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Eff,2.051,1.517,1.689,2.197,1.681,1.687,1.829,1.687,1.623,1.708,1.588,1.621,1.605,,,1.829,1.563,2.051,2.197,1.829,2.036,2.197,1.687,1.689,1.744,1.821,1.915,1.452,1.772,1.628,1.693,1.651,1.750,1.677,1.640,1.627,1.373,,,1.695,2.197,1.708,2.051,1.687,2.000,1.640,2.197,2.197,1.689,2.036,2.036,1.980,2.036,1.711,1.703,1.980,1.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Data:,Ranked from Highest to Lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109,244,16,21,209,6,1,11,181,252,267,276,281,,,1,158,109,21,1,272,21,6,16,251,31,157,183,199,192,204,206,220,229,237,254,289,,,218,21,252,109,6,137,237,21,21,16,293,293,226,272,214,223,226,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,35,26,293,26,200,134,160,173,262,271,268,289,,,184,26,11,231,31,31,137,279,2,6,216,31,177,190,194,201,211,219,227,248,255,294,,,11,160,16,31,206,1,208,251,219,184,157,1,199,239,209,216,231,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,100,169,272,143,170,136,166,178,253,265,271,286,,,151,150,156,225,214,202,239,10,5,255,33,155,182,198,191,203,208,223,232,236,264,283,,,281,136,125,220,170,95,26,215,113,192,11,155,202,236,211,232,228,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,97,154,138,157,113,125,131,167,175,263,275,265,285,,,139,242,228,221,6,243,85,7,4,111,32,156,178,196,187,205,210,218,230,238,257,285,,,267,22,17,194,139,2,143,169,100,190,276,229,204,158,243,233,227,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,35,247,245,1,213,195,129,292,176,260,270,277,292,,,33,152,188,233,139,33,25,84,3,262,35,151,179,191,189,,207,222,234,242,263,282,,,210,23,18,254,173,3,115,110,,127,126,181,222,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
