,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
ID #,1,2,3,4,5,6,7,8,9,10,11,12,0,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,0,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,0,52,53,54,55,56,57,58,0,59,60,61,62,63,64,65,0,66,67,68,69,70,71,72,0,73,74,75,76,77,78,79,0,80,81,82,83,84,85,86,0,87,88,89,90,91,92,93,0,94,95,96,97,98,99,100,0,-1,-2,-3,-4,-5,-6
Material,Proof of Hero,Evil Bone,Dragon Fang,Void's Dust,Fool's Chain,Deadly Poison Needle,Mystic Spinal Fluid,Stake of Wailing Night,Mystic Gunpowder,Small Bell of Absolution,Twilit Ritual Sword,Ashes of Forgetfulness,,Seed of Yggdrasil,Ghost Lantern,Octuplet Crystal,Serpent Jewel,Phoenix Feather,Eternal Gear,Forbidden Page,Homunculus Baby,Meteor Horseshoes,Great Knight Medal,Shell of Reminiscense,Refined Magatama,Eternal Ice,Giant's Ring,Aurora Steel,Soundless Bell,Arrowhead of Malice,Crown of Silvery Light,Divine Leyline Spiritron,Ball of Rainbow Thread,Scale of Fantasy,,Claw of Chaos,Heart of the Foreign God,Dragon's Reverse Scale,Spirit Root,Warhorse's Young Horn,Tearstone of Blood,Black Beast Grease,Lamp of Evil-Sealing,Scarab of Wisdom,Primordial Lanugo,Cursed Beast Gallstone,Mysterious Divine Wine,Reactor Core of Dawn,Tsukumo Mirror,Egg of Truth,Fragment of a Twinkling Star,Fruit of Eternity,Flaming Oni Lantern Plant,,Gem of Saber,Gem of Archer,Gem of Lancer,Gem of Rider,Gem of Caster,Gem of Assassin,Gem of Berserker,,Magic Gem of Saber,Magic Gem of Archer,Magic Gem of Lancer,Magic Gem of Rider,Magic Gem of Caster,Magic Gem of Assassin,Magic Gem of Berserker,,Secret Gem of Saber,Secret Gem of Archer,Secret Gem of Lancer,Secret Gem of Rider,Secret Gem of Caster,Secret Gem of Assassin,Secret Gem of Berserker,,Saber Piece,Archer Piece,Lancer Piece,Rider Piece,Caster Piece,Assassin Piece,Berserker Piece,,Saber Monument,Archer Monument,Lancer Monument,Rider Monument,Caster Monument,Assassin Monument,Berserker Monument,,Saber Blaze,Archer Blaze,Lancer Blaze,Rider Blaze,Caster Blaze,Assassin Blaze,Berserker Blaze,,Saber Hellfire,Archer Hellfire,Lancer Hellfire,Rider Hellfire,Caster Hellfire,Assassin Hellfire,Berserker Hellfire,,Blue Gems,Red Gems,Gold Gems,Silver Statues,Gold Statues,EXP
AP/Drop,20.6,22.3,27.8,31.2,29.0,33.5,32.1,31.0,30.4,28.9,29.6,29.9,0.0,40.3,52.0,52.1,54.0,59.4,45.5,69.3,52.8,49.4,59.8,52.1,51.8,46.1,49.2,53.9,53.5,51.7,55.0,53.0,52.2,46.3,0.0,90.2,162.8,172.9,159.3,93.0,116.0,102.6,96.0,175.5,115.2,159.8,139.7,103.8,157.0,164.6,168.1,103.7,170.0,0,8.0,7.4,8.5,8.4,8.1,7.7,7.5,0.0,22.4,19.6,20.2,21.6,17.5,18.0,22.0,0.0,144.2,134.5,146.4,101.6,52.5,158.0,166.2,0,29.0,28.1,28.2,28.3,23.9,29.3,28.9,0.0,74.4,69.1,72.8,68.6,70.2,69.7,72.5,0.0,21.0,23.5,22.9,5.9,20.5,21.8,20.4,0.0,22.6,416.6,216.7,335.0,12.8,324.9,214.5,,,,,,,
Exclude,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Skip To,1,2,3,4,5,6,7,8,9,10,11,12,,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Eff,2.050,1.623,1.467,2.073,1.632,1.667,1.398,1.620,1.529,1.770,1.602,1.663,,1.779,1.541,2.050,1.671,1.779,2.073,2.000,1.430,1.376,1.829,1.662,1.874,1.477,1.699,1.612,1.746,1.623,1.737,1.631,1.650,1.647,,1.602,1.620,1.770,2.050,1.779,2.000,1.650,1.829,1.698,1.702,1.874,1.755,1.983,2.073,1.687,1.671,1.983,1.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Data:,Ranked from Highest to Lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,255,172,285,216,207,132,163,186,263,280,289,,140,161,108,242,140,285,138,292,1,262,26,160,182,206,197,211,213,231,236,248,265,,280,163,263,108,140,138,248,262,228,189,160,158,235,285,221,242,235,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
