Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Merry Roadwork: Beg,28.62,0.789,0.492,,16,Serpent Jewel,3.66,782.0,AP,0.069,0.041,,,6,Deadly Poison Needle,5.64,507.4,AP,0.066,0.040,,,54,Gem of Lancer,14.74,194.2,AP,0.044,,,,75,Lancer Piece,10.1,283.4,AP,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,66,"7,201",,,9.2,4.6,21.7,622.2,,,21,Meteor Horseshoes,9.200,311.1,AP,0.159,0.115,,,13,Seed of Yggdrasil,9.200,311.1,AP,0.130,0.073,,,4,Void's Dust,9.200,311.1,AP,0.100,0.048,,,7,Mystic Spinal Fluid,13.800,207.4,AP,0.155,0.111,,,26,Giant's Ring,1.426,"2,007.0",AP,0.025,0.014,,,28,Soundless Bell,4.600,622.2,AP,0.086,0.049,,,-1,Blue Gems,9.200,,-2,Red Gems,9.200,,-3,Gold Gems,4.600
Merry Roadwork: Int,32.84,1.170,0.729,,16,Serpent Jewel,9.67,339.6,AP,0.159,0.095,,,2,Evil Bone,17.45,188.2,AP,0.118,0.073,,,57,Gem of Assassin,18.05,181.9,AP,0.042,,,,78,Assassin Piece,15.2,216.1,AP,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,88,"9,822",,,14.4,7.2,13.9,456.1,,,21,Meteor Horseshoes,14.400,228.1,AP,0.217,0.157,,,13,Seed of Yggdrasil,14.400,228.1,AP,0.177,0.099,,,4,Void's Dust,14.400,228.1,AP,0.137,0.066,,,7,Mystic Spinal Fluid,21.600,152.0,AP,0.211,0.151,,,26,Giant's Ring,2.232,"1,471.3",AP,0.033,0.020,,,28,Soundless Bell,7.200,456.1,AP,0.117,0.067,,,-1,Blue Gems,14.400,,-2,Red Gems,14.400,,-3,Gold Gems,7.200
Merry Roadwork: Adv,36.49,1.691,1.066,,16,Serpent Jewel,13.94,261.8,AP,0.206,0.123,,,25,Eternal Ice,14.43,252.9,AP,0.182,0.123,,,60,Magic Gem of Archer,10.96,332.9,AP,0.059,,,,74,Archer Piece,18,202.7,AP,0.139,,,,53,Gem of Archer,16.7,218.5,AP,0.034,,,,,,,,,,,,,,,,,,,,,4400,121,"14,344",,,25.3,11.2,8.6,312.3,,,21,Meteor Horseshoes,23.367,156.2,AP,0.316,0.230,,,13,Seed of Yggdrasil,23.367,156.2,AP,0.258,0.145,,,4,Void's Dust,23.367,156.2,AP,0.200,0.096,,,7,Mystic Spinal Fluid,35.050,104.1,AP,0.308,0.221,,,26,Giant's Ring,3.622,"1,007.5",AP,0.049,0.029,,,28,Soundless Bell,11.683,312.3,AP,0.171,0.098,,,-1,Blue Gems,23.367,,-2,Red Gems,23.367,,-3,Gold Gems,11.683
Flyweight,36.38,2.116,1.257,,39,Tearstone of Blood,12.57,289.4,AP,0.401,0.200,,,30,Crown of Silvery Light,12.35,294.6,AP,0.187,0.107,,,13,Seed of Yggdrasil,16.2,224.6,AP,0.179,0.101,,,65,Magic Gem of Berserker,15.2,239.3,AP,0.092,,,,79,Berserker Piece,20.1,181.0,AP,0.160,,,,58,Gem of Berserker,14.8,245.8,AP,0.031,,,,,,,,,,,,5400,148,"14,859",,,26.0,11.6,8.3,301.5,,,21,Meteor Horseshoes,24.133,150.7,AP,0.328,0.238,,,13,Seed of Yggdrasil,24.133,150.7,AP,0.267,0.150,,,4,Void's Dust,24.133,150.7,AP,0.207,0.100,,,7,Mystic Spinal Fluid,36.200,100.5,AP,0.319,0.229,,,26,Giant's Ring,3.741,972.6,AP,0.051,0.030,,,28,Soundless Bell,12.067,301.5,AP,0.177,0.102,,,-1,Blue Gems,24.133,,-2,Red Gems,24.133,,-3,Gold Gems,12.067
Bantamweight,35.97,2.393,1.408,,46,Reactor Core of Dawn,15.24,236.0,AP,0.440,0.222,,,30,Crown of Silvery Light,15.52,231.8,AP,0.237,0.137,,,18,Eternal Gear,15.65,229.8,AP,0.198,0.095,,,59,Magic Gem of Saber,15.65,229.8,AP,0.097,,,,80,Saber Monument,9.8,367.0,AP,0.203,,,,52,Gem of Saber,20.2,178.1,AP,0.045,,,,,,,,,,,,6400,178,"16,710",,,32.1,12.1,7.5,268.1,,,21,Meteor Horseshoes,26.833,134.0,AP,0.369,0.268,,,13,Seed of Yggdrasil,26.833,134.0,AP,0.301,0.169,,,4,Void's Dust,26.833,134.0,AP,0.233,0.112,,,7,Mystic Spinal Fluid,40.250,89.4,AP,0.359,0.257,,,26,Giant's Ring,4.159,864.8,AP,0.057,0.033,,,28,Soundless Bell,13.417,268.1,AP,0.200,0.114,,,-1,Blue Gems,26.833,,-2,Red Gems,26.833,,-3,Gold Gems,13.417
Featherweight,35.89,2.643,1.563,,41,Lamp of Evil-Sealing,17.53,204.7,AP,0.469,0.256,,,30,Crown of Silvery Light,17.67,203.1,AP,0.271,0.156,,,19,Forbidden Page,18.22,197.0,AP,0.352,0.176,,,63,Magic Gem of Caster,20.4,175.9,AP,0.099,,,,84,Caster Monument,15.6,230.1,AP,0.305,,,,56,Gem of Caster,19.4,185.0,AP,0.044,,,,,,,,,,,,7400,206,"17,080",,,32.9,12.3,7.3,262.3,,,21,Meteor Horseshoes,27.367,131.1,AP,0.377,0.274,,,13,Seed of Yggdrasil,27.367,131.1,AP,0.307,0.173,,,4,Void's Dust,27.367,131.1,AP,0.238,0.115,,,7,Mystic Spinal Fluid,41.050,87.4,AP,0.367,0.263,,,26,Giant's Ring,4.242,846.1,AP,0.058,0.034,,,28,Soundless Bell,13.683,262.3,AP,0.204,0.117,,,-1,Blue Gems,27.367,,-2,Red Gems,27.367,,-3,Gold Gems,13.683
Welterweight,35.77,2.922,1.790,,36,Dragon's Reverse Scale,17.14,208.7,AP,0.828,0.468,,,31,Divine Leyline Spiritron,20.1,178.0,AP,0.298,0.183,,,3,Dragon Fang,24.73,144.6,AP,0.192,0.131,,,69,Secret Gem of Rider,10.24,349.3,AP,0.291,,,,83,Rider Monument,17.9,199.8,AP,0.343,,,,62,Magic Gem of Rider,15.3,233.8,AP,0.092,,,,,,,,,,,,8400,235,"17,659",,,33.8,12.7,7.1,253.7,,,21,Meteor Horseshoes,28.200,126.8,AP,0.389,0.283,,,13,Seed of Yggdrasil,28.200,126.8,AP,0.318,0.179,,,4,Void's Dust,28.200,126.8,AP,0.246,0.119,,,7,Mystic Spinal Fluid,42.300,84.6,AP,0.380,0.272,,,26,Giant's Ring,4.371,818.3,AP,0.060,0.035,,,28,Soundless Bell,14.100,253.7,AP,0.211,0.121,,,-1,Blue Gems,28.200,,-2,Red Gems,28.200,,-3,Gold Gems,14.100
Heavyweight,34.42,3.650,2.273,,45,Mysterious Divine Wine,20.02,171.9,AP,0.813,0.463,,,31,Divine Leyline Spiritron,21.12,163.0,AP,0.325,0.199,,,21,Meteor Horseshoes,21.88,157.3,AP,0.314,0.228,,,68,Secret Gem of Lancer,20.07,171.5,AP,0.854,,,,82,Lancer Monument,19.9,173.0,AP,0.421,,,,61,Magic Gem of Lancer,15.2,226.4,AP,0.089,,,,,,,,,,,,9400,273,"24,209",,,44.8,16.7,5.4,185.1,,,21,Meteor Horseshoes,37.200,92.5,AP,0.534,0.388,,,13,Seed of Yggdrasil,37.200,92.5,AP,0.436,0.245,,,4,Void's Dust,37.200,92.5,AP,0.337,0.163,,,7,Mystic Spinal Fluid,55.800,61.7,AP,0.520,0.372,,,26,Giant's Ring,5.766,596.9,AP,0.082,0.049,,,28,Soundless Bell,18.600,185.1,AP,0.289,0.166,,,-1,Blue Gems,37.200,,-2,Red Gems,37.200,,-3,Gold Gems,18.600
Super Heavyweight,34.46,4.255,2.616,,35,Heart of the Foreign God,25.05,137.6,AP,1.183,0.731,,,31,Divine Leyline Spiritron,27.21,126.6,AP,0.418,0.257,,,22,Great Knight Medal,27.22,126.6,AP,0.472,0.258,,,67,Secret Gem of Archer,29.89,115.3,AP,1.167,,,,81,Archer Monument,25.1,137.3,AP,0.503,,,,60,Magic Gem of Archer,19.9,173.2,AP,0.113,,,,,,,,,,,,9400,273,"24,008",,,44.4,16.6,5.4,186.6,,,21,Meteor Horseshoes,36.933,93.3,AP,0.529,0.385,,,13,Seed of Yggdrasil,36.933,93.3,AP,0.432,0.243,,,4,Void's Dust,36.933,93.3,AP,0.334,0.161,,,7,Mystic Spinal Fluid,55.400,62.2,AP,0.516,0.369,,,26,Giant's Ring,5.725,602.0,AP,0.082,0.048,,,28,Soundless Bell,18.467,186.6,AP,0.287,0.164,,,-1,Blue Gems,36.933,,-2,Red Gems,36.933,,-3,Gold Gems,18.467
Holy Night,,,,,26,Giant's Ring,38.62,0.0,AP,,0.000,,,53,Gem of Archer,30.11,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,21,Meteor Horseshoes,,,,,,,,13,Seed of Yggdrasil,,,,,,,,4,Void's Dust,,,,,,,,7,Mystic Spinal Fluid,,,,,,,,26,Giant's Ring,,,,,,,,28,Soundless Bell,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
