Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Merry Roadwork: Beg,28.62,0.889,0.536,,Serpent Jewel,3.66,782.0,AP,0.069,0.041,,,Deadly Poison Needle,5.64,507.4,AP,0.066,0.040,,,Gem of Lancer,8.3,344.8,AP,0.025,,,,Lancer Piece,8.3,344.8,AP,0.082,,,,,,,,,,,,,,,,,,,,1900,66,"7,201",,,9.2,4.6,21.7,622.2,,,Meteor Horseshoes,311.1,AP,0.159,0.115,,,Seed of Yggdrasil,311.1,AP,0.130,0.073,,,Void's Dust,311.1,AP,0.100,0.049,,,Mystic Spinal Fluid,207.4,AP,0.155,0.111,,,Tearstone of Blood,622.2,AP,0.186,0.093,,,Giant's Ring,"2,007.0",AP,0.025,0.014
Merry Roadwork: Int,32.84,1.307,0.789,,Serpent Jewel,9.67,339.6,AP,0.159,0.095,,,Evil Bone,17.45,188.2,AP,0.118,0.073,,,Gem of Assassin,23.81,137.9,AP,0.056,,,,Assassin Piece,9.5,345.7,AP,0.085,,,,,,,,,,,,,,,,,,,,2900,88,"9,822",,,14.4,7.2,13.9,456.1,,,Meteor Horseshoes,228.1,AP,0.217,0.157,,,Seed of Yggdrasil,228.1,AP,0.177,0.099,,,Void's Dust,228.1,AP,0.137,0.066,,,Mystic Spinal Fluid,152.0,AP,0.211,0.151,,,Tearstone of Blood,456.1,AP,0.254,0.127,,,Giant's Ring,"1,471.3",AP,0.033,0.020
Merry Roadwork: Adv,36.49,1.891,1.154,,Serpent Jewel,13.94,261.8,AP,0.206,0.123,,,Eternal Ice,14.43,252.9,AP,0.182,0.123,,,Magic Gem of Archer,10,364.9,AP,0.054,,,,Archer Piece,21.3,171.3,AP,0.164,,,,Gem of Archer,19.3,189.1,AP,0.039,,,,,,,,,,,,4400,121,"14,344",,,25.3,11.2,8.6,312.3,,,Meteor Horseshoes,156.2,AP,0.316,0.230,,,Seed of Yggdrasil,156.2,AP,0.258,0.145,,,Void's Dust,156.2,AP,0.200,0.097,,,Mystic Spinal Fluid,104.1,AP,0.308,0.221,,,Tearstone of Blood,312.3,AP,0.371,0.186,,,Giant's Ring,"1,007.5",AP,0.049,0.029
Flyweight,36.38,2.324,1.348,,Tearstone of Blood,12.57,289.4,AP,0.401,0.200,,,Crown of Silvery Light,12.35,294.6,AP,0.187,0.107,,,Seed of Yggdrasil,16.2,224.6,AP,0.179,0.101,,,Magic Gem of Berserker,13.9,261.7,AP,0.084,,,,Berserker Piece,22.3,163.1,AP,0.177,,,,Gem of Berserker,15.8,230.3,AP,0.033,,,,5400,148,"14,859",,,26.0,11.6,8.3,301.5,,,Meteor Horseshoes,150.7,AP,0.328,0.238,,,Seed of Yggdrasil,150.7,AP,0.267,0.150,,,Void's Dust,150.7,AP,0.207,0.100,,,Mystic Spinal Fluid,100.5,AP,0.319,0.229,,,Tearstone of Blood,301.5,AP,0.385,0.192,,,Giant's Ring,972.6,AP,0.051,0.030
Bantamweight,35.97,2.626,1.511,,Reactor Core of Dawn,15.24,236.0,AP,0.440,0.222,,,Crown of Silvery Light,15.52,231.8,AP,0.237,0.137,,,Eternal Gear,15.65,229.8,AP,0.198,0.096,,,Magic Gem of Saber,14,256.9,AP,0.087,,,,Saber Monument,5.4,666.1,AP,0.112,,,,Gem of Saber,21.7,165.8,AP,0.048,,,,6400,178,"16,710",,,32.1,12.1,7.5,268.1,,,Meteor Horseshoes,134.0,AP,0.369,0.268,,,Seed of Yggdrasil,134.0,AP,0.301,0.169,,,Void's Dust,134.0,AP,0.233,0.113,,,Mystic Spinal Fluid,89.4,AP,0.359,0.257,,,Tearstone of Blood,268.1,AP,0.433,0.216,,,Giant's Ring,864.8,AP,0.057,0.033
Featherweight,35.89,2.882,1.669,,Lamp of Evil-Sealing,17.53,204.7,AP,0.470,0.257,,,Crown of Silvery Light,17.67,203.1,AP,0.271,0.156,,,Forbidden Page,18.22,197.0,AP,0.352,0.176,,,Magic Gem of Caster,20.1,178.6,AP,0.098,,,,Caster Monument,18,199.4,AP,0.352,,,,Gem of Caster,21.7,165.4,AP,0.049,,,,7400,206,"17,080",,,32.9,12.3,7.3,262.3,,,Meteor Horseshoes,131.1,AP,0.377,0.274,,,Seed of Yggdrasil,131.1,AP,0.307,0.173,,,Void's Dust,131.1,AP,0.238,0.115,,,Mystic Spinal Fluid,87.4,AP,0.367,0.263,,,Tearstone of Blood,262.3,AP,0.442,0.221,,,Giant's Ring,846.1,AP,0.058,0.034
Welterweight,35.77,3.169,1.899,,Dragon's Reverse Scale,17.14,208.7,AP,0.828,0.469,,,Divine Leyline Spiritron,20.1,178.0,AP,0.298,0.183,,,Dragon Fang,24.73,144.6,AP,0.192,0.131,,,Secret Gem of Rider,10.24,349.3,AP,0.291,,,,Rider Monument,16.7,214.2,AP,0.320,,,,Magic Gem of Rider,20.1,178.0,AP,0.121,,,,8400,235,"17,659",,,33.8,12.7,7.1,253.7,,,Meteor Horseshoes,126.8,AP,0.389,0.283,,,Seed of Yggdrasil,126.8,AP,0.318,0.179,,,Void's Dust,126.8,AP,0.246,0.119,,,Mystic Spinal Fluid,84.6,AP,0.380,0.272,,,Tearstone of Blood,253.7,AP,0.457,0.229,,,Giant's Ring,818.3,AP,0.060,0.035
Heavyweight,34.42,3.988,2.422,,Mysterious Divine Wine,20.02,171.9,AP,0.813,0.463,,,Divine Leyline Spiritron,21.12,163.0,AP,0.325,0.199,,,Meteor Horseshoes,21.88,157.3,AP,0.314,0.228,,,Secret Gem of Lancer,20.07,171.5,AP,0.854,,,,Lancer Monument,20.9,164.7,AP,0.442,,,,Magic Gem of Lancer,18.5,186.1,AP,0.109,,,,9400,273,"24,209",,,44.8,16.7,5.4,185.1,,,Meteor Horseshoes,92.5,AP,0.534,0.388,,,Seed of Yggdrasil,92.5,AP,0.436,0.245,,,Void's Dust,92.5,AP,0.337,0.164,,,Mystic Spinal Fluid,61.7,AP,0.520,0.372,,,Tearstone of Blood,185.1,AP,0.627,0.313,,,Giant's Ring,596.9,AP,0.082,0.049
Super Heavyweight,34.46,4.589,2.764,,Heart of the Foreign God,25.05,137.6,AP,1.183,0.731,,,Divine Leyline Spiritron,27.21,126.6,AP,0.418,0.257,,,Great Knight Medal,27.22,126.6,AP,0.472,0.259,,,Secret Gem of Archer,29.89,115.3,AP,1.167,,,,Archer Monument,26,132.5,AP,0.521,,,,Magic Gem of Archer,17.1,201.5,AP,0.097,,,,9400,273,"24,008",,,44.4,16.6,5.4,186.6,,,Meteor Horseshoes,93.3,AP,0.529,0.385,,,Seed of Yggdrasil,93.3,AP,0.432,0.243,,,Void's Dust,93.3,AP,0.334,0.162,,,Mystic Spinal Fluid,62.2,AP,0.516,0.369,,,Tearstone of Blood,186.6,AP,0.622,0.311,,,Giant's Ring,602.0,AP,0.082,0.048
Holy Night,,,,,Giant's Ring,38.62,0.0,AP,,0.000,,,Gem of Archer,31.53,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Meteor Horseshoes,,,,,,,Seed of Yggdrasil,,,,,,,Void's Dust,,,,,,,Mystic Spinal Fluid,,,,,,,Tearstone of Blood,,,,,,,Giant's Ring,,,,
