Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Merry Roadwork: Beg,28.16,1.023,0.640,,Serpent Jewel,3.66,769.4,AP,0.070,0.042,,,Deadly Poison Needle,5.64,499.3,AP,0.067,0.040,,,Gem of Lancer,8.3,339.3,AP,0.025,,,,Lancer Piece,8.3,339.3,AP,0.083,,,,,,,,,,,,,,,,,,,,1900,67,"9,758",,,9.2,4.6,16.3,459.1,,,Meteor Horseshoes,229.6,AP,0.215,0.156,,,Seed of Yggdrasil,229.6,AP,0.176,0.099,,,Void's Dust,229.6,AP,0.136,0.066,,,Mystic Spinal Fluid,153.0,AP,0.210,0.150,,,Soundless Bell,459.1,AP,0.117,0.067,,,Giant's Ring,"1,481.1",AP,0.033,0.020
Merry Roadwork: Int,32.12,1.500,0.937,,Serpent Jewel,9.67,332.2,AP,0.163,0.097,,,Evil Bone,17.45,184.1,AP,0.121,0.075,,,Gem of Assassin,23.81,134.9,AP,0.057,,,,Assassin Piece,9.5,338.1,AP,0.087,,,,,,,,,,,,,,,,,,,,2900,90,"13,390",,,14.4,7.2,10.4,334.6,,,Meteor Horseshoes,167.3,AP,0.295,0.215,,,Seed of Yggdrasil,167.3,AP,0.241,0.135,,,Void's Dust,167.3,AP,0.187,0.091,,,Mystic Spinal Fluid,111.5,AP,0.288,0.206,,,Soundless Bell,334.6,AP,0.160,0.092,,,Giant's Ring,"1,079.3",AP,0.046,0.027
Merry Roadwork: Adv,35.37,2.174,1.370,,Serpent Jewel,13.94,253.7,AP,0.213,0.127,,,Eternal Ice,14.43,245.1,AP,0.188,0.127,,,Magic Gem of Archer,10,353.7,AP,0.055,,,,Archer Piece,21.3,166.1,AP,0.169,,,,Gem of Archer,19.3,183.3,AP,0.040,,,,,,,,,,,,4400,124,"19,527",,,25.3,11.2,6.5,229.4,,,Meteor Horseshoes,114.7,AP,0.431,0.313,,,Seed of Yggdrasil,114.7,AP,0.351,0.198,,,Void's Dust,114.7,AP,0.272,0.132,,,Mystic Spinal Fluid,76.5,AP,0.420,0.300,,,Soundless Bell,229.4,AP,0.233,0.134,,,Giant's Ring,740.1,AP,0.066,0.039
Flyweight,35.22,2.633,1.580,,Tearstone of Blood,12.57,280.2,AP,0.414,0.207,,,Crown of Silvery Light,12.35,285.2,AP,0.193,0.111,,,Seed of Yggdrasil,16.2,217.4,AP,0.185,0.104,,,Magic Gem of Berserker,13.9,253.4,AP,0.087,,,,Berserker Piece,22.3,157.9,AP,0.183,,,,Gem of Berserker,15.8,222.9,AP,0.034,,,,5400,153,"20,267",,,26.0,11.6,6.3,221.0,,,Meteor Horseshoes,110.5,AP,0.447,0.325,,,Seed of Yggdrasil,110.5,AP,0.365,0.205,,,Void's Dust,110.5,AP,0.282,0.137,,,Mystic Spinal Fluid,73.7,AP,0.436,0.312,,,Soundless Bell,221.0,AP,0.242,0.139,,,Giant's Ring,713.1,AP,0.069,0.041
Bantamweight,34.76,2.948,1.755,,Reactor Core of Dawn,15.24,228.1,AP,0.455,0.230,,,Crown of Silvery Light,15.52,224.0,AP,0.246,0.141,,,Eternal Gear,15.65,222.1,AP,0.205,0.099,,,Magic Gem of Saber,14,248.3,AP,0.090,,,,Saber Monument,5.4,643.7,AP,0.116,,,,Gem of Saber,21.7,160.2,AP,0.050,,,,6400,184,"22,490",,,32.1,12.1,5.7,199.2,,,Meteor Horseshoes,99.6,AP,0.496,0.361,,,Seed of Yggdrasil,99.6,AP,0.405,0.227,,,Void's Dust,99.6,AP,0.313,0.152,,,Mystic Spinal Fluid,66.4,AP,0.483,0.346,,,Soundless Bell,199.2,AP,0.269,0.154,,,Giant's Ring,642.6,AP,0.077,0.045
Featherweight,34.66,3.219,1.923,,Lamp of Evil-Sealing,17.53,197.7,AP,0.487,0.266,,,Crown of Silvery Light,17.67,196.2,AP,0.280,0.161,,,Forbidden Page,18.22,190.2,AP,0.364,0.182,,,Magic Gem of Caster,20.1,172.4,AP,0.101,,,,Caster Monument,18,192.6,AP,0.365,,,,Gem of Caster,21.7,159.7,AP,0.051,,,,7400,214,"22,986",,,32.9,12.3,5.6,194.9,,,Meteor Horseshoes,97.5,AP,0.507,0.368,,,Seed of Yggdrasil,97.5,AP,0.414,0.232,,,Void's Dust,97.5,AP,0.320,0.155,,,Mystic Spinal Fluid,65.0,AP,0.494,0.353,,,Soundless Bell,194.9,AP,0.274,0.157,,,Giant's Ring,628.7,AP,0.078,0.046
Welterweight,34.5,3.529,2.171,,Dragon's Reverse Scale,17.14,201.3,AP,0.859,0.486,,,Divine Leyline Spiritron,20.1,171.6,AP,0.309,0.189,,,Dragon Fang,24.73,139.5,AP,0.199,0.136,,,Secret Gem of Rider,10.24,336.9,AP,0.302,,,,Rider Monument,16.7,206.6,AP,0.332,,,,Magic Gem of Rider,20.1,171.6,AP,0.126,,,,8400,243,"23,807",,,33.8,12.7,5.5,188.2,,,Meteor Horseshoes,94.1,AP,0.525,0.382,,,Seed of Yggdrasil,94.1,AP,0.428,0.241,,,Void's Dust,94.1,AP,0.332,0.161,,,Mystic Spinal Fluid,62.7,AP,0.512,0.366,,,Soundless Bell,188.2,AP,0.284,0.163,,,Giant's Ring,607.0,AP,0.081,0.048
Heavyweight,32.75,4.528,2.825,,Mysterious Divine Wine,20.02,163.6,AP,0.854,0.487,,,Divine Leyline Spiritron,21.12,155.1,AP,0.342,0.210,,,Meteor Horseshoes,21.88,149.7,AP,0.330,0.240,,,Secret Gem of Lancer,20.07,163.2,AP,0.897,,,,Lancer Monument,20.9,156.7,AP,0.465,,,,Magic Gem of Lancer,18.5,177.0,AP,0.114,,,,9400,287,"33,059",,,44.8,16.7,4.1,135.5,,,Meteor Horseshoes,67.8,AP,0.729,0.530,,,Seed of Yggdrasil,67.8,AP,0.595,0.334,,,Void's Dust,67.8,AP,0.460,0.224,,,Mystic Spinal Fluid,45.2,AP,0.711,0.508,,,Soundless Bell,135.5,AP,0.395,0.226,,,Giant's Ring,437.2,AP,0.113,0.066
Super Heavyweight,32.8,5.156,3.182,,Heart of the Foreign God,25.05,130.9,AP,1.243,0.767,,,Divine Leyline Spiritron,27.21,120.5,AP,0.440,0.270,,,Great Knight Medal,27.22,120.5,AP,0.496,0.272,,,Secret Gem of Archer,29.89,109.7,AP,1.226,,,,Archer Monument,26,126.2,AP,0.548,,,,Magic Gem of Archer,17.1,191.8,AP,0.102,,,,9400,287,"32,780",,,44.4,16.6,4.2,136.7,,,Meteor Horseshoes,68.3,AP,0.723,0.525,,,Seed of Yggdrasil,68.3,AP,0.590,0.332,,,Void's Dust,68.3,AP,0.457,0.222,,,Mystic Spinal Fluid,45.6,AP,0.705,0.504,,,Soundless Bell,136.7,AP,0.391,0.224,,,Giant's Ring,440.9,AP,0.112,0.066
Holy Night,,,,,Giant's Ring,38.62,0.0,AP,,0.000,,,Gem of Archer,31.53,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Meteor Horseshoes,,,,,,,Seed of Yggdrasil,,,,,,,Void's Dust,,,,,,,Mystic Spinal Fluid,,,,,,,Soundless Bell,,,,,,,Giant's Ring,,,,
