Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Merry Roadwork: Beg,28.16,1.160,0.699,,16,Serpent Jewel,3.66,769.4,AP,0.070,0.042,,,6,Deadly Poison Needle,5.64,499.3,AP,0.067,0.040,,,54,Gem of Lancer,14.74,191.0,AP,0.044,,,,75,Lancer Piece,10.1,278.8,AP,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,67,"9,758",,,9.2,4.6,16.3,459.1,,,21,Meteor Horseshoes,12.267,229.6,AP,0.215,0.156,,,13,Seed of Yggdrasil,12.267,229.6,AP,0.176,0.099,,,4,Void's Dust,12.267,229.6,AP,0.136,0.066,,,7,Mystic Spinal Fluid,18.400,153.0,AP,0.210,0.150,,,26,Giant's Ring,1.901,"1,481.1",AP,0.033,0.020,,,39,Tearstone of Blood,6.133,459.1,AP,0.253,0.126,,,-1,Blue Gems,12.267,,-2,Red Gems,12.267,,-3,Gold Gems,6.133
Merry Roadwork: Int,32.12,1.687,1.018,,16,Serpent Jewel,9.67,332.2,AP,0.163,0.097,,,2,Evil Bone,17.45,184.1,AP,0.121,0.075,,,57,Gem of Assassin,18.05,178.0,AP,0.043,,,,78,Assassin Piece,15.2,211.3,AP,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,90,"13,390",,,14.4,7.2,10.4,334.6,,,21,Meteor Horseshoes,19.200,167.3,AP,0.295,0.215,,,13,Seed of Yggdrasil,19.200,167.3,AP,0.241,0.135,,,4,Void's Dust,19.200,167.3,AP,0.187,0.090,,,7,Mystic Spinal Fluid,28.800,111.5,AP,0.288,0.206,,,26,Giant's Ring,2.976,"1,079.3",AP,0.046,0.027,,,39,Tearstone of Blood,9.600,334.6,AP,0.347,0.173,,,-1,Blue Gems,19.200,,-2,Red Gems,19.200,,-3,Gold Gems,9.600
Merry Roadwork: Adv,35.37,2.447,1.489,,16,Serpent Jewel,13.94,253.7,AP,0.213,0.127,,,25,Eternal Ice,14.43,245.1,AP,0.188,0.127,,,60,Magic Gem of Archer,10.96,322.7,AP,0.061,,,,74,Archer Piece,18,196.5,AP,0.143,,,,53,Gem of Archer,16.7,211.8,AP,0.035,,,,,,,,,,,,,,,,,,,,,4400,124,"19,527",,,25.3,11.2,6.5,229.4,,,21,Meteor Horseshoes,30.833,114.7,AP,0.431,0.313,,,13,Seed of Yggdrasil,30.833,114.7,AP,0.351,0.198,,,4,Void's Dust,30.833,114.7,AP,0.272,0.131,,,7,Mystic Spinal Fluid,46.250,76.5,AP,0.420,0.300,,,26,Giant's Ring,4.779,740.1,AP,0.066,0.039,,,39,Tearstone of Blood,15.417,229.4,AP,0.506,0.253,,,-1,Blue Gems,30.833,,-2,Red Gems,30.833,,-3,Gold Gems,15.417
Flyweight,35.22,2.916,1.703,,39,Tearstone of Blood,12.57,280.2,AP,0.414,0.207,,,30,Crown of Silvery Light,12.35,285.2,AP,0.193,0.111,,,13,Seed of Yggdrasil,16.2,217.4,AP,0.185,0.104,,,65,Magic Gem of Berserker,15.2,231.7,AP,0.095,,,,79,Berserker Piece,20.1,175.2,AP,0.165,,,,58,Gem of Berserker,14.8,238.0,AP,0.032,,,,,,,,,,,,5400,153,"20,267",,,26.0,11.6,6.3,221.0,,,21,Meteor Horseshoes,31.867,110.5,AP,0.447,0.325,,,13,Seed of Yggdrasil,31.867,110.5,AP,0.365,0.205,,,4,Void's Dust,31.867,110.5,AP,0.282,0.136,,,7,Mystic Spinal Fluid,47.800,73.7,AP,0.436,0.312,,,26,Giant's Ring,4.939,713.1,AP,0.069,0.041,,,39,Tearstone of Blood,15.933,221.0,AP,0.525,0.262,,,-1,Blue Gems,31.867,,-2,Red Gems,31.867,,-3,Gold Gems,15.933
Bantamweight,34.76,3.262,1.891,,46,Reactor Core of Dawn,15.24,228.1,AP,0.455,0.230,,,30,Crown of Silvery Light,15.52,224.0,AP,0.246,0.141,,,18,Eternal Gear,15.65,222.1,AP,0.205,0.099,,,59,Magic Gem of Saber,15.65,222.1,AP,0.101,,,,80,Saber Monument,9.8,354.7,AP,0.210,,,,52,Gem of Saber,20.2,172.1,AP,0.046,,,,,,,,,,,,6400,184,"22,490",,,32.1,12.1,5.7,199.2,,,21,Meteor Horseshoes,34.900,99.6,AP,0.496,0.361,,,13,Seed of Yggdrasil,34.900,99.6,AP,0.405,0.227,,,4,Void's Dust,34.900,99.6,AP,0.313,0.151,,,7,Mystic Spinal Fluid,52.350,66.4,AP,0.483,0.346,,,26,Giant's Ring,5.410,642.6,AP,0.077,0.045,,,39,Tearstone of Blood,17.450,199.2,AP,0.582,0.291,,,-1,Blue Gems,34.900,,-2,Red Gems,34.900,,-3,Gold Gems,17.450
Featherweight,34.66,3.538,2.061,,41,Lamp of Evil-Sealing,17.53,197.7,AP,0.486,0.265,,,30,Crown of Silvery Light,17.67,196.2,AP,0.280,0.161,,,19,Forbidden Page,18.22,190.2,AP,0.364,0.182,,,63,Magic Gem of Caster,20.4,169.9,AP,0.103,,,,84,Caster Monument,15.6,222.2,AP,0.316,,,,56,Gem of Caster,19.4,178.7,AP,0.045,,,,,,,,,,,,7400,214,"22,986",,,32.9,12.3,5.6,194.9,,,21,Meteor Horseshoes,35.567,97.5,AP,0.507,0.368,,,13,Seed of Yggdrasil,35.567,97.5,AP,0.414,0.232,,,4,Void's Dust,35.567,97.5,AP,0.320,0.154,,,7,Mystic Spinal Fluid,53.350,65.0,AP,0.494,0.353,,,26,Giant's Ring,5.513,628.7,AP,0.078,0.046,,,39,Tearstone of Blood,17.783,194.9,AP,0.595,0.298,,,-1,Blue Gems,35.567,,-2,Red Gems,35.567,,-3,Gold Gems,17.783
Welterweight,34.5,3.861,2.315,,36,Dragon's Reverse Scale,17.14,201.3,AP,0.859,0.485,,,31,Divine Leyline Spiritron,20.1,171.6,AP,0.309,0.189,,,3,Dragon Fang,24.73,139.5,AP,0.199,0.136,,,69,Secret Gem of Rider,10.24,336.9,AP,0.302,,,,83,Rider Monument,17.9,192.7,AP,0.356,,,,62,Magic Gem of Rider,15.3,225.5,AP,0.096,,,,,,,,,,,,8400,243,"23,807",,,33.8,12.7,5.5,188.2,,,21,Meteor Horseshoes,36.667,94.1,AP,0.525,0.382,,,13,Seed of Yggdrasil,36.667,94.1,AP,0.428,0.241,,,4,Void's Dust,36.667,94.1,AP,0.332,0.160,,,7,Mystic Spinal Fluid,55.000,62.7,AP,0.512,0.366,,,26,Giant's Ring,5.683,607.0,AP,0.081,0.048,,,39,Tearstone of Blood,18.333,188.2,AP,0.616,0.308,,,-1,Blue Gems,36.667,,-2,Red Gems,36.667,,-3,Gold Gems,18.333
Heavyweight,32.75,4.989,3.025,,45,Mysterious Divine Wine,20.02,163.6,AP,0.854,0.487,,,31,Divine Leyline Spiritron,21.12,155.1,AP,0.342,0.210,,,21,Meteor Horseshoes,21.88,149.7,AP,0.330,0.240,,,68,Secret Gem of Lancer,20.07,163.2,AP,0.897,,,,82,Lancer Monument,19.9,164.6,AP,0.442,,,,61,Magic Gem of Lancer,15.2,215.5,AP,0.094,,,,,,,,,,,,9400,287,"33,059",,,44.8,16.7,4.1,135.5,,,21,Meteor Horseshoes,48.333,67.8,AP,0.729,0.530,,,13,Seed of Yggdrasil,48.333,67.8,AP,0.595,0.334,,,4,Void's Dust,48.333,67.8,AP,0.460,0.222,,,7,Mystic Spinal Fluid,72.500,45.2,AP,0.711,0.508,,,26,Giant's Ring,7.492,437.2,AP,0.113,0.066,,,39,Tearstone of Blood,24.167,135.5,AP,0.856,0.428,,,-1,Blue Gems,48.333,,-2,Red Gems,48.333,,-3,Gold Gems,24.167
Super Heavyweight,32.8,5.614,3.380,,35,Heart of the Foreign God,25.05,130.9,AP,1.243,0.767,,,31,Divine Leyline Spiritron,27.21,120.5,AP,0.440,0.270,,,22,Great Knight Medal,27.22,120.5,AP,0.496,0.271,,,67,Secret Gem of Archer,29.89,109.7,AP,1.226,,,,81,Archer Monument,25.1,130.7,AP,0.529,,,,60,Magic Gem of Archer,19.9,164.8,AP,0.119,,,,,,,,,,,,9400,287,"32,780",,,44.4,16.6,4.2,136.7,,,21,Meteor Horseshoes,48.000,68.3,AP,0.723,0.525,,,13,Seed of Yggdrasil,48.000,68.3,AP,0.590,0.332,,,4,Void's Dust,48.000,68.3,AP,0.457,0.220,,,7,Mystic Spinal Fluid,72.000,45.6,AP,0.705,0.504,,,26,Giant's Ring,7.440,440.9,AP,0.112,0.066,,,39,Tearstone of Blood,24.000,136.7,AP,0.849,0.424,,,-1,Blue Gems,48.000,,-2,Red Gems,48.000,,-3,Gold Gems,24.000
Holy Night,,,,,26,Giant's Ring,38.62,0.0,AP,,0.000,,,53,Gem of Archer,30.11,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,21,Meteor Horseshoes,,,,,,,,13,Seed of Yggdrasil,,,,,,,,4,Void's Dust,,,,,,,,7,Mystic Spinal Fluid,,,,,,,,26,Giant's Ring,,,,,,,,39,Tearstone of Blood,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
