Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,27.3,1.861,1.073,,23,Shell of Reminiscense,10,273.0,AP,0.191,0.115,,,55,Gem of Rider,14.55,187.6,AP,0.045,,,,76,Rider Piece,10.91,250.2,AP,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,70,"14,742",,,8.9,4.5,11.1,303.9,,,15,Octuplet Crystal,17.967,151.9,AP,0.343,0.167,,,24,Refined Magatama,17.967,151.9,AP,0.341,0.182,,,6,Deadly Poison Needle,26.950,101.3,AP,0.331,0.198,,,8,Stake of Wailing Night,26.950,101.3,AP,0.306,0.189,,,25,Eternal Ice,3.144,868.3,AP,0.053,0.036,,,34,Claw of Chaos,8.983,303.9,AP,0.297,0.186,,,-1,Blue Gems,17.967,,-2,Red Gems,17.967,,-3,Gold Gems,8.983
Int,30.62,2.769,1.558,,15,Octuplet Crystal,20.63,148.4,AP,0.351,0.171,,,56,Gem of Caster,15.63,195.9,AP,0.041,,,,77,Caster Piece,17.5,175.0,AP,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,95,"21,337",,,14.5,7.3,6.9,210.0,,,15,Octuplet Crystal,29.167,105.0,AP,0.496,0.242,,,24,Refined Magatama,29.167,105.0,AP,0.493,0.263,,,6,Deadly Poison Needle,43.750,70.0,AP,0.479,0.287,,,8,Stake of Wailing Night,43.750,70.0,AP,0.443,0.273,,,25,Eternal Ice,5.104,599.9,AP,0.077,0.052,,,34,Claw of Chaos,14.583,210.0,AP,0.430,0.269,,,-1,Blue Gems,29.167,,-2,Red Gems,29.167,,-3,Gold Gems,14.583
Adv,33.18,3.885,2.286,,7,Mystic Spinal Fluid,42.29,78.5,AP,0.409,0.293,,,57,Gem of Assassin,23.97,138.4,AP,0.056,,,,78,Assassin Piece,18.95,175.1,AP,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,133,"30,672",,,25.3,11.1,4.4,146.1,,,15,Octuplet Crystal,45.433,73.0,AP,0.713,0.348,,,24,Refined Magatama,45.433,73.0,AP,0.709,0.379,,,6,Deadly Poison Needle,68.150,48.7,AP,0.688,0.413,,,8,Stake of Wailing Night,68.150,48.7,AP,0.637,0.393,,,25,Eternal Ice,7.951,417.3,AP,0.110,0.075,,,34,Claw of Chaos,22.717,146.1,AP,0.618,0.386,,,-1,Blue Gems,45.433,,-2,Red Gems,45.433,,-3,Gold Gems,22.717
Fish,32.91,4.348,2.508,,45,Mysterious Divine Wine,8.22,400.4,AP,0.349,0.199,,,8,Stake of Wailing Night,37.78,87.1,AP,0.356,0.220,,,68,Secret Gem of Lancer,5.83,564.5,AP,0.259,,,,75,Lancer Piece,21.2,155.2,AP,0.182,,,,54,Gem of Lancer,28.8,114.3,AP,0.074,,,,,,,,,,,,,,,,,,,,,5400,164,"32,149",,,27.7,11.4,4.2,139.4,,,15,Octuplet Crystal,47.233,69.7,AP,0.748,0.365,,,24,Refined Magatama,47.233,69.7,AP,0.743,0.397,,,6,Deadly Poison Needle,70.850,46.5,AP,0.721,0.433,,,8,Stake of Wailing Night,70.850,46.5,AP,0.667,0.412,,,25,Eternal Ice,8.266,398.1,AP,0.116,0.078,,,34,Claw of Chaos,23.617,139.4,AP,0.647,0.405,,,-1,Blue Gems,47.233,,-2,Red Gems,47.233,,-3,Gold Gems,23.617
Vegetable,32.41,4.949,2.874,,50,Fruit of Eternity,16.27,199.2,AP,0.521,0.263,,,21,Meteor Horseshoes,30.55,106.1,AP,0.466,0.338,,,72,Secret Gem of Berserker,16.04,202.1,AP,0.823,,,,86,Berserker Monument,11.1,292.0,AP,0.248,,,,58,Gem of Berserker,33.5,96.7,AP,0.078,,,,,,,,,,,,,,,,,,,,,6400,197,"34,972",,,31.8,12.0,4.0,128.1,,,15,Octuplet Crystal,50.600,64.1,AP,0.813,0.397,,,24,Refined Magatama,50.600,64.1,AP,0.809,0.432,,,6,Deadly Poison Needle,75.900,42.7,AP,0.785,0.471,,,8,Stake of Wailing Night,75.900,42.7,AP,0.726,0.448,,,25,Eternal Ice,8.855,366.0,AP,0.126,0.085,,,34,Claw of Chaos,25.300,128.1,AP,0.704,0.440,,,-1,Blue Gems,50.600,,-2,Red Gems,50.600,,-3,Gold Gems,25.300
Meat,31.99,5.430,3.065,,36,Dragon's Reverse Scale,13.24,241.6,AP,0.716,0.404,,,18,Eternal Gear,33.59,95.2,AP,0.478,0.230,,,67,Secret Gem of Archer,10.95,292.1,AP,0.460,,,,81,Archer Monument,16,199.9,AP,0.346,,,,60,Magic Gem of Archer,28.2,113.4,AP,0.173,,,,53,Gem of Archer,12.1,264.4,AP,0.028,,,,,,,,,,,,7400,231,"37,392",,,33.2,12.7,3.7,119.8,,,15,Octuplet Crystal,53.400,59.9,AP,0.870,0.424,,,24,Refined Magatama,53.400,59.9,AP,0.865,0.461,,,6,Deadly Poison Needle,80.100,39.9,AP,0.839,0.503,,,8,Stake of Wailing Night,80.100,39.9,AP,0.776,0.479,,,25,Eternal Ice,9.345,342.3,AP,0.135,0.091,,,34,Claw of Chaos,26.700,119.8,AP,0.753,0.471,,,-1,Blue Gems,53.400,,-2,Red Gems,53.400,,-3,Gold Gems,26.700
Cheese,31.9,5.622,3.283,,41,Lamp of Evil-Sealing,23.6,135.2,AP,0.710,0.388,,,20,Homunculus Baby,37.33,85.5,AP,0.618,0.432,,,59,Magic Gem of Saber,33.12,96.3,AP,0.233,,,,80,Saber Monument,19,167.9,AP,0.443,,,,52,Gem of Saber,11.7,272.6,AP,0.029,,,,,,,,,,,,,,,,,,,,,8400,263,"37,895",,,33.9,12.8,3.7,118.2,,,15,Octuplet Crystal,53.967,59.1,AP,0.881,0.430,,,24,Refined Magatama,53.967,59.1,AP,0.876,0.468,,,6,Deadly Poison Needle,80.950,39.4,AP,0.850,0.510,,,8,Stake of Wailing Night,80.950,39.4,AP,0.787,0.486,,,25,Eternal Ice,9.444,337.8,AP,0.136,0.092,,,34,Claw of Chaos,26.983,118.2,AP,0.763,0.477,,,-1,Blue Gems,53.967,,-2,Red Gems,53.967,,-3,Gold Gems,26.983
Noodle,29.34,8.046,4.691,,48,Egg of Truth,21.05,139.4,AP,1.181,0.700,,,14,Ghost Lantern,40.49,72.5,AP,0.718,0.466,,,68,Secret Gem of Lancer,21.27,137.9,AP,1.061,,,,82,Lancer Monument,21.8,134.6,AP,0.541,,,,54,Gem of Lancer,22.4,131.0,AP,0.065,,,,54,Gem of Lancer,5.8,505.9,AP,0.017,,,,,,,,,,,,9400,320,"54,257",,,44.7,16.9,2.8,82.6,,,15,Octuplet Crystal,71.067,41.3,AP,1.262,0.616,,,24,Refined Magatama,71.067,41.3,AP,1.255,0.670,,,6,Deadly Poison Needle,106.600,27.5,AP,1.217,0.730,,,8,Stake of Wailing Night,106.600,27.5,AP,1.126,0.695,,,25,Eternal Ice,12.437,235.9,AP,0.195,0.132,,,34,Claw of Chaos,35.533,82.6,AP,1.092,0.683,,,-1,Blue Gems,71.067,,-2,Red Gems,71.067,,-3,Gold Gems,35.533
Tidying Up,29.47,8.538,4.958,,51,Flaming Oni Lantern Plant,26.3,112.1,AP,1.517,0.929,,,30,Crown of Silvery Light,52.19,56.5,AP,0.974,0.561,,,71,Secret Gem of Assassin,31.36,94.0,AP,1.681,,,,85,Assassin Monument,26.1,112.9,AP,0.617,,,,57,Gem of Assassin,5.9,499.5,AP,0.015,,,,,,,,,,,,,,,,,,,,,9400,319,"53,369",,,44.8,16.6,2.8,83.9,,,15,Octuplet Crystal,70.213,42.0,AP,1.241,0.605,,,24,Refined Magatama,70.213,42.0,AP,1.234,0.659,,,6,Deadly Poison Needle,105.320,28.0,AP,1.197,0.718,,,8,Stake of Wailing Night,105.320,28.0,AP,1.108,0.684,,,25,Eternal Ice,12.287,239.8,AP,0.192,0.130,,,34,Claw of Chaos,35.107,83.9,AP,1.075,0.672,,,-1,Blue Gems,70.213,,-2,Red Gems,70.213,,-3,Gold Gems,35.107
Ice Cream,,,,,25,Eternal Ice,43.15,0.0,AP,,0.000,,,64,Magic Gem of Assassin,11.22,0.0,AP,,,,,57,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,15,Octuplet Crystal,,,,,,,,24,Refined Magatama,,,,,,,,6,Deadly Poison Needle,,,,,,,,8,Stake of Wailing Night,,,,,,,,25,Eternal Ice,,,,,,,,34,Claw of Chaos,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
