Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,27.3,1.742,0.997,,23,Shell of Reminiscense,10,273.0,AP,0.191,0.115,,,55,Gem of Rider,14.55,187.6,AP,0.045,,,,76,Rider Piece,10.91,250.2,AP,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,70,"14,742",,,8.9,4.5,11.1,303.9,,,15,Octuplet Crystal,0.180,151.9,AP,0.343,0.167,,,24,Refined Magatama,0.180,151.9,AP,0.341,0.182,,,6,Deadly Poison Needle,0.270,101.3,AP,0.331,0.198,,,8,Stake of Wailing Night,0.270,101.3,AP,0.306,0.189,,,25,Eternal Ice,0.031,868.3,AP,0.053,0.036,,,27,Aurora Steel,0.090,303.9,AP,0.177,0.110,,,-1,Blue Gems,0.180,,-2,Red Gems,0.180,,-3,Gold Gems,0.090
Int,30.62,2.596,1.448,,15,Octuplet Crystal,20.63,148.4,AP,0.351,0.171,,,56,Gem of Caster,15.63,195.9,AP,0.041,,,,77,Caster Piece,17.5,175.0,AP,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,95,"21,337",,,14.5,7.3,6.9,210.0,,,15,Octuplet Crystal,0.292,105.0,AP,0.496,0.242,,,24,Refined Magatama,0.292,105.0,AP,0.493,0.263,,,6,Deadly Poison Needle,0.438,70.0,AP,0.479,0.287,,,8,Stake of Wailing Night,0.438,70.0,AP,0.443,0.273,,,25,Eternal Ice,0.051,599.9,AP,0.077,0.052,,,27,Aurora Steel,0.146,210.0,AP,0.257,0.159,,,-1,Blue Gems,0.292,,-2,Red Gems,0.292,,-3,Gold Gems,0.146
Adv,33.18,3.636,2.129,,7,Mystic Spinal Fluid,42.29,78.5,AP,0.409,0.293,,,57,Gem of Assassin,23.97,138.4,AP,0.056,,,,78,Assassin Piece,18.95,175.1,AP,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,133,"30,672",,,25.3,11.1,4.4,146.1,,,15,Octuplet Crystal,0.454,73.0,AP,0.713,0.348,,,24,Refined Magatama,0.454,73.0,AP,0.709,0.379,,,6,Deadly Poison Needle,0.682,48.7,AP,0.688,0.413,,,8,Stake of Wailing Night,0.682,48.7,AP,0.637,0.393,,,25,Eternal Ice,0.080,417.3,AP,0.110,0.075,,,27,Aurora Steel,0.227,146.1,AP,0.369,0.229,,,-1,Blue Gems,0.454,,-2,Red Gems,0.454,,-3,Gold Gems,0.227
Fish,32.91,4.087,2.343,,45,Mysterious Divine Wine,8.22,400.4,AP,0.349,0.199,,,8,Stake of Wailing Night,37.78,87.1,AP,0.356,0.220,,,68,Secret Gem of Lancer,5.83,564.5,AP,0.259,,,,75,Lancer Piece,21.2,155.2,AP,0.182,,,,54,Gem of Lancer,28.8,114.3,AP,0.074,,,,,,,,,,,,,,,,,,,,,5400,164,"32,149",,,27.7,11.4,4.2,139.4,,,15,Octuplet Crystal,0.472,69.7,AP,0.748,0.365,,,24,Refined Magatama,0.472,69.7,AP,0.743,0.397,,,6,Deadly Poison Needle,0.709,46.5,AP,0.721,0.433,,,8,Stake of Wailing Night,0.709,46.5,AP,0.667,0.412,,,25,Eternal Ice,0.083,398.1,AP,0.116,0.078,,,27,Aurora Steel,0.236,139.4,AP,0.387,0.240,,,-1,Blue Gems,0.472,,-2,Red Gems,0.472,,-3,Gold Gems,0.236
Vegetable,32.41,4.666,2.694,,50,Fruit of Eternity,16.27,199.2,AP,0.521,0.263,,,21,Meteor Horseshoes,30.55,106.1,AP,0.466,0.338,,,72,Secret Gem of Berserker,16.04,202.1,AP,0.823,,,,86,Berserker Monument,11.1,292.0,AP,0.248,,,,58,Gem of Berserker,33.5,96.7,AP,0.078,,,,,,,,,,,,,,,,,,,,,6400,197,"34,972",,,31.8,12.0,4.0,128.1,,,15,Octuplet Crystal,0.506,64.1,AP,0.813,0.397,,,24,Refined Magatama,0.506,64.1,AP,0.809,0.432,,,6,Deadly Poison Needle,0.759,42.7,AP,0.785,0.471,,,8,Stake of Wailing Night,0.759,42.7,AP,0.726,0.448,,,25,Eternal Ice,0.089,366.0,AP,0.126,0.085,,,27,Aurora Steel,0.253,128.1,AP,0.421,0.261,,,-1,Blue Gems,0.506,,-2,Red Gems,0.506,,-3,Gold Gems,0.253
Meat,31.99,5.127,2.873,,36,Dragon's Reverse Scale,13.24,241.6,AP,0.716,0.404,,,18,Eternal Gear,33.59,95.2,AP,0.478,0.230,,,67,Secret Gem of Archer,10.95,292.1,AP,0.460,,,,81,Archer Monument,16,199.9,AP,0.346,,,,60,Magic Gem of Archer,28.2,113.4,AP,0.173,,,,53,Gem of Archer,12.1,264.4,AP,0.028,,,,,,,,,,,,7400,231,"37,392",,,33.2,12.7,3.7,119.8,,,15,Octuplet Crystal,0.534,59.9,AP,0.870,0.424,,,24,Refined Magatama,0.534,59.9,AP,0.865,0.461,,,6,Deadly Poison Needle,0.801,39.9,AP,0.839,0.503,,,8,Stake of Wailing Night,0.801,39.9,AP,0.776,0.479,,,25,Eternal Ice,0.093,342.3,AP,0.135,0.091,,,27,Aurora Steel,0.267,119.8,AP,0.450,0.279,,,-1,Blue Gems,0.534,,-2,Red Gems,0.534,,-3,Gold Gems,0.267
Cheese,31.9,5.315,3.089,,41,Lamp of Evil-Sealing,23.6,135.2,AP,0.710,0.388,,,20,Homunculus Baby,37.33,85.5,AP,0.618,0.432,,,59,Magic Gem of Saber,33.12,96.3,AP,0.233,,,,80,Saber Monument,19,167.9,AP,0.443,,,,52,Gem of Saber,11.7,272.6,AP,0.029,,,,,,,,,,,,,,,,,,,,,8400,263,"37,895",,,33.9,12.8,3.7,118.2,,,15,Octuplet Crystal,0.540,59.1,AP,0.881,0.430,,,24,Refined Magatama,0.540,59.1,AP,0.876,0.468,,,6,Deadly Poison Needle,0.810,39.4,AP,0.850,0.510,,,8,Stake of Wailing Night,0.810,39.4,AP,0.787,0.486,,,25,Eternal Ice,0.094,337.8,AP,0.136,0.092,,,27,Aurora Steel,0.270,118.2,AP,0.456,0.283,,,-1,Blue Gems,0.540,,-2,Red Gems,0.540,,-3,Gold Gems,0.270
Noodle,29.34,7.607,4.413,,48,Egg of Truth,21.05,139.4,AP,1.181,0.700,,,14,Ghost Lantern,40.49,72.5,AP,0.718,0.466,,,68,Secret Gem of Lancer,21.27,137.9,AP,1.061,,,,82,Lancer Monument,21.8,134.6,AP,0.541,,,,54,Gem of Lancer,22.4,131.0,AP,0.065,,,,54,Gem of Lancer,5.8,505.9,AP,0.017,,,,,,,,,,,,9400,320,"54,257",,,44.7,16.9,2.8,82.6,,,15,Octuplet Crystal,0.711,41.3,AP,1.262,0.616,,,24,Refined Magatama,0.711,41.3,AP,1.255,0.670,,,6,Deadly Poison Needle,1.066,27.5,AP,1.217,0.730,,,8,Stake of Wailing Night,1.066,27.5,AP,1.126,0.695,,,25,Eternal Ice,0.124,235.9,AP,0.195,0.132,,,27,Aurora Steel,0.355,82.6,AP,0.653,0.405,,,-1,Blue Gems,0.711,,-2,Red Gems,0.711,,-3,Gold Gems,0.355
Tidying Up,29.47,8.106,4.684,,51,Flaming Oni Lantern Plant,26.3,112.1,AP,1.517,0.929,,,30,Crown of Silvery Light,52.19,56.5,AP,0.974,0.561,,,71,Secret Gem of Assassin,31.36,94.0,AP,1.681,,,,85,Assassin Monument,26.1,112.9,AP,0.617,,,,57,Gem of Assassin,5.9,499.5,AP,0.015,,,,,,,,,,,,,,,,,,,,,9400,319,"53,369",,,44.8,16.6,2.8,83.9,,,15,Octuplet Crystal,0.702,42.0,AP,1.241,0.605,,,24,Refined Magatama,0.702,42.0,AP,1.234,0.659,,,6,Deadly Poison Needle,1.053,28.0,AP,1.197,0.718,,,8,Stake of Wailing Night,1.053,28.0,AP,1.108,0.684,,,25,Eternal Ice,0.123,239.8,AP,0.192,0.130,,,27,Aurora Steel,0.351,83.9,AP,0.642,0.398,,,-1,Blue Gems,0.702,,-2,Red Gems,0.702,,-3,Gold Gems,0.351
Ice Cream,,,,,25,Eternal Ice,43.15,0.0,AP,,0.000,,,64,Magic Gem of Assassin,11.22,0.0,AP,,,,,57,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,15,Octuplet Crystal,,,,,,,,24,Refined Magatama,,,,,,,,6,Deadly Poison Needle,,,,,,,,8,Stake of Wailing Night,,,,,,,,25,Eternal Ice,,,,,,,,27,Aurora Steel,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
