Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Beg,27.75,1.474,0.838,,Shell of Reminiscense,10,277.5,AP,0.188,0.113,,,Gem of Rider,14.55,190.7,AP,0.044,,,,Rider Piece,10.91,254.4,AP,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,68,"12,081",,,8.9,4.5,13.4,370.8,,,Octuplet Crystal,185.4,AP,0.281,0.137,,,Refined Magatama,185.4,AP,0.279,0.151,,,Deadly Poison Needle,123.6,AP,0.271,0.163,,,Stake of Wailing Night,123.6,AP,0.251,0.155,,,Eternal Ice,"1,059.5",AP,0.044,0.029,,,Phoenix Feather,370.8,AP,0.160,0.090
Int,31.35,2.191,1.209,,Octuplet Crystal,20.63,152.0,AP,0.343,0.167,,,Gem of Caster,15.63,200.6,AP,0.040,,,,Caster Piece,17.5,179.1,AP,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,93,"17,363",,,14.5,7.3,8.2,258.0,,,Octuplet Crystal,129.0,AP,0.404,0.197,,,Refined Magatama,129.0,AP,0.402,0.216,,,Deadly Poison Needle,86.0,AP,0.389,0.234,,,Stake of Wailing Night,86.0,AP,0.360,0.222,,,Eternal Ice,737.2,AP,0.063,0.042,,,Phoenix Feather,258.0,AP,0.230,0.129
Adv,34.29,3.040,1.773,,Mystic Spinal Fluid,42.29,81.1,AP,0.396,0.283,,,Gem of Assassin,23.97,143.1,AP,0.054,,,,Assassin Piece,18.95,180.9,AP,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,128,"24,845",,,25.3,11.1,5.3,180.3,,,Octuplet Crystal,90.2,AP,0.578,0.282,,,Refined Magatama,90.2,AP,0.575,0.310,,,Deadly Poison Needle,60.1,AP,0.557,0.334,,,Stake of Wailing Night,60.1,AP,0.516,0.318,,,Eternal Ice,515.2,AP,0.089,0.061,,,Phoenix Feather,180.3,AP,0.329,0.185
Fish,34.05,3.456,1.968,,Mysterious Divine Wine,8.22,414.2,AP,0.337,0.192,,,Stake of Wailing Night,37.78,90.1,AP,0.344,0.212,,,Secret Gem of Lancer,5.83,584.0,AP,0.251,,,,Lancer Piece,21.2,160.6,AP,0.176,,,,Gem of Lancer,28.8,118.2,AP,0.072,,,,,,,,,,,,,,,,,,,5400,159,"26,073",,,27.7,11.4,5.0,171.8,,,Octuplet Crystal,85.9,AP,0.606,0.296,,,Refined Magatama,85.9,AP,0.603,0.325,,,Deadly Poison Needle,57.3,AP,0.585,0.351,,,Stake of Wailing Night,57.3,AP,0.541,0.334,,,Eternal Ice,490.9,AP,0.094,0.064,,,Phoenix Feather,171.8,AP,0.346,0.194
Vegetable,33.61,3.973,2.282,,Fruit of Eternity,16.27,206.6,AP,0.502,0.253,,,Meteor Horseshoes,30.55,110.0,AP,0.449,0.326,,,Secret Gem of Berserker,16.04,209.5,AP,0.793,,,,Berserker Monument,11.1,302.8,AP,0.239,,,,Gem of Berserker,33.5,100.3,AP,0.075,,,,,,,,,,,,,,,,,,,6400,190,"28,392",,,31.8,12.0,4.7,157.8,,,Octuplet Crystal,78.9,AP,0.660,0.322,,,Refined Magatama,78.9,AP,0.657,0.354,,,Deadly Poison Needle,52.6,AP,0.637,0.382,,,Stake of Wailing Night,52.6,AP,0.589,0.364,,,Eternal Ice,450.8,AP,0.102,0.069,,,Phoenix Feather,157.8,AP,0.376,0.212
Meat,33.26,4.369,2.428,,Dragon's Reverse Scale,13.24,251.2,AP,0.688,0.389,,,Eternal Gear,33.59,99.0,AP,0.460,0.223,,,Secret Gem of Archer,10.95,303.7,AP,0.443,,,,Archer Monument,16,207.9,AP,0.332,,,,Magic Gem of Archer,28.2,117.9,AP,0.166,,,,Gem of Archer,12.1,274.9,AP,0.027,,,,,,,,,,,7400,222,"30,262",,,33.2,12.7,4.5,148.0,,,Octuplet Crystal,74.0,AP,0.704,0.343,,,Refined Magatama,74.0,AP,0.700,0.377,,,Deadly Poison Needle,49.3,AP,0.679,0.407,,,Stake of Wailing Night,49.3,AP,0.628,0.388,,,Eternal Ice,423.0,AP,0.109,0.074,,,Phoenix Feather,148.0,AP,0.401,0.226
Cheese,33.18,4.543,2.628,,Lamp of Evil-Sealing,23.6,140.6,AP,0.684,0.375,,,Homunculus Baby,37.33,88.9,AP,0.594,0.414,,,Magic Gem of Saber,33.12,100.2,AP,0.224,,,,Saber Monument,19,174.6,AP,0.426,,,,Gem of Saber,11.7,283.6,AP,0.028,,,,,,,,,,,,,,,,,,,8400,253,"30,672",,,33.9,12.8,4.4,146.1,,,Octuplet Crystal,73.0,AP,0.713,0.348,,,Refined Magatama,73.0,AP,0.709,0.382,,,Deadly Poison Needle,48.7,AP,0.688,0.413,,,Stake of Wailing Night,48.7,AP,0.637,0.393,,,Eternal Ice,417.3,AP,0.110,0.075,,,Phoenix Feather,146.1,AP,0.407,0.229
Noodle,31.02,6.394,3.694,,Egg of Truth,21.05,147.4,AP,1.117,0.662,,,Ghost Lantern,40.49,76.6,AP,0.679,0.440,,,Secret Gem of Lancer,21.27,145.8,AP,1.004,,,,Lancer Monument,21.8,142.3,AP,0.512,,,,Gem of Lancer,22.4,138.5,AP,0.061,,,,Gem of Lancer,5.8,534.8,AP,0.016,,,,,,,,,,,9400,303,"43,207",,,44.7,16.9,3.3,103.7,,,Octuplet Crystal,51.8,AP,1.005,0.490,,,Refined Magatama,51.8,AP,0.999,0.539,,,Deadly Poison Needle,34.6,AP,0.969,0.581,,,Stake of Wailing Night,34.6,AP,0.897,0.554,,,Eternal Ice,296.3,AP,0.156,0.105,,,Phoenix Feather,103.7,AP,0.573,0.322
Tidying Up,31.13,6.889,3.963,,Flaming Oni Lantern Plant,26.3,118.4,AP,1.436,0.879,,,Crown of Silvery Light,52.19,59.6,AP,0.922,0.531,,,Secret Gem of Assassin,31.36,99.3,AP,1.592,,,,Assassin Monument,26.1,119.3,AP,0.584,,,,Gem of Assassin,5.9,527.6,AP,0.015,,,,,,,,,,,,,,,,,,,9400,302,"42,567",,,44.8,16.6,3.4,105.2,,,Octuplet Crystal,52.6,AP,0.990,0.483,,,Refined Magatama,52.6,AP,0.984,0.531,,,Deadly Poison Needle,35.1,AP,0.955,0.573,,,Stake of Wailing Night,35.1,AP,0.884,0.545,,,Eternal Ice,300.7,AP,0.153,0.104,,,Phoenix Feather,105.2,AP,0.564,0.317
Ice Cream,,,,,Eternal Ice,43.15,0.0,AP,,0.000,,,Magic Gem of Assassin,11.22,0.0,AP,,,,,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,Octuplet Crystal,,,,,,,Refined Magatama,,,,,,,Deadly Poison Needle,,,,,,,Stake of Wailing Night,,,,,,,Eternal Ice,,,,,,,Phoenix Feather,,,,
