Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Prelims: Isle,36.27,2.229,1.394,,Aurora Steel,27.98,129.6,AP,0.416,0.258,,,Dragon Fang,45.27,80.1,AP,0.347,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,204,"15,438",,,34.7,10.0,8.0,291.5,,,Arrowhead of Malice,145.7,AP,0.355,0.219,,,Ghost Lantern,145.7,AP,0.357,0.232,,,Mystic Gunpowder,97.2,AP,0.313,0.205,,,Proof of Hero,97.2,AP,0.212,0.103,,,Evil Bone,97.2,AP,0.230,0.141,,,,,,,
Prelims: Cont.,36.02,2.330,1.359,,Refined Magatama,32.61,110.5,AP,0.469,0.253,,,Proof of Hero,50,72.0,AP,0.286,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,219,"16,591",,,35.6,11.0,7.5,271.2,,,Arrowhead of Malice,135.6,AP,0.381,0.235,,,Ghost Lantern,135.6,AP,0.383,0.249,,,Mystic Gunpowder,90.4,AP,0.336,0.220,,,Proof of Hero,90.4,AP,0.228,0.111,,,Evil Bone,90.4,AP,0.247,0.152,,,,,,,
Prelims: Planet,35.86,2.783,1.668,,Reactor Core of Dawn,22.41,160.0,AP,0.649,0.327,,,Eternal Ice,37.99,94.4,AP,0.488,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,234,"17,336",,,35.5,11.8,7.2,259.6,,,Arrowhead of Malice,129.8,AP,0.398,0.245,,,Ghost Lantern,129.8,AP,0.401,0.260,,,Mystic Gunpowder,86.5,AP,0.351,0.230,,,Proof of Hero,86.5,AP,0.238,0.116,,,Evil Bone,86.5,AP,0.258,0.159,,,,,,,
Prelims: Galaxy,34.75,3.602,2.158,,Primordial Lanugo,26.27,132.3,AP,0.871,0.512,,,Seed of Yggdrasil,49.96,69.6,AP,0.579,0.326,,,Magic Gem of Caster,,,,,,,,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,271,"22,662",,,45.0,15.0,5.7,198.6,,,Arrowhead of Malice,99.3,AP,0.521,0.321,,,Ghost Lantern,99.3,AP,0.524,0.340,,,Mystic Gunpowder,66.2,AP,0.459,0.300,,,Proof of Hero,66.2,AP,0.311,0.152,,,Evil Bone,66.2,AP,0.337,0.208,,,,,,,
Prelims: Space,34.74,4.093,2.443,,Spirit Root,26.21,132.5,AP,1.202,0.586,,,Meteor Horseshoes,51.71,67.2,AP,0.735,0.534,,,Secret Gem of Saber,26.43,131.4,AP,1.097,,,,Saber Monument,,,,,,,,Rider Monument,,,,,,,,,,,,,,,,,,,,,,,9400,271,"22,699",,,45.1,15.0,5.7,198.2,,,Arrowhead of Malice,99.1,AP,0.522,0.321,,,Ghost Lantern,99.1,AP,0.525,0.340,,,Mystic Gunpowder,66.1,AP,0.460,0.301,,,Proof of Hero,66.1,AP,0.312,0.152,,,Evil Bone,66.1,AP,0.337,0.208,,,,,,,
Main: Isle,36.05,2.349,1.342,,Octuplet Crystal,27.27,132.2,AP,0.394,0.192,,,Void's Dust,45.45,79.3,AP,0.393,0.191,,,Secret Gem of Assassin,9.09,396.6,AP,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,205,"16,450",,,37.4,10.4,7.6,273.6,,,Arrowhead of Malice,136.8,AP,0.378,0.233,,,Ghost Lantern,136.8,AP,0.380,0.247,,,Mystic Gunpowder,91.2,AP,0.333,0.218,,,Proof of Hero,91.2,AP,0.226,0.110,,,Evil Bone,91.2,AP,0.245,0.151,,,,,,,
Main: Cont.,36.19,2.431,1.444,,Phoenix Feather,56.67,63.9,AP,0.930,0.523,,,Secret Gem of Lancer,13.33,271.5,AP,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,218,"15,802",,,35.7,10.1,7.9,284.8,,,Arrowhead of Malice,142.4,AP,0.363,0.224,,,Ghost Lantern,142.4,AP,0.365,0.237,,,Mystic Gunpowder,94.9,AP,0.320,0.209,,,Proof of Hero,94.9,AP,0.217,0.106,,,Evil Bone,94.9,AP,0.235,0.145,,,,,,,
Main: Planet,35.6,3.010,1.738,,Fruit of Eternity,20.91,170.3,AP,0.609,0.307,,,Great Knight Medal,38.18,93.2,AP,0.641,0.351,,,Secret Gem of Saber,13.64,261.0,AP,0.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,236,"18,531",,,40.2,12.0,6.8,242.8,,,Arrowhead of Malice,121.4,AP,0.426,0.262,,,Ghost Lantern,121.4,AP,0.428,0.278,,,Mystic Gunpowder,80.9,AP,0.376,0.246,,,Proof of Hero,80.9,AP,0.254,0.124,,,Evil Bone,80.9,AP,0.275,0.170,,,,,,,
Main: Galaxy,34.63,3.802,2.317,,Flaming Oni Lantern Plant,20.94,165.4,AP,1.028,0.629,,,Giant's Ring,39.81,87.0,AP,0.566,0.333,,,Secret Gem of Berserker,16.22,213.5,AP,0.778,,,,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,271,"23,256",,,47.7,14.9,5.6,193.5,,,Arrowhead of Malice,96.7,AP,0.534,0.329,,,Ghost Lantern,96.7,AP,0.537,0.349,,,Mystic Gunpowder,64.5,AP,0.471,0.308,,,Proof of Hero,64.5,AP,0.319,0.156,,,Evil Bone,64.5,AP,0.346,0.213,,,,,,,
Main: Space,34.61,4.322,2.685,,Scarab of Wisdom,26.02,133.0,AP,1.319,0.777,,,Homunculus Baby,51.34,67.4,AP,0.783,0.546,,,Secret Gem of Caster,21.33,162.3,AP,0.324,,,,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,272,"23,373",,,47.9,15.0,5.6,192.5,,,Arrowhead of Malice,96.3,AP,0.537,0.331,,,Ghost Lantern,96.3,AP,0.540,0.351,,,Mystic Gunpowder,64.2,AP,0.474,0.310,,,Proof of Hero,64.2,AP,0.321,0.157,,,Evil Bone,64.2,AP,0.347,0.214,,,,,,,
