Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Beg,8.39,3.519,1.838,,1,Proof of Hero,13.3,63.1,AP,0.327,0.159,,,54,Gem of Lancer,3.16,265.5,AP,0.032,,,,75,Lancer Piece,2.8,299.6,AP,0.094,,,,58,Gem of Berserker,1.31,640.5,AP,0.012,,,,76,Rider Piece,3.11,269.8,AP,0.105,,,,,,,,,,,,,,,,,,,,,1900,226,"28,312",,,8.1,2.0,18.7,156.8,,,19,Forbidden Page,10.700,78.4,AP,0.884,0.442,,,22,Great Knight Medal,10.700,78.4,AP,0.763,0.417,,,1,Proof of Hero,16.050,52.3,AP,0.394,0.192,,,4,Void's Dust,16.050,52.3,AP,0.597,0.288,,,5,Fool's Chain,16.050,52.3,AP,0.555,0.340,,,,,,,,,,,,-1,Blue Gems,10.700,,-2,Red Gems,10.700,,-3,Gold Gems,5.350
Prelims: Int,16.87,3.456,1.874,,3,Dragon Fang,21.84,77.2,AP,0.360,0.245,,,52,Gem of Saber,6.91,244.1,AP,0.033,,,,73,Saber Piece,2.2,766.8,AP,0.038,,,,57,Gem of Assassin,12,140.6,AP,0.055,,,,77,Caster Piece,3.3,511.2,AP,0.047,,,,,,,,,,,,,,,,,,,,,2900,172,"27,459",,,15.8,3.9,9.6,161.7,,,19,Forbidden Page,20.867,80.8,AP,0.857,0.429,,,22,Great Knight Medal,20.867,80.8,AP,0.740,0.404,,,1,Proof of Hero,31.300,53.9,AP,0.382,0.186,,,4,Void's Dust,31.300,53.9,AP,0.579,0.279,,,5,Fool's Chain,31.300,53.9,AP,0.538,0.330,,,,,,,,,,,,-1,Blue Gems,20.867,,-2,Red Gems,20.867,,-3,Gold Gems,10.433
Prelims: Adv,24.71,4.234,2.240,,22,Great Knight Medal,27.33,90.4,AP,0.661,0.362,,,52,Gem of Saber,27.2,90.8,AP,0.088,,,,73,Saber Piece,9.4,262.9,AP,0.110,,,,79,Berserker Piece,7.8,316.8,AP,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,178,"31,684",,,25.4,6.7,5.7,140.1,,,19,Forbidden Page,35.267,70.1,AP,0.989,0.495,,,22,Great Knight Medal,35.267,70.1,AP,0.853,0.467,,,1,Proof of Hero,52.900,46.7,AP,0.441,0.215,,,4,Void's Dust,52.900,46.7,AP,0.668,0.322,,,5,Fool's Chain,52.900,46.7,AP,0.621,0.380,,,,,,,,,,,,-1,Blue Gems,35.267,,-2,Red Gems,35.267,,-3,Gold Gems,17.633
Prelims: Exp,32.3,4.717,2.546,,34,Claw of Chaos,15.37,210.1,AP,0.429,0.268,,,6,Deadly Poison Needle,30.14,107.2,AP,0.313,0.188,,,65,Magic Gem of Berserker,19.4,166.5,AP,0.132,,,,81,Archer Monument,4.5,717.8,AP,0.096,,,,55,Gem of Rider,28,115.4,AP,0.073,,,,,,,,,,,,,,,,,,,,,6400,198,"35,259",,,35.1,9.9,3.9,125.9,,,19,Forbidden Page,51.300,63.0,AP,1.101,0.550,,,22,Great Knight Medal,51.300,63.0,AP,0.950,0.519,,,1,Proof of Hero,76.950,42.0,AP,0.491,0.239,,,4,Void's Dust,76.950,42.0,AP,0.743,0.359,,,5,Fool's Chain,76.950,42.0,AP,0.691,0.423,,,,,,,,,,,,-1,Blue Gems,51.300,,-2,Red Gems,51.300,,-3,Gold Gems,25.650
Prelims: Hero,30.9,6.389,3.387,,44,Cursed Beast Gallstone,18.29,168.9,AP,0.946,0.505,,,17,Phoenix Feather,27.51,112.3,AP,0.529,0.297,,,72,Secret Gem of Berserker,16.8,183.9,AP,0.904,,,,85,Assassin Monument,9,343.3,AP,0.203,,,,62,Magic Gem of Rider,24.3,127.2,AP,0.170,,,,55,Gem of Rider,22.6,136.7,AP,0.061,,,,,,,,,,,,7400,239,"43,586",,,36.8,12.1,3.3,101.9,,,19,Forbidden Page,60.667,50.9,AP,1.361,0.680,,,22,Great Knight Medal,60.667,50.9,AP,1.174,0.642,,,1,Proof of Hero,91.000,34.0,AP,0.607,0.296,,,4,Void's Dust,91.000,34.0,AP,0.919,0.443,,,5,Fool's Chain,91.000,34.0,AP,0.854,0.523,,,,,,,,,,,,-1,Blue Gems,60.667,,-2,Red Gems,60.667,,-3,Gold Gems,30.333
Prelims: Monarch,28.75,8.399,4.541,,42,Scarab of Wisdom,20.71,138.8,AP,1.264,0.745,,,16,Serpent Jewel,32.39,88.8,AP,0.608,0.364,,,67,Secret Gem of Archer,20.75,138.6,AP,0.971,,,,81,Archer Monument,13,221.2,AP,0.312,,,,60,Magic Gem of Archer,31.6,91.0,AP,0.215,,,,80,Saber Monument,3.7,777.0,AP,0.096,,,,,,,,,,,,8400,292,"57,887",,,44.9,15.0,2.7,76.7,,,19,Forbidden Page,74.967,38.4,AP,1.807,0.904,,,22,Great Knight Medal,74.967,38.4,AP,1.559,0.852,,,1,Proof of Hero,112.450,25.6,AP,0.806,0.393,,,4,Void's Dust,112.450,25.6,AP,1.220,0.589,,,5,Fool's Chain,112.450,25.6,AP,1.134,0.695,,,,,,,,,,,,-1,Blue Gems,74.967,,-2,Red Gems,74.967,,-3,Gold Gems,37.483
Prelims: Champ,28.75,8.933,4.765,,36,Dragon's Reverse Scale,25.26,113.8,AP,1.519,0.858,,,24,Refined Magatama,49.27,58.4,AP,0.888,0.474,,,72,Secret Gem of Berserker,25.21,114.0,AP,1.457,,,,86,Berserker Monument,12.7,226.4,AP,0.320,,,,80,Saber Monument,12.9,222.9,AP,0.334,,,,65,Magic Gem of Berserker,15.3,187.9,AP,0.117,,,,,,,,,,,,9400,327,"57,887",,,44.9,15.0,2.7,76.7,,,19,Forbidden Page,74.967,38.4,AP,1.807,0.904,,,22,Great Knight Medal,74.967,38.4,AP,1.559,0.852,,,1,Proof of Hero,112.450,25.6,AP,0.806,0.393,,,4,Void's Dust,112.450,25.6,AP,1.220,0.589,,,5,Fool's Chain,112.450,25.6,AP,1.134,0.695,,,,,,,,,,,,-1,Blue Gems,74.967,,-2,Red Gems,74.967,,-3,Gold Gems,37.483
Semis: Beg,8.37,3.691,1.980,,5,Fool's Chain,12.75,65.6,AP,0.442,0.271,,,58,Gem of Berserker,4.17,200.7,AP,0.037,,,,78,Assassin Piece,2.9,288.6,AP,0.102,,,,79,Berserker Piece,2.2,380.5,AP,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,227,"28,822",,,8.6,2.0,18.4,154.0,,,19,Forbidden Page,10.867,77.0,AP,0.900,0.450,,,22,Great Knight Medal,10.867,77.0,AP,0.776,0.424,,,1,Proof of Hero,16.300,51.3,AP,0.401,0.196,,,4,Void's Dust,16.300,51.3,AP,0.608,0.293,,,5,Fool's Chain,16.300,51.3,AP,0.565,0.346,,,,,,,,,,,,-1,Blue Gems,10.867,,-2,Red Gems,10.867,,-3,Gold Gems,5.433
Semis: Int,16.74,3.770,2.073,,20,Homunculus Baby,16.5,101.5,AP,0.520,0.364,,,65,Magic Gem of Berserker,9,186.0,AP,0.118,,,,77,Caster Piece,4,418.5,AP,0.057,,,,58,Gem of Berserker,10.7,156.4,AP,0.048,,,,74,Archer Piece,3.7,452.4,AP,0.062,,,,79,Berserker Piece,2,837.0,AP,0.035,,,,,,,,,,,,2900,173,"28,822",,,17.2,4.0,9.2,154.0,,,19,Forbidden Page,21.733,77.0,AP,0.900,0.450,,,22,Great Knight Medal,21.733,77.0,AP,0.776,0.424,,,1,Proof of Hero,32.600,51.3,AP,0.401,0.196,,,4,Void's Dust,32.600,51.3,AP,0.608,0.293,,,5,Fool's Chain,32.600,51.3,AP,0.565,0.346,,,,,,,,,,,,-1,Blue Gems,21.733,,-2,Red Gems,21.733,,-3,Gold Gems,10.867
Semis: Adv,24.52,4.105,2.173,,17,Phoenix Feather,15.64,156.8,AP,0.379,0.213,,,59,Magic Gem of Saber,12.33,198.9,AP,0.113,,,,73,Saber Piece,7.3,335.9,AP,0.086,,,,52,Gem of Saber,25,98.1,AP,0.082,,,,76,Rider Piece,6.33,387.4,AP,0.073,,,,79,Berserker Piece,6,408.7,AP,0.071,,,,,,,,,,,,4400,179,"33,046",,,27.9,6.8,5.5,134.4,,,19,Forbidden Page,36.500,67.2,AP,1.032,0.516,,,22,Great Knight Medal,36.500,67.2,AP,0.890,0.487,,,1,Proof of Hero,54.750,44.8,AP,0.460,0.224,,,4,Void's Dust,54.750,44.8,AP,0.697,0.336,,,5,Fool's Chain,54.750,44.8,AP,0.648,0.397,,,,,,,,,,,,-1,Blue Gems,36.500,,-2,Red Gems,36.500,,-3,Gold Gems,18.250
