Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Prelims: Beg,9.19,1.760,0.915,,Proof of Hero,13.3,69.1,AP,0.298,0.145,,,Gem of Lancer,1,919.0,AP,0.009,,,,Lancer Piece,4,229.8,AP,0.123,,,,Gem of Berserker,2,459.5,AP,0.016,,,,,,,,,,,,,,,,,,,,1900,207,"12,964",,,8.1,2.0,37.3,342.5,,,Forbidden Page,171.2,AP,0.405,0.202,,,Great Knight Medal,171.2,AP,0.349,0.191,,,Proof of Hero,114.2,AP,0.180,0.088,,,Void's Dust,114.2,AP,0.273,0.133,,,Fool's Chain,114.2,AP,0.254,0.156,,,,,,,
Prelims: Int,18.43,1.751,0.973,,Dragon Fang,21.84,84.4,AP,0.329,0.224,,,Gem of Assassin,12,153.6,AP,0.050,,,,Assassin Piece,4,460.8,AP,0.064,,,,Saber Piece,3,614.3,AP,0.047,,,,,,,,,,,,,,,,,,,,2900,157,"12,608",,,15.8,3.9,19.1,352.2,,,Forbidden Page,176.1,AP,0.394,0.197,,,Great Knight Medal,176.1,AP,0.340,0.186,,,Proof of Hero,117.4,AP,0.175,0.086,,,Void's Dust,117.4,AP,0.266,0.129,,,Fool's Chain,117.4,AP,0.247,0.151,,,,,,,
Prelims: Adv,27.39,2.187,1.164,,Great Knight Medal,27.33,100.2,AP,0.597,0.327,,,Gem of Saber,25,109.6,AP,0.073,,,,Saber Piece,11,249.0,AP,0.116,,,,Berserker Piece,11,249.0,AP,0.116,,,,,,,,,,,,,,,,,,,,4400,161,"14,103",,,25.4,6.7,11.5,314.8,,,Forbidden Page,157.4,AP,0.440,0.220,,,Great Knight Medal,157.4,AP,0.380,0.208,,,Proof of Hero,104.9,AP,0.196,0.096,,,Void's Dust,104.9,AP,0.297,0.144,,,Fool's Chain,104.9,AP,0.276,0.169,,,,,,,
Prelims: Exp,36.26,2.380,1.316,,Claw of Chaos,15.37,235.9,AP,0.382,0.243,,,Deadly Poison Needle,30.14,120.3,AP,0.278,0.167,,,Magic Gem of Berserker,20.8,174.3,AP,0.126,,,,Archer Monument,4,906.5,AP,0.076,,,,Gem of Rider,31.7,114.4,AP,0.073,,,,,,,,,,,,6400,177,"15,245",,,35.1,9.9,8.0,291.2,,,Forbidden Page,145.6,AP,0.476,0.238,,,Great Knight Medal,145.6,AP,0.411,0.225,,,Proof of Hero,97.1,AP,0.212,0.104,,,Void's Dust,97.1,AP,0.321,0.156,,,Fool's Chain,97.1,AP,0.299,0.183,,,,,,,
Prelims: Hero,35.74,3.247,1.737,,Cursed Beast Gallstone,18.29,195.4,AP,0.801,0.432,,,Phoenix Feather,27.51,129.9,AP,0.457,0.257,,,Secret Gem of Berserker,16.8,212.7,AP,0.781,,,,Assassin Monument,11.2,319.1,AP,0.218,,,,Magic Gem of Rider,24.3,147.1,AP,0.147,,,,Gem of Rider,20.6,173.5,AP,0.048,,,,7400,207,"17,641",,,36.8,12.1,7.0,251.7,,,Forbidden Page,125.8,AP,0.551,0.275,,,Great Knight Medal,125.8,AP,0.475,0.260,,,Proof of Hero,83.9,AP,0.246,0.120,,,Void's Dust,83.9,AP,0.372,0.181,,,Fool's Chain,83.9,AP,0.346,0.212,,,,,,,
Prelims: Monarch,34.75,4.068,2.244,,Scarab of Wisdom,20.71,167.8,AP,1.046,0.616,,,Serpent Jewel,32.39,107.3,AP,0.503,0.301,,,Secret Gem of Archer,20.75,167.5,AP,0.803,,,,Archer Monument,16.8,206.8,AP,0.334,,,,Magic Gem of Archer,33.6,103.4,AP,0.190,,,,Saber Monument,3.7,939.2,AP,0.079,,,,8400,242,"22,338",,,44.9,15.0,5.7,198.8,,,Forbidden Page,99.4,AP,0.697,0.349,,,Great Knight Medal,99.4,AP,0.602,0.330,,,Proof of Hero,66.3,AP,0.311,0.152,,,Void's Dust,66.3,AP,0.471,0.229,,,Fool's Chain,66.3,AP,0.438,0.268,,,,,,,
Prelims: Champ,34.75,4.510,2.434,,Dragon's Reverse Scale,25.26,137.6,AP,1.257,0.711,,,Refined Magatama,49.27,70.5,AP,0.734,0.396,,,Secret Gem of Berserker,25.21,137.8,AP,1.206,,,,Berserker Monument,14.2,244.7,AP,0.296,,,,Saber Monument,17,204.4,AP,0.364,,,,Magic Gem of Berserker,12.3,282.5,AP,0.078,,,,9400,271,"22,338",,,44.9,15.0,5.7,198.8,,,Forbidden Page,99.4,AP,0.697,0.349,,,Great Knight Medal,99.4,AP,0.602,0.330,,,Proof of Hero,66.3,AP,0.311,0.152,,,Void's Dust,66.3,AP,0.471,0.229,,,Fool's Chain,66.3,AP,0.438,0.268,,,,,,,
Semis: Beg,9.17,1.914,1.043,,Fool's Chain,12.75,71.9,AP,0.403,0.247,,,Gem of Berserker,2.86,320.6,AP,0.023,,,,Assassin Piece,5.7,160.9,AP,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,207,"13,396",,,8.6,2.0,36.1,331.4,,,Forbidden Page,165.7,AP,0.418,0.209,,,Great Knight Medal,165.7,AP,0.361,0.198,,,Proof of Hero,110.5,AP,0.186,0.091,,,Void's Dust,110.5,AP,0.282,0.137,,,Fool's Chain,110.5,AP,0.262,0.161,,,,,,,
Semis: Int,18.34,1.985,1.126,,Homunculus Baby,16.5,111.2,AP,0.475,0.331,,,Magic Gem of Berserker,9,203.8,AP,0.108,,,,Caster Piece,4,458.5,AP,0.052,,,,Gem of Berserker,11,166.7,AP,0.045,,,,,,,,,,,,,,,,,,,,2900,158,"13,396",,,17.2,4.0,18.1,331.4,,,Forbidden Page,165.7,AP,0.418,0.209,,,Great Knight Medal,165.7,AP,0.361,0.198,,,Proof of Hero,110.5,AP,0.186,0.091,,,Void's Dust,110.5,AP,0.282,0.137,,,Fool's Chain,110.5,AP,0.262,0.161,,,,,,,
Semis: Adv,27.24,2.029,1.081,,Phoenix Feather,15.64,174.2,AP,0.341,0.192,,,Magic Gem of Saber,13.59,200.4,AP,0.112,,,,Saber Piece,9.7,280.8,AP,0.103,,,,Gem of Saber,22.3,122.2,AP,0.065,,,,,,,,,,,,,,,,,,,,4400,162,"14,968",,,27.9,6.8,10.9,296.6,,,Forbidden Page,148.3,AP,0.467,0.234,,,Great Knight Medal,148.3,AP,0.403,0.221,,,Proof of Hero,98.9,AP,0.208,0.102,,,Void's Dust,98.9,AP,0.316,0.153,,,Fool's Chain,98.9,AP,0.293,0.180,,,,,,,
