Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Mansion-side Cavern: Misfortune,30,0.769,0.425,,Forbidden Page,18,166.7,AP,0.416,0.208,,,Divine Leyline Spiritron,20,150.0,AP,0.353,0.217,,,Gem of Saber,25.14,119.3,AP,0.067,,,,Saber Piece,7.7,389.6,AP,0.074,,,,,,,,,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansion-side Cavern: Large Wine,35,0.445,0.274,,Evil Bone,69.84,50.1,AP,0.445,0.274,,,Gem of Caster,34.75,100.7,AP,0.080,,,,Caster Piece,9.79,357.5,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansion-side Cavern: Beast Grotto,40,0.640,0.311,,Eternal Gear,56.27,71.1,AP,0.640,0.311,,,Magic Gem of Berserker,24.27,164.8,AP,0.133,,,,Berserker Piece,16,250.0,AP,0.116,,,,Gem of Berserker,22.67,176.4,AP,0.043,,,,,,,,,,,,,,,,,,,,4400,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea of Sandstorms,40,1.089,0.671,,Crown of Silvery Light,48.83,81.9,AP,0.671,0.386,,,Dragon Fang,60.08,66.6,AP,0.418,0.284,,,Magic Gem of Rider,22.46,178.1,AP,0.121,,,,Rider Piece,19.9,201.0,AP,0.141,,,,Gem of Rider,34.6,115.6,AP,0.073,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Hideout,40,1.411,0.782,,Primordial Lanugo,32.44,123.3,AP,0.934,0.549,,,Proof of Hero,92.56,43.2,AP,0.477,0.233,,,Magic Gem of Lancer,31.55,126.8,AP,0.159,,,,Lancer Monument,11,363.6,AP,0.200,,,,Gem of Lancer,34.5,115.9,AP,0.073,,,,,,,,,,,,15690,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest of Magic: Guardian,40,1.652,1.102,,Claw of Chaos,35.64,112.2,AP,0.804,0.511,,,Homunculus Baby,64.27,62.2,AP,0.848,0.591,,,Magic Gem of Saber,45.29,88.3,AP,0.254,,,,Saber Monument,10.4,384.6,AP,0.193,,,,Gem of Saber,45,88.9,AP,0.090,,,,,,,,,,,,6900,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest of Magic: Apology,40,3.679,1.968,,Spirit Root,52.87,75.7,AP,2.106,1.027,,,Aurora Steel,58.91,67.9,AP,0.794,0.492,,,Crown of Silvery Light,56.68,70.6,AP,0.779,0.449,,,Secret Gem of Saber,52.58,76.1,AP,1.896,,,,Saber Monument,26.4,151.5,AP,0.491,,,,Magic Gem of Saber,66.1,60.5,AP,0.370,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House ot Seven,40,1.631,0.920,,Warhorse's Young Horn,36.88,108.5,AP,0.857,0.482,,,Proof of Hero,59.32,67.4,AP,0.305,0.149,,,Stake of Wailing Night,60.37,66.3,AP,0.468,0.289,,,Magic Gem of Assassin,34.5,115.9,AP,0.155,,,,Assassin Monument,13.1,305.3,AP,0.228,,,,Gem of Assassin,43.6,91.7,AP,0.084,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csejte Cinderella: Masked,40,1.923,1.071,,Aurora Steel,40.95,97.7,AP,0.552,0.342,,,Octuplet Crystal,43.14,92.7,AP,0.562,0.274,,,Phoenix Feather,54.48,73.4,AP,0.809,0.455,,,Magic Gem of Berserker,42.4,94.3,AP,0.233,,,,Berserker Monument,15.8,253.2,AP,0.286,,,,Gem of Berserker,56.6,70.7,AP,0.106,,,,7900,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csejte Cinderella: Big Yawn,40,3.318,1.975,,Flaming Oni Lantern Plant,51.56,77.6,AP,2.191,1.342,,,Proof of Hero,88.91,45.0,AP,0.458,0.223,,,Fool's Chain,92.31,43.3,AP,0.669,0.410,,,Secret Gem of Caster,43.28,92.4,AP,0.568,,,,Caster Monument,26.3,152.1,AP,0.462,,,,Magic Gem of Caster,53,75.5,AP,0.232,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
