Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Southern Hill,30,0.553,0.343,,Seed of Yggdrasil,21.28,141.0,AP,0.286,0.161,,,Dragon Fang,28.87,103.9,AP,0.268,0.182,,,Gem of Assassin,19.88,150.9,AP,0.051,,,,Assassin Piece,15.9,188.7,AP,0.155,,,,,,,,,,,,,,,,,,,,4400,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norhtern Hill,30,0.646,0.371,,Octuplet Crystal,20.5,146.3,AP,0.356,0.174,,,Dragon Fang,31.3,95.8,AP,0.290,0.197,,,Gem of Caster,15.3,196.1,AP,0.041,,,,Caster Piece,15.6,192.3,AP,0.124,,,,Gem of Berserker,8.2,365.9,AP,0.021,,,,,,,,,,,,4400,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside Fort,35,0.795,0.426,,Lamp of Evil-Sealing,12.9,271.3,AP,0.355,0.194,,,Octuplet Crystal,14.6,239.7,AP,0.217,0.106,,,Seed of Yggdrasil,19.4,180.4,AP,0.223,0.126,,,Magic Gem of Rider,9.9,353.5,AP,0.061,,,,Rider Piece,20.7,169.1,AP,0.167,,,,Gem of Berserker,17.6,198.9,AP,0.038,,,,5400,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csejte Village,35,0.789,0.455,,Great Knight Medal,26.75,130.8,AP,0.457,0.250,,,Stake of Wailing Night,37.5,93.3,AP,0.332,0.205,,,Magic Gem of Saber,14.75,237.3,AP,0.094,,,,Saber Piece,18.6,188.2,AP,0.154,,,,Gem of Saber,32.5,107.7,AP,0.074,,,,,,,,,,,,5400,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Village's Cemetery,35,0.818,0.490,,Great Knight Medal,23.34,150.0,AP,0.399,0.218,,,Ghost Lantern,28.19,124.2,AP,0.419,0.272,,,Magic Gem of Lancer,12.88,271.7,AP,0.074,,,,Lancer Piece,20.9,167.5,AP,0.168,,,,Gem of Lancer,28.4,123.2,AP,0.069,,,,,,,,,,,,5400,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csejte Castle,35,1.053,0.609,,Tearstone of Blood,15.09,231.9,AP,0.500,0.250,,,Ghost Lantern,37.22,94.0,AP,0.553,0.359,,,Magic Gem of Archer,15.79,221.7,AP,0.088,,,,Archer Monument,8.3,421.7,AP,0.164,,,,Gem of Archer,26.7,131.1,AP,0.056,,,,,,,,,,,,6400,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daybreak Beach,40,0.755,0.504,,Serpent Jewel,25.71,155.6,AP,0.347,0.208,,,Meteor Horseshoes,33,121.2,AP,0.408,0.296,,,Gem of Berserker,39.29,101.8,AP,0.074,,,,Berserker Monument,9.9,404.0,AP,0.179,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Beach,40,0.694,0.417,,Shell of Reminiscense,20.91,191.3,AP,0.272,0.164,,,Serpent Jewel,31.27,127.9,AP,0.422,0.253,,,Magic Gem of Caster,29.45,135.8,AP,0.129,,,,Caster Monument,10.5,381.0,AP,0.184,,,,Gem of Caster,32.9,121.6,AP,0.067,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Beach,40,0.860,0.517,,Shell of Reminiscense,66,60.6,AP,0.860,0.517,,,Magic Gem of Lancer,17.72,225.7,AP,0.089,,,,Lancer Monument,15.9,251.6,AP,0.289,,,,Gem of Lancer,30.71,130.3,AP,0.065,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atop Fleecy Clouds,40,0.961,0.565,,Aurora Steel,31.52,126.9,AP,0.425,0.263,,,Phoenix Feather,36.1,110.8,AP,0.536,0.301,,,Magic Gem of Rider,26.5,150.9,AP,0.143,,,,Rider Monument,15.5,258.1,AP,0.266,,,,Gem of Rider,21.3,187.8,AP,0.045,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atop Cumunlonimbus,40,0.947,0.500,,Phoenix Feather,35.38,113.1,AP,0.525,0.295,,,Eternal Gear,37.08,107.9,AP,0.422,0.205,,,Magic Gem of Assassin,29.69,134.7,AP,0.134,,,,Assassin Monument,12.8,312.5,AP,0.223,,,,Gem of Assassin,13.8,289.9,AP,0.027,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of the Sea of Clouds,40,1.658,0.899,,Tearstone of Blood,24.8,161.3,AP,0.719,0.360,,,Eternal Gear,28,142.9,AP,0.319,0.155,,,Aurora Steel,46,87.0,AP,0.620,0.384,,,Magic Gem of Berserker,42.4,94.3,AP,0.233,,,,Berserker Monument,13.3,300.8,AP,0.241,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Street,40,1.148,0.662,,Reactor Core of Dawn,20.18,198.2,AP,0.524,0.264,,,Mystic Gunpowder,43,93.0,AP,0.327,0.214,,,Stake of Wailing Night,38.45,104.0,AP,0.298,0.184,,,Magic Gem of Caster,33,121.2,AP,0.144,,,,Caster Monument,18.4,217.4,AP,0.323,,,,Gem of Caster,9.5,421.1,AP,0.019,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbor's Street,40,1.425,0.824,,Cursed Beast Gallstone,18,222.2,AP,0.704,0.380,,,Stake of Wailing Night,64.48,62.0,AP,0.500,0.308,,,Fool's Chain,30.48,131.2,AP,0.221,0.135,,,Secret Gem of Archer,21.43,186.7,AP,0.721,,,,Archer Monument,16.4,243.9,AP,0.283,,,,Magic Gem of Archer,41,97.6,AP,0.201,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyscraper,40,1.496,0.921,,Heart of the Foreign God,21.27,188.1,AP,0.866,0.534,,,Fool's Chain,86.94,46.0,AP,0.630,0.386,,,Secret Gem of Lancer,23.84,167.8,AP,0.873,,,,Lancer Monument,19.2,208.3,AP,0.349,,,,Gem of Lancer,35.8,111.7,AP,0.076,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoritomo's Grave,40,1.131,0.693,,Ghost Lantern,20.83,192.0,AP,0.271,0.176,,,Arrowhead of Malice,42.89,93.3,AP,0.554,0.342,,,Soundless Bell,22.89,174.7,AP,0.306,0.175,,,Secret Gem of Assassin,27.08,147.7,AP,1.070,,,,Assassin Monument,22.1,181.0,AP,0.385,,,,Magic Gem of Assassin,25.7,155.6,AP,0.116,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarubatake,40,1.660,0.854,,Fruit of Eternity,24.22,165.2,AP,0.628,0.317,,,Soundless Bell,21.59,185.3,AP,0.289,0.165,,,Forbidden Page,42.93,93.2,AP,0.744,0.372,,,Magic Gem of Archer,47.4,84.4,AP,0.232,,,,Archer Monument,19.7,203.0,AP,0.340,,,,Magic Gem of Berserker,9.6,416.7,AP,0.053,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamakura Mt. Trail,40,2.094,1.117,,Tsukumo Mirror,24.14,165.7,AP,0.947,0.460,,,Soundless Bell,85.73,46.7,AP,1.147,0.657,,,Secret Gem of Rider,29.86,134.0,AP,0.758,,,,Rider Monument,24.7,161.9,AP,0.424,,,,Magic Gem of Rider,34.5,115.9,AP,0.186,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
