Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Isle,32.27,4.267,2.648,,27,Aurora Steel,27.98,115.3,AP,0.467,0.290,,,3,Dragon Fang,45.27,71.3,AP,0.390,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,229,"35,908",,,34.7,10.0,3.9,125.3,,,29,Arrowhead of Malice,51.500,62.7,AP,0.825,0.508,,,14,Ghost Lantern,51.500,62.7,AP,0.830,0.539,,,9,Mystic Gunpowder,77.250,41.8,AP,0.728,0.476,,,1,Proof of Hero,77.250,41.8,AP,0.493,0.241,,,2,Evil Bone,77.250,41.8,AP,0.534,0.329,,,,,,,,,,,,-1,Blue Gems,51.500,,-2,Red Gems,51.500,,-3,Gold Gems,25.750
Prelims: Cont.,31.6,4.645,2.767,,24,Refined Magatama,32.61,96.9,AP,0.535,0.285,,,1,Proof of Hero,50,63.2,AP,0.326,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,250,"39,854",,,35.6,11.0,3.6,112.9,,,29,Arrowhead of Malice,55.973,56.5,AP,0.916,0.564,,,14,Ghost Lantern,55.973,56.5,AP,0.921,0.598,,,9,Mystic Gunpowder,83.960,37.6,AP,0.808,0.528,,,1,Proof of Hero,83.960,37.6,AP,0.547,0.267,,,2,Evil Bone,83.960,37.6,AP,0.593,0.365,,,,,,,,,,,,-1,Blue Gems,55.973,,-2,Red Gems,55.973,,-3,Gold Gems,27.987
Prelims: Planet,31.12,5.375,3.252,,46,Reactor Core of Dawn,22.41,138.9,AP,0.747,0.377,,,25,Eternal Ice,37.99,81.9,AP,0.563,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,270,"42,804",,,35.5,11.8,3.4,105.1,,,29,Arrowhead of Malice,59.203,52.6,AP,0.984,0.606,,,14,Ghost Lantern,59.203,52.6,AP,0.989,0.642,,,9,Mystic Gunpowder,88.805,35.0,AP,0.868,0.567,,,1,Proof of Hero,88.805,35.0,AP,0.588,0.287,,,2,Evil Bone,88.805,35.0,AP,0.636,0.392,,,,,,,,,,,,-1,Blue Gems,59.203,,-2,Red Gems,59.203,,-3,Gold Gems,29.602
Prelims: Galaxy,28.75,7.326,4.433,,43,Primordial Lanugo,26.27,109.4,AP,1.053,0.619,,,13,Seed of Yggdrasil,49.96,57.5,AP,0.700,0.394,,,63,Magic Gem of Caster,,,,,,,,84,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,327,"58,696",,,45.0,15.0,2.7,76.7,,,29,Arrowhead of Malice,75.000,38.3,AP,1.349,0.831,,,14,Ghost Lantern,75.000,38.3,AP,1.357,0.880,,,9,Mystic Gunpowder,112.500,25.6,AP,1.190,0.778,,,1,Proof of Hero,112.500,25.6,AP,0.806,0.393,,,2,Evil Bone,112.500,25.6,AP,0.873,0.538,,,,,,,,,,,,-1,Blue Gems,75.000,,-2,Red Gems,75.000,,-3,Gold Gems,37.500
Prelims: Space,28.73,7.927,4.782,,37,Spirit Root,26.21,109.6,AP,1.453,0.709,,,21,Meteor Horseshoes,51.71,55.6,AP,0.889,0.646,,,66,Secret Gem of Saber,26.43,108.7,AP,1.327,,,,80,Saber Monument,,,,,,,,83,Rider Monument,,,,,,,,,,,,,,,,,,,,,,,,,9400,327,"58,815",,,45.1,15.0,2.7,76.5,,,29,Arrowhead of Malice,75.100,38.3,AP,1.351,0.833,,,14,Ghost Lantern,75.100,38.3,AP,1.359,0.882,,,9,Mystic Gunpowder,112.650,25.5,AP,1.192,0.779,,,1,Proof of Hero,112.650,25.5,AP,0.808,0.394,,,2,Evil Bone,112.650,25.5,AP,0.874,0.539,,,,,,,,,,,,-1,Blue Gems,75.100,,-2,Red Gems,75.100,,-3,Gold Gems,37.550
Main: Isle,31.88,4.517,2.658,,15,Octuplet Crystal,27.27,116.9,AP,0.446,0.217,,,4,Void's Dust,45.45,70.1,AP,0.445,0.215,,,71,Secret Gem of Assassin,9.09,350.7,AP,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,232,"38,194",,,37.4,10.4,3.7,117.8,,,29,Arrowhead of Malice,54.117,58.9,AP,0.878,0.541,,,14,Ghost Lantern,54.117,58.9,AP,0.883,0.573,,,9,Mystic Gunpowder,81.175,39.3,AP,0.774,0.506,,,1,Proof of Hero,81.175,39.3,AP,0.525,0.256,,,2,Evil Bone,81.175,39.3,AP,0.568,0.350,,,,,,,,,,,,-1,Blue Gems,54.117,,-2,Red Gems,54.117,,-3,Gold Gems,27.058
Main: Cont.,32.14,4.533,2.728,,17,Phoenix Feather,56.67,56.7,AP,1.047,0.589,,,68,Secret Gem of Lancer,13.33,241.1,AP,0.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,246,"36,704",,,35.7,10.1,3.8,122.6,,,29,Arrowhead of Malice,52.430,61.3,AP,0.843,0.520,,,14,Ghost Lantern,52.430,61.3,AP,0.848,0.550,,,9,Mystic Gunpowder,78.645,40.9,AP,0.744,0.486,,,1,Proof of Hero,78.645,40.9,AP,0.504,0.246,,,2,Evil Bone,78.645,40.9,AP,0.546,0.336,,,,,,,,,,,,-1,Blue Gems,52.430,,-2,Red Gems,52.430,,-3,Gold Gems,26.215
Main: Planet,30.82,5.686,3.363,,50,Fruit of Eternity,20.91,147.4,AP,0.704,0.355,,,22,Great Knight Medal,38.18,80.7,AP,0.741,0.405,,,66,Secret Gem of Saber,13.64,226.0,AP,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,273,"44,669",,,40.2,12.0,3.3,100.7,,,29,Arrowhead of Malice,61.187,50.4,AP,1.026,0.632,,,14,Ghost Lantern,61.187,50.4,AP,1.032,0.670,,,9,Mystic Gunpowder,91.780,33.6,AP,0.905,0.592,,,1,Proof of Hero,91.780,33.6,AP,0.613,0.299,,,2,Evil Bone,91.780,33.6,AP,0.664,0.409,,,,,,,,,,,,-1,Blue Gems,61.187,,-2,Red Gems,61.187,,-3,Gold Gems,30.593
Main: Galaxy,28.67,7.555,4.617,,51,Flaming Oni Lantern Plant,20.94,136.9,AP,1.242,0.760,,,26,Giant's Ring,39.81,72.0,AP,0.683,0.402,,,72,Secret Gem of Berserker,16.22,176.8,AP,0.940,,,,86,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,328,"59,294",,,47.7,14.9,2.6,75.9,,,29,Arrowhead of Malice,75.553,37.9,AP,1.362,0.840,,,14,Ghost Lantern,75.553,37.9,AP,1.370,0.889,,,9,Mystic Gunpowder,113.330,25.3,AP,1.202,0.786,,,1,Proof of Hero,113.330,25.3,AP,0.814,0.397,,,2,Evil Bone,113.330,25.3,AP,0.881,0.543,,,,,,,,,,,,-1,Blue Gems,75.553,,-2,Red Gems,75.553,,-3,Gold Gems,37.777
Main: Space,28.61,8.212,5.081,,42,Scarab of Wisdom,26.02,110.0,AP,1.596,0.940,,,20,Homunculus Baby,51.34,55.7,AP,0.947,0.663,,,70,Secret Gem of Caster,21.33,134.1,AP,0.391,,,,84,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,329,"59,691",,,47.9,15.0,2.6,75.4,,,29,Arrowhead of Malice,75.900,37.7,AP,1.372,0.845,,,14,Ghost Lantern,75.900,37.7,AP,1.380,0.895,,,9,Mystic Gunpowder,113.850,25.1,AP,1.210,0.791,,,1,Proof of Hero,113.850,25.1,AP,0.820,0.400,,,2,Evil Bone,113.850,25.1,AP,0.887,0.547,,,,,,,,,,,,-1,Blue Gems,75.900,,-2,Red Gems,75.900,,-3,Gold Gems,37.950
Finals: Isle,31.8,4.838,2.939,,31,Divine Leyline Spiritron,35.45,89.7,AP,0.591,0.362,,,13,Seed of Yggdrasil,45.45,70.0,AP,0.576,0.324,,,70,Secret Gem of Caster,,,,,,,,84,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,233,"38,665",,,41.9,10.2,3.7,116.4,,,29,Arrowhead of Malice,54.647,58.2,AP,0.888,0.547,,,14,Ghost Lantern,54.647,58.2,AP,0.894,0.580,,,9,Mystic Gunpowder,81.970,38.8,AP,0.784,0.512,,,1,Proof of Hero,81.970,38.8,AP,0.531,0.259,,,2,Evil Bone,81.970,38.8,AP,0.575,0.354,,,,,,,,,,,,-1,Blue Gems,54.647,,-2,Red Gems,54.647,,-3,Gold Gems,27.323
Finals: Cont.,31.27,5.069,3.100,,38,Warhorse's Young Horn,23.81,131.3,AP,0.708,0.398,,,3,Dragon Fang,43.33,72.2,AP,0.385,0.263,,,69,Secret Gem of Rider,,,,,,,,72,Secret Gem of Berserker,,,,,,,,83,Rider Monument,,,,,,,,86,Berserker Monument,,,,,,,,,,,,,,,,7900,253,"41,868",,,42.3,11.0,3.4,107.5,,,29,Arrowhead of Malice,58.187,53.7,AP,0.962,0.593,,,14,Ghost Lantern,58.187,53.7,AP,0.968,0.628,,,9,Mystic Gunpowder,87.280,35.8,AP,0.849,0.555,,,1,Proof of Hero,87.280,35.8,AP,0.575,0.280,,,2,Evil Bone,87.280,35.8,AP,0.622,0.384,,,,,,,,,,,,-1,Blue Gems,58.187,,-2,Red Gems,58.187,,-3,Gold Gems,29.093
Finals: Planet,30.59,5.544,3.409,,34,Claw of Chaos,22.86,133.8,AP,0.674,0.421,,,5,Fool's Chain,51.43,59.5,AP,0.488,0.299,,,67,Secret Gem of Archer,13.33,229.5,AP,0.586,,,,81,Archer Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,275,"46,155",,,43.8,12.0,3.2,97.5,,,29,Arrowhead of Malice,62.750,48.7,AP,1.061,0.654,,,14,Ghost Lantern,62.750,48.7,AP,1.067,0.692,,,9,Mystic Gunpowder,94.125,32.5,AP,0.935,0.612,,,1,Proof of Hero,94.125,32.5,AP,0.634,0.309,,,2,Evil Bone,94.125,32.5,AP,0.686,0.423,,,,,,,,,,,,-1,Blue Gems,62.750,,-2,Red Gems,62.750,,-3,Gold Gems,31.375
Finals: Galaxy,28.42,7.780,4.748,,35,Heart of the Foreign God,21.39,132.9,AP,1.225,0.756,,,28,Soundless Bell,39.88,71.3,AP,0.751,0.430,,,66,Secret Gem of Saber,21.25,133.7,AP,1.078,,,,80,Saber Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,331,"61,122",,,51.1,15.0,2.6,73.6,,,29,Arrowhead of Malice,77.203,36.8,AP,1.404,0.865,,,14,Ghost Lantern,77.203,36.8,AP,1.413,0.917,,,9,Mystic Gunpowder,115.805,24.5,AP,1.239,0.810,,,1,Proof of Hero,115.805,24.5,AP,0.839,0.409,,,2,Evil Bone,115.805,24.5,AP,0.909,0.560,,,,,,,,,,,,-1,Blue Gems,77.203,,-2,Red Gems,77.203,,-3,Gold Gems,38.602
Finals: Space,28.41,7.922,4.765,,45,Mysterious Divine Wine,26.65,106.6,AP,1.310,0.747,,,10,Small Bell of Absolution,78.47,36.2,AP,0.798,0.451,,,72,Secret Gem of Berserker,26.47,107.3,AP,1.549,,,,86,Berserker Monument,,,,,,,,83,Rider Monument,,,,,,,,,,,,,,,,,,,,,,,,,9400,331,"61,217",,,51.2,15.1,2.6,73.5,,,29,Arrowhead of Malice,77.297,36.8,AP,1.407,0.867,,,14,Ghost Lantern,77.297,36.8,AP,1.415,0.918,,,9,Mystic Gunpowder,115.945,24.5,AP,1.241,0.811,,,1,Proof of Hero,115.945,24.5,AP,0.841,0.410,,,2,Evil Bone,115.945,24.5,AP,0.910,0.561,,,,,,,,,,,,-1,Blue Gems,77.297,,-2,Red Gems,77.297,,-3,Gold Gems,38.648
