Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Patchwork: Fairytale Museum,40,0.985,0.503,,39,Tearstone of Blood,18.82,212.5,AP,0.546,0.273,,,18,Eternal Gear,18.23,219.4,AP,0.207,0.100,,,13,Seed of Yggdrasil,22.99,174.0,AP,0.232,0.130,,,63,Magic Gem of Caster,21.43,186.7,AP,0.094,,,,55,Gem of Rider,14.29,279.9,AP,0.030,,,,,,,,,,,,,,,,,,,,,132400,3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchwork London Tower,40,1.014,0.532,,47,Tsukumo Mirror,13.27,301.4,AP,0.521,0.251,,,18,Eternal Gear,20.59,194.3,AP,0.234,0.113,,,14,Ghost Lantern,19.9,201.0,AP,0.259,0.168,,,70,Secret Gem of Caster,10.35,386.5,AP,0.136,,,,63,Magic Gem of Caster,,,,,,,,56,Gem of Caster,,,,,,,,,,,,,,,,132400,3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchwork: Steam Castle,40,0.749,0.478,,14,Ghost Lantern,40.21,99.5,AP,0.523,0.339,,,5,Fool's Chain,31.22,128.1,AP,0.226,0.139,,,62,Magic Gem of Rider,9.09,440.0,AP,0.049,,,,55,Gem of Rider,18.18,220.0,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132400,3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory: ""Uninhabited Island...""",40,0.653,0.393,,23,Shell of Reminiscense,50.1,79.8,AP,0.653,0.393,,,52,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132900,3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory: ""Trimming the Garden""",40,1.000,0.571,,45,Mysterious Divine Wine,16.37,244.3,AP,0.572,0.326,,,4,Void's Dust,26.08,153.4,AP,0.203,0.098,,,9,Mystic Gunpowder,29.61,135.1,AP,0.225,0.147,,,71,Secret Gem of Assassin,10.98,364.3,AP,0.434,,,,85,Assassin Monument,,,,,,,,64,Magic Gem of Assassin,,,,,,,57,Gem of Assassin,,,,,,,,132900,3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory: ""Land of Sweets""",40,0.672,0.328,,15,Octuplet Crystal,51.56,77.6,AP,0.672,0.328,,,58,Gem of Berserker,,,,,,,,80,Saber Monument,,,,,,,,86,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132900,3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory: ""Spin! ONILAND...""",40,1.077,0.628,,35,Heart of the Foreign God,19.4,206.2,AP,0.790,0.487,,,1,Proof of Hero,55.89,71.6,AP,0.288,0.140,,,70,Secret Gem of Caster,21.63,184.9,AP,0.284,,,,84,Caster Monument,,,,,,,,83,Rider Monument,,,,,,,,85,Assassin Monument,,,,,,,86,Berserker Monument,,,,,,,,133400,3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory: ""Silent Field""",40,0.877,0.492,,23,Shell of Reminiscense,30.95,129.2,AP,0.403,0.243,,,4,Void's Dust,40.06,99.9,AP,0.312,0.151,,,5,Fool's Chain,22.23,179.9,AP,0.161,0.099,,,59,Magic Gem of Saber,25.81,155.0,AP,0.145,,,,80,Saber Monument,6.45,620.2,AP,0.120,,,,52,Gem of Saber,21.37,187.2,AP,0.043,,,86,Berserker Monument,14.52,275.5,AP,0.263,,,,133400,3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory: ""Tour... Fake Art Museum""",40,0.975,0.543,,34,Claw of Chaos,21.88,182.8,AP,0.493,0.308,,,15,Octuplet Crystal,36.99,108.1,AP,0.482,0.235,,,65,Magic Gem of Berserker,,,,,,,,86,Berserker Monument,,,,,,,,58,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,133400,3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memory: ""Blaesphemous Christmas""",40,1.348,0.705,,41,Lamp of Evil-Sealing,27.1,147.6,AP,0.650,0.356,,,19,Forbidden Page,40.29,99.3,AP,0.698,0.349,,,70,Secret Gem of Caster,25.34,157.9,AP,0.333,,,,84,Caster Monument,,,,,,,,63,Magic Gem of Caster,,,,,,,,,,,,,,,,,,,,,,,,,134400,3360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
