Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Santa Island Exploration: Beg,30,0.082,0.040,,Proof of Hero,11.88,252.5,AP,0.082,0.040,,,Gem of Rider,14.62,205.2,AP,0.041,,,,Rider Piece,7.89,380.2,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Island Exploration: Int,35,0.334,0.206,,Stake of Wailing Night,37.66,92.9,AP,0.334,0.206,,,Gem of Archer,20.45,171.1,AP,0.043,,,,Archer Piece,20.45,171.1,AP,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Island Exploration: Adv,40,0.303,0.220,,Meteor Horseshoes,24.54,163.0,AP,0.303,0.220,,,Magic Gem of Saber,10.06,397.6,AP,0.056,,,,Saber Piece,13.8,289.9,AP,0.100,,,,Gem of Saber,20.75,192.8,AP,0.042,,,,,,,,,,,,,,,,,,,,4400,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Green,40,0.546,0.333,,Black Beast Grease,11.29,354.3,AP,0.290,0.176,,,Fool's Chain,35.36,113.1,AP,0.256,0.157,,,Magic Gem of Assassin,15.08,265.3,AP,0.068,,,,Assassin Monument,12.9,310.1,AP,0.225,,,,Gem of Assassin,22.4,178.6,AP,0.043,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Yellow,40,0.611,0.378,,Claw of Chaos,13.86,288.6,AP,0.313,0.199,,,Deadly Poison Needle,35.69,112.1,AP,0.299,0.179,,,Secret Gem of Berserker,12.55,318.7,AP,0.521,,,,Berserker Monument,11.9,336.1,AP,0.216,,,,Gem of Berserker,25.3,158.1,AP,0.047,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Red,40,0.767,0.445,,Warhorse's Young Horn,18.24,219.3,AP,0.424,0.238,,,Refined Magatama,11.32,353.4,AP,0.147,0.079,,,Ghost Lantern,15.09,265.1,AP,0.196,0.127,,,Magic Gem of Caster,28.3,141.3,AP,0.124,,,,Caster Monument,14.5,275.9,AP,0.254,,,,Gem of Caster,19.5,205.1,AP,0.039,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: White,40,1.157,0.657,,Tsukumo Mirror,17.95,222.8,AP,0.705,0.342,,,Homunculus Baby,34.25,116.8,AP,0.452,0.315,,,Secret Gem of Saber,14.8,270.3,AP,0.534,,,,Saber Monument,16.7,239.5,AP,0.311,,,,Magic Gem of Saber,14.3,279.7,AP,0.080,,,,Gem of Saber,19.1,209.4,AP,0.038,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Gold,40,1.150,0.711,,Heart of the Foreign God,17.84,224.2,AP,0.726,0.448,,,Aurora Steel,31.46,127.1,AP,0.424,0.263,,,Secret Gem of Lancer,23.47,170.4,AP,0.859,,,,Lancer Monument,18.8,212.8,AP,0.342,,,,Magic Gem of Lancer,11.7,341.9,AP,0.059,,,,Gem of Lancer,15.5,258.1,AP,0.033,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Platinum,40,1.689,0.979,,Scarab of Wisdom,25.61,156.2,AP,1.124,0.662,,,Phoenix Feather,38.05,105.1,AP,0.565,0.318,,,Secret Gem of Saber,29.65,134.9,AP,1.069,,,,Saber Monument,24.9,160.6,AP,0.463,,,,Magic Gem of Saber,14.6,274.0,AP,0.082,,,,Gem of Saber,10.6,377.4,AP,0.021,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Rescue,,,,,Eternal Ice,23.21,0.0,AP,,0.000,,,Gem of Lancer,34.98,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
