Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Merry Roadwork: Beg,26.78,1.773,1.119,,16,Serpent Jewel,3.66,731.7,AP,0.074,0.044,,,6,Deadly Poison Needle,5.64,474.8,AP,0.071,0.042,,,54,Gem of Lancer,14.74,181.7,AP,0.047,,,,75,Lancer Piece,10.1,265.1,AP,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,71,"17,956",,,9.2,4.6,9.3,249.5,,,21,Meteor Horseshoes,21.467,124.8,AP,0.396,0.288,,,13,Seed of Yggdrasil,21.467,124.8,AP,0.323,0.182,,,4,Void's Dust,21.467,124.8,AP,0.250,0.121,,,7,Mystic Spinal Fluid,32.200,83.2,AP,0.386,0.276,,,26,Giant's Ring,3.327,804.8,AP,0.061,0.036,,,31,Divine Leyline Spiritron,10.733,249.5,AP,0.212,0.130,,,-1,Blue Gems,21.467,,-2,Red Gems,21.467,,-3,Gold Gems,10.733
Merry Roadwork: Int,29.96,2.583,1.629,,16,Serpent Jewel,9.67,309.8,AP,0.174,0.104,,,2,Evil Bone,17.45,171.7,AP,0.130,0.080,,,57,Gem of Assassin,18.05,166.0,AP,0.046,,,,78,Assassin Piece,15.2,197.1,AP,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,97,"25,121",,,14.4,7.2,6.0,178.3,,,21,Meteor Horseshoes,33.600,89.2,AP,0.554,0.403,,,13,Seed of Yggdrasil,33.600,89.2,AP,0.452,0.254,,,4,Void's Dust,33.600,89.2,AP,0.350,0.169,,,7,Mystic Spinal Fluid,50.400,59.4,AP,0.540,0.386,,,26,Giant's Ring,5.208,575.3,AP,0.086,0.050,,,31,Divine Leyline Spiritron,16.800,178.3,AP,0.297,0.182,,,-1,Blue Gems,33.600,,-2,Red Gems,33.600,,-3,Gold Gems,16.800
Merry Roadwork: Adv,32.01,3.822,2.423,,16,Serpent Jewel,13.94,229.6,AP,0.235,0.141,,,25,Eternal Ice,14.43,221.8,AP,0.208,0.141,,,60,Magic Gem of Archer,10.96,292.1,AP,0.067,,,,74,Archer Piece,18,177.8,AP,0.158,,,,53,Gem of Archer,16.7,191.7,AP,0.039,,,,,,,,,,,,,,,,,,,,,4400,137,"37,252",,,25.3,11.2,3.8,120.3,,,21,Meteor Horseshoes,53.233,60.1,AP,0.822,0.597,,,13,Seed of Yggdrasil,53.233,60.1,AP,0.670,0.377,,,4,Void's Dust,53.233,60.1,AP,0.519,0.250,,,7,Mystic Spinal Fluid,79.850,40.1,AP,0.801,0.573,,,26,Giant's Ring,8.251,387.9,AP,0.127,0.075,,,31,Divine Leyline Spiritron,26.617,120.3,AP,0.441,0.270,,,-1,Blue Gems,53.233,,-2,Red Gems,53.233,,-3,Gold Gems,26.617
Flyweight,31.74,4.404,2.703,,39,Tearstone of Blood,12.57,252.5,AP,0.459,0.230,,,30,Crown of Silvery Light,12.35,257.0,AP,0.214,0.123,,,13,Seed of Yggdrasil,16.2,195.9,AP,0.206,0.116,,,65,Magic Gem of Berserker,15.2,208.8,AP,0.105,,,,79,Berserker Piece,20.1,157.9,AP,0.183,,,,58,Gem of Berserker,14.8,214.5,AP,0.035,,,,,,,,,,,,5400,170,"38,862",,,26.0,11.6,3.6,115.3,,,21,Meteor Horseshoes,55.067,57.6,AP,0.857,0.623,,,13,Seed of Yggdrasil,55.067,57.6,AP,0.699,0.393,,,4,Void's Dust,55.067,57.6,AP,0.541,0.261,,,7,Mystic Spinal Fluid,82.600,38.4,AP,0.835,0.598,,,26,Giant's Ring,8.535,371.9,AP,0.132,0.078,,,31,Divine Leyline Spiritron,27.533,115.3,AP,0.460,0.282,,,-1,Blue Gems,55.067,,-2,Red Gems,55.067,,-3,Gold Gems,27.533
Bantamweight,31.13,4.868,2.970,,46,Reactor Core of Dawn,15.24,204.3,AP,0.508,0.256,,,30,Crown of Silvery Light,15.52,200.6,AP,0.274,0.158,,,18,Eternal Gear,15.65,198.9,AP,0.229,0.110,,,59,Magic Gem of Saber,15.65,198.9,AP,0.113,,,,80,Saber Monument,9.8,317.7,AP,0.234,,,,52,Gem of Saber,20.2,154.1,AP,0.052,,,,,,,,,,,,6400,206,"42,526",,,32.1,12.1,3.4,105.3,,,21,Meteor Horseshoes,59.100,52.7,AP,0.938,0.682,,,13,Seed of Yggdrasil,59.100,52.7,AP,0.765,0.430,,,4,Void's Dust,59.100,52.7,AP,0.592,0.286,,,7,Mystic Spinal Fluid,88.650,35.1,AP,0.914,0.654,,,26,Giant's Ring,9.161,339.8,AP,0.145,0.085,,,31,Divine Leyline Spiritron,29.550,105.3,AP,0.503,0.308,,,-1,Blue Gems,59.100,,-2,Red Gems,59.100,,-3,Gold Gems,29.550
Featherweight,30.97,5.212,3.184,,41,Lamp of Evil-Sealing,17.53,176.7,AP,0.543,0.297,,,30,Crown of Silvery Light,17.67,175.3,AP,0.314,0.181,,,19,Forbidden Page,18.22,170.0,AP,0.408,0.204,,,63,Magic Gem of Caster,20.4,151.8,AP,0.115,,,,84,Caster Monument,15.6,198.5,AP,0.354,,,,56,Gem of Caster,19.4,159.6,AP,0.051,,,,,,,,,,,,7400,239,"43,517",,,32.9,12.3,3.3,102.9,,,21,Meteor Horseshoes,60.167,51.5,AP,0.960,0.698,,,13,Seed of Yggdrasil,60.167,51.5,AP,0.783,0.440,,,4,Void's Dust,60.167,51.5,AP,0.606,0.292,,,7,Mystic Spinal Fluid,90.250,34.3,AP,0.935,0.669,,,26,Giant's Ring,9.326,332.1,AP,0.148,0.087,,,31,Divine Leyline Spiritron,30.083,102.9,AP,0.515,0.316,,,-1,Blue Gems,60.167,,-2,Red Gems,60.167,,-3,Gold Gems,30.083
Welterweight,30.69,5.646,3.516,,36,Dragon's Reverse Scale,17.14,179.1,AP,0.966,0.546,,,31,Divine Leyline Spiritron,20.1,152.7,AP,0.347,0.213,,,3,Dragon Fang,24.73,124.1,AP,0.224,0.153,,,69,Secret Gem of Rider,10.24,299.7,AP,0.339,,,,83,Rider Monument,17.9,171.5,AP,0.400,,,,62,Magic Gem of Rider,15.3,200.6,AP,0.108,,,,,,,,,,,,8400,274,"45,301",,,33.8,12.7,3.2,98.9,,,21,Meteor Horseshoes,62.067,49.4,AP,0.999,0.726,,,13,Seed of Yggdrasil,62.067,49.4,AP,0.815,0.458,,,4,Void's Dust,62.067,49.4,AP,0.631,0.304,,,7,Mystic Spinal Fluid,93.100,33.0,AP,0.974,0.697,,,26,Giant's Ring,9.620,319.0,AP,0.154,0.091,,,31,Divine Leyline Spiritron,31.033,98.9,AP,0.536,0.329,,,-1,Blue Gems,62.067,,-2,Red Gems,62.067,,-3,Gold Gems,31.033
Heavyweight,27.74,7.788,4.900,,45,Mysterious Divine Wine,20.02,138.6,AP,1.008,0.575,,,31,Divine Leyline Spiritron,21.12,131.3,AP,0.404,0.247,,,21,Meteor Horseshoes,21.88,126.8,AP,0.390,0.283,,,68,Secret Gem of Lancer,20.07,138.2,AP,1.059,,,,82,Lancer Monument,19.9,139.4,AP,0.522,,,,61,Magic Gem of Lancer,15.2,182.5,AP,0.111,,,,,,,,,,,,9400,339,"66,000",,,44.8,16.7,2.4,67.9,,,21,Meteor Horseshoes,81.733,33.9,AP,1.456,1.058,,,13,Seed of Yggdrasil,81.733,33.9,AP,1.187,0.668,,,4,Void's Dust,81.733,33.9,AP,0.919,0.443,,,7,Mystic Spinal Fluid,122.600,22.6,AP,1.419,1.015,,,26,Giant's Ring,12.669,219.0,AP,0.225,0.132,,,31,Divine Leyline Spiritron,40.867,67.9,AP,0.781,0.479,,,-1,Blue Gems,81.733,,-2,Red Gems,81.733,,-3,Gold Gems,40.867
Super Heavyweight,27.82,8.500,5.302,,35,Heart of the Foreign God,25.05,111.1,AP,1.466,0.905,,,31,Divine Leyline Spiritron,27.21,102.2,AP,0.518,0.318,,,22,Great Knight Medal,27.22,102.2,AP,0.585,0.320,,,67,Secret Gem of Archer,29.89,93.1,AP,1.445,,,,81,Archer Monument,25.1,110.8,AP,0.623,,,,60,Magic Gem of Archer,19.9,139.8,AP,0.140,,,,,,,,,,,,9400,338,"65,380",,,44.4,16.6,2.5,68.5,,,21,Meteor Horseshoes,81.200,34.3,AP,1.442,1.048,,,13,Seed of Yggdrasil,81.200,34.3,AP,1.176,0.661,,,4,Void's Dust,81.200,34.3,AP,0.911,0.439,,,7,Mystic Spinal Fluid,121.800,22.8,AP,1.405,1.005,,,26,Giant's Ring,12.586,221.0,AP,0.223,0.131,,,31,Divine Leyline Spiritron,40.600,68.5,AP,0.773,0.474,,,-1,Blue Gems,81.200,,-2,Red Gems,81.200,,-3,Gold Gems,40.600
Holy Night,,,,,26,Giant's Ring,38.62,0.0,AP,,0.000,,,53,Gem of Archer,30.11,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,21,Meteor Horseshoes,,,,,,,,13,Seed of Yggdrasil,,,,,,,,4,Void's Dust,,,,,,,,7,Mystic Spinal Fluid,,,,,,,,26,Giant's Ring,,,,,,,,31,Divine Leyline Spiritron,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
