Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,26.85,2.176,1.253,,23,Shell of Reminiscense,10,268.5,AP,0.194,0.117,,,55,Gem of Rider,14.55,184.5,AP,0.046,,,,76,Rider Piece,10.91,246.1,AP,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,71,"17,492",,,8.9,4.5,9.5,256.1,,,15,Octuplet Crystal,20.967,128.1,AP,0.407,0.198,,,24,Refined Magatama,20.967,128.1,AP,0.404,0.216,,,6,Deadly Poison Needle,31.450,85.4,AP,0.392,0.235,,,8,Stake of Wailing Night,31.450,85.4,AP,0.363,0.224,,,25,Eternal Ice,3.669,731.8,AP,0.063,0.043,,,34,Claw of Chaos,10.483,256.1,AP,0.352,0.220,,,-1,Blue Gems,20.967,,-2,Red Gems,20.967,,-3,Gold Gems,10.483
Int,29.89,3.250,1.833,,15,Octuplet Crystal,20.63,144.9,AP,0.360,0.175,,,56,Gem of Caster,15.63,191.2,AP,0.042,,,,77,Caster Piece,17.5,170.8,AP,0.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,97,"25,505",,,14.5,7.3,5.9,175.7,,,15,Octuplet Crystal,34.033,87.8,AP,0.593,0.289,,,24,Refined Magatama,34.033,87.8,AP,0.590,0.315,,,6,Deadly Poison Needle,51.050,58.6,AP,0.572,0.343,,,8,Stake of Wailing Night,51.050,58.6,AP,0.529,0.327,,,25,Eternal Ice,5.956,501.9,AP,0.092,0.062,,,34,Claw of Chaos,17.017,175.7,AP,0.514,0.321,,,-1,Blue Gems,34.033,,-2,Red Gems,34.033,,-3,Gold Gems,17.017
Adv,32.07,4.605,2.701,,7,Mystic Spinal Fluid,42.29,75.8,AP,0.423,0.303,,,57,Gem of Assassin,23.97,133.8,AP,0.058,,,,78,Assassin Piece,18.95,169.2,AP,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,137,"36,903",,,25.3,11.1,3.8,121.4,,,15,Octuplet Crystal,52.833,60.7,AP,0.858,0.419,,,24,Refined Magatama,52.833,60.7,AP,0.853,0.455,,,6,Deadly Poison Needle,79.250,40.5,AP,0.828,0.497,,,8,Stake of Wailing Night,79.250,40.5,AP,0.766,0.473,,,25,Eternal Ice,9.246,346.9,AP,0.133,0.090,,,34,Claw of Chaos,26.417,121.4,AP,0.743,0.464,,,-1,Blue Gems,52.833,,-2,Red Gems,52.833,,-3,Gold Gems,26.417
Fish,31.77,5.111,2.946,,45,Mysterious Divine Wine,8.22,386.5,AP,0.361,0.206,,,8,Stake of Wailing Night,37.78,84.1,AP,0.369,0.228,,,68,Secret Gem of Lancer,5.83,544.9,AP,0.269,,,,75,Lancer Piece,21.2,149.9,AP,0.188,,,,54,Gem of Lancer,28.8,110.3,AP,0.077,,,,,,,,,,,,,,,,,,,,,5400,170,"38,661",,,27.7,11.4,3.6,115.9,,,15,Octuplet Crystal,54.833,57.9,AP,0.899,0.439,,,24,Refined Magatama,54.833,57.9,AP,0.894,0.477,,,6,Deadly Poison Needle,82.250,38.6,AP,0.867,0.520,,,8,Stake of Wailing Night,82.250,38.6,AP,0.803,0.495,,,25,Eternal Ice,9.596,331.1,AP,0.139,0.094,,,34,Claw of Chaos,27.417,115.9,AP,0.778,0.487,,,-1,Blue Gems,54.833,,-2,Red Gems,54.833,,-3,Gold Gems,27.417
Vegetable,31.21,5.790,3.357,,50,Fruit of Eternity,16.27,191.8,AP,0.541,0.273,,,21,Meteor Horseshoes,30.55,102.2,AP,0.484,0.351,,,72,Secret Gem of Berserker,16.04,194.6,AP,0.854,,,,86,Berserker Monument,11.1,281.2,AP,0.258,,,,58,Gem of Berserker,33.5,93.2,AP,0.081,,,,,,,,,,,,,,,,,,,,,6400,205,"42,058",,,31.8,12.0,3.4,106.5,,,15,Octuplet Crystal,58.600,53.3,AP,0.978,0.477,,,24,Refined Magatama,58.600,53.3,AP,0.973,0.519,,,6,Deadly Poison Needle,87.900,35.5,AP,0.943,0.566,,,8,Stake of Wailing Night,87.900,35.5,AP,0.873,0.539,,,25,Eternal Ice,10.255,304.3,AP,0.151,0.103,,,34,Claw of Chaos,29.300,106.5,AP,0.847,0.529,,,-1,Blue Gems,58.600,,-2,Red Gems,58.600,,-3,Gold Gems,29.300
Meat,30.72,6.354,3.592,,36,Dragon's Reverse Scale,13.24,232.0,AP,0.745,0.421,,,18,Eternal Gear,33.59,91.5,AP,0.498,0.240,,,67,Secret Gem of Archer,10.95,280.5,AP,0.479,,,,81,Archer Monument,16,192.0,AP,0.360,,,,60,Magic Gem of Archer,28.2,108.9,AP,0.180,,,,53,Gem of Archer,12.1,253.9,AP,0.029,,,,,,,,,,,,7400,241,"45,111",,,33.2,12.7,3.2,99.3,,,15,Octuplet Crystal,61.867,49.7,AP,1.049,0.512,,,24,Refined Magatama,61.867,49.7,AP,1.043,0.557,,,6,Deadly Poison Needle,92.800,33.1,AP,1.012,0.607,,,8,Stake of Wailing Night,92.800,33.1,AP,0.936,0.578,,,25,Eternal Ice,10.827,283.7,AP,0.162,0.110,,,34,Claw of Chaos,30.933,99.3,AP,0.908,0.568,,,-1,Blue Gems,61.867,,-2,Red Gems,61.867,,-3,Gold Gems,30.933
Cheese,30.62,6.564,3.826,,41,Lamp of Evil-Sealing,23.6,129.7,AP,0.740,0.404,,,20,Homunculus Baby,37.33,82.0,AP,0.644,0.450,,,59,Magic Gem of Saber,33.12,92.5,AP,0.242,,,,80,Saber Monument,19,161.2,AP,0.462,,,,52,Gem of Saber,11.7,261.7,AP,0.031,,,,,,,,,,,,,,,,,,,,,8400,274,"45,722",,,33.9,12.8,3.2,98.0,,,15,Octuplet Crystal,62.500,49.0,AP,1.063,0.519,,,24,Refined Magatama,62.500,49.0,AP,1.057,0.564,,,6,Deadly Poison Needle,93.750,32.7,AP,1.026,0.615,,,8,Stake of Wailing Night,93.750,32.7,AP,0.949,0.586,,,25,Eternal Ice,10.938,280.0,AP,0.165,0.112,,,34,Claw of Chaos,31.250,98.0,AP,0.921,0.575,,,-1,Blue Gems,62.500,,-2,Red Gems,62.500,,-3,Gold Gems,31.250
Noodle,27.65,9.569,5.570,,48,Egg of Truth,21.05,131.4,AP,1.253,0.743,,,14,Ghost Lantern,40.49,68.3,AP,0.761,0.494,,,68,Secret Gem of Lancer,21.27,130.0,AP,1.126,,,,82,Lancer Monument,21.8,126.8,AP,0.574,,,,54,Gem of Lancer,22.4,123.4,AP,0.069,,,,54,Gem of Lancer,5.8,476.7,AP,0.018,,,,,,,,,,,,9400,340,"66,673",,,44.7,16.9,2.4,67.2,,,15,Octuplet Crystal,82.300,33.6,AP,1.551,0.756,,,24,Refined Magatama,82.300,33.6,AP,1.542,0.823,,,6,Deadly Poison Needle,123.450,22.4,AP,1.496,0.897,,,8,Stake of Wailing Night,123.450,22.4,AP,1.384,0.854,,,25,Eternal Ice,14.403,192.0,AP,0.240,0.163,,,34,Claw of Chaos,41.150,67.2,AP,1.342,0.839,,,-1,Blue Gems,82.300,,-2,Red Gems,82.300,,-3,Gold Gems,41.150
Tidying Up,27.81,10.057,5.832,,51,Flaming Oni Lantern Plant,26.3,105.7,AP,1.608,0.984,,,30,Crown of Silvery Light,52.19,53.3,AP,1.032,0.594,,,71,Secret Gem of Assassin,31.36,88.7,AP,1.782,,,,85,Assassin Monument,26.1,106.6,AP,0.654,,,,57,Gem of Assassin,5.9,471.4,AP,0.016,,,,,,,,,,,,,,,,,,,,,9400,338,"65,460",,,44.8,16.6,2.5,68.4,,,15,Octuplet Crystal,81.269,34.2,AP,1.523,0.743,,,24,Refined Magatama,81.269,34.2,AP,1.514,0.808,,,6,Deadly Poison Needle,121.904,22.8,AP,1.468,0.881,,,8,Stake of Wailing Night,121.904,22.8,AP,1.359,0.839,,,25,Eternal Ice,14.222,195.5,AP,0.236,0.160,,,34,Claw of Chaos,40.635,68.4,AP,1.318,0.824,,,-1,Blue Gems,81.269,,-2,Red Gems,81.269,,-3,Gold Gems,40.635
Ice Cream,,,,,25,Eternal Ice,43.15,0.0,AP,,0.000,,,64,Magic Gem of Assassin,11.22,0.0,AP,,,,,57,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,15,Octuplet Crystal,,,,,,,,24,Refined Magatama,,,,,,,,6,Deadly Poison Needle,,,,,,,,8,Stake of Wailing Night,,,,,,,,25,Eternal Ice,,,,,,,,34,Claw of Chaos,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
