Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
High Street: Beg,40,0.808,0.492,,Eternal Gear,33.08,120.9,AP,0.376,0.183,,,Mystic Spinal Fluid,53.85,74.3,AP,0.432,0.309,,,Secret Gem of Assassin,10,400.0,AP,0.395,,,,Assassin Piece,21.3,187.8,AP,0.156,,,,Magic Gem of Assassin,16.9,236.7,AP,0.076,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Street: Int,40,0.851,0.437,,Octuplet Crystal,32.72,122.2,AP,0.426,0.208,,,Refined Magatama,32.82,121.9,AP,0.425,0.229,,,Magic Gem of Berserker,15.2,263.2,AP,0.084,,,,Berserker Piece,21.1,189.6,AP,0.152,,,,Gem of Berserker,17.7,226.0,AP,0.033,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Sakamoto: Adv,40,0.682,0.368,,Soundless Bell,31.22,128.1,AP,0.418,0.239,,,Proof of Hero,51.33,77.9,AP,0.264,0.129,,,Magic Gem of Caster,16,250.0,AP,0.070,,,,Caster Piece,20.4,196.1,AP,0.122,,,,Gem of Caster,11.2,357.1,AP,0.023,,,,Caster Hellfire,1.43,"2,797.2",AP,0.005,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Sakamoto: Patrol,40,1.782,1.068,,Heart of the Foreign God,25.85,154.7,AP,1.052,0.649,,,Soundless Bell,54.6,73.3,AP,0.730,0.418,,,Secret Gem of Berserker,31.12,128.5,AP,1.293,,,,Berserker Monument,26.7,149.8,AP,0.484,,,,Magic Gem of Berserker,23.3,171.7,AP,0.128,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talasigo Hvy Tower: Valley,40,0.793,0.429,,Giant's Ring,34.3,116.6,AP,0.422,0.248,,,Void's Dust,47.59,84.1,AP,0.371,0.180,,,Magic Gem of Saber,11.8,339.0,AP,0.066,,,,Saber Monument,20.1,199.0,AP,0.374,,,,Gem of Saber,11.8,339.0,AP,0.024,,,,Saber Hellfire,1.94,"2,061.9",AP,0.011,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talasigo Hvy Tower: Hidden,40,1.994,1.141,,Egg of Truth,27.5,145.5,AP,1.132,0.671,,,Forbidden Page,29.9,133.8,AP,0.518,0.259,,,Fool's Chain,47.53,84.2,AP,0.345,0.211,,,Magic Gem of Archer,34.2,117.0,AP,0.168,,,,Archer Monument,26,153.8,AP,0.449,,,,Gem of Archer,27.7,144.4,AP,0.051,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokorozawa Bloc,40,1.137,0.631,,Warhorse's Young Horn,24.98,160.1,AP,0.581,0.327,,,Great Knight Medal,37.21,107.5,AP,0.556,0.305,,,Magic Gem of Archer,25.2,158.7,AP,0.123,,,,Archer Monument,18,222.2,AP,0.311,,,,Gem of Archer,22.4,178.6,AP,0.041,,,,Archer Hellfire,1.78,"2,247.2",AP,0.174,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iruma Bloc,40,1.032,0.621,,Claw of Chaos,24.19,165.4,AP,0.545,0.347,,,Phoenix Feather,32.79,122.0,AP,0.487,0.274,,,Magic Gem of Lancer,28.1,142.3,AP,0.142,,,,Lancer Monument,20.1,199.0,AP,0.366,,,,Gem of Lancer,28.7,139.4,AP,0.061,,,,Lancer Hellfire,2.03,"1,970.4",AP,0.110,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawagoe Bloc,40,1.365,0.736,,Cursed Beast Gallstone,21.39,187.0,AP,0.837,0.451,,,Refined Magatama,40.81,98.0,AP,0.528,0.285,,,Secret Gem of Lancer,11,363.6,AP,0.403,,,,Lancer Monument,21.6,185.2,AP,0.393,,,,Magic Gem of Lancer,16.8,238.1,AP,0.085,,,,Gem of Lancer,33.3,120.1,AP,0.071,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumagaya Bloc,40,1.439,0.719,,Tearstone of Blood,27.27,146.7,AP,0.791,0.395,,,Forbidden Page,37.39,107.0,AP,0.648,0.324,,,Magic Gem of Caster,42.7,93.7,AP,0.187,,,,Caster Monument,19.9,201.0,AP,0.349,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasukabe Bloc,40,1.229,0.722,,Black Beast Grease,27.73,144.2,AP,0.711,0.431,,,Seed of Yggdrasil,51.4,77.8,AP,0.518,0.291,,,Magic Gem of Rider,20.6,194.2,AP,0.111,,,,Rider Monument,21.8,183.5,AP,0.374,,,,Gem of Rider,11.5,347.8,AP,0.024,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawaguchi Bloc,40,1.067,0.651,,Ball of Rainbow Thread,36.41,109.9,AP,0.475,0.288,,,Divine Leyline Spiritron,44.65,89.6,AP,0.592,0.363,,,Magic Gem of Assassin,46.3,86.4,AP,0.208,,,,Assassin Monument,20.6,194.2,AP,0.359,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyalist Party's HQ,40,1.688,0.882,,Tsukumo Mirror,27.28,146.6,AP,1.071,0.520,,,Small Bell of Absolution,49.7,80.5,AP,0.359,0.203,,,Evil Bone,46.31,86.4,AP,0.258,0.159,,,Secret Gem of Assassin,32.12,124.5,AP,1.269,,,,Assassin Monument,26.7,149.8,AP,0.465,,,,Magic Gem of Assassin,23,173.9,AP,0.104,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
