Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Settlement,30,0.237,0.115,,15,Octuplet Crystal,8.6,348.8,AP,0.149,0.073,,,4,Void's Dust,8.4,357.1,AP,0.087,0.042,,,63,Magic Gem of Caster,2.8,"1,071.4",AP,0.016,,,,77,Caster Piece,11.2,267.9,AP,0.089,,,,56,Gem of Caster,9.4,319.1,AP,0.025,,,,91,Caster Blaze,1.8,"1,666.7",AP,0.012,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nearby River,35,0.350,0.214,,20,Homunculus Baby,13.6,257.4,AP,0.205,0.143,,,4,Void's Dust,16.3,214.7,AP,0.145,0.070,,,61,Magic Gem of Lancer,9.2,380.4,AP,0.053,,,,75,Lancer Piece,14.7,238.1,AP,0.118,,,,54,Gem of Lancer,16,218.8,AP,0.039,,,,89,Lancer Blaze,2.2,"1,590.9",AP,0.014,,,,,,,,,,,,3900,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nearby Prairie,40,0.463,0.246,,17,Phoenix Feather,18.7,213.9,AP,0.278,0.156,,,4,Void's Dust,23.8,168.1,AP,0.186,0.090,,,64,Magic Gem of Assassin,15.3,261.4,AP,0.069,,,,78,Assassin Piece,19.5,205.1,AP,0.143,,,,57,Gem of Assassin,15.1,264.9,AP,0.029,,,,99,Assassin Hellfire,1.2,"3,333.3",AP,0.097,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haniwa Shrine,40,0.729,0.448,,34,Claw of Chaos,14.3,279.7,AP,0.322,0.201,,,27,Aurora Steel,17.1,233.9,AP,0.230,0.143,,,26,Giant's Ring,14.3,279.7,AP,0.176,0.104,,,59,Magic Gem of Saber,24.2,165.3,AP,0.136,,,,80,Saber Monument,10.9,367.0,AP,0.203,,,,94,Saber Hellfire,1.8,"2,222.2",AP,0.010,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Serpent Shrine,40,0.850,0.503,,41,Lamp of Evil-Sealing,17.2,232.6,AP,0.413,0.226,,,27,Aurora Steel,18.1,221.0,AP,0.244,0.151,,,9,Mystic Gunpowder,25.4,157.5,AP,0.193,0.126,,,60,Magic Gem of Archer,34.9,114.6,AP,0.171,,,,81,Archer Monument,16.5,242.4,AP,0.285,,,,95,Archer Hellfire,1.4,"2,857.1",AP,0.146,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Shrine,40,1.088,0.570,,50,Fruit of Eternity,23.14,172.9,AP,0.600,0.303,,,24,Refined Magatama,19.56,204.5,AP,0.253,0.135,,,13,Seed of Yggdrasil,23.32,171.5,AP,0.235,0.132,,,62,Magic Gem of Rider,39.6,101.0,AP,0.214,,,,83,Rider Monument,16.5,242.4,AP,0.283,,,,97,Rider Hellfire,3.86,"1,036.3",AP,0.323,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Yamatai,40,1.464,0.857,,42,Scarab of Wisdom,19.62,203.9,AP,0.861,0.507,,,29,Arrowhead of Malice,22.26,179.7,AP,0.288,0.177,,,22,Great Knight Medal,21.08,189.8,AP,0.315,0.172,,,66,Secret Gem of Saber,19.55,204.6,AP,0.705,,,,80,Saber Monument,18.8,212.8,AP,0.350,,,,59,Magic Gem of Saber,20.2,198.0,AP,0.113,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Shinsengumi,40,1.717,0.969,,36,Dragon's Reverse Scale,25.09,159.4,AP,1.085,0.613,,,24,Refined Magatama,27.18,147.2,AP,0.352,0.188,,,6,Deadly Poison Needle,33.44,119.6,AP,0.280,0.168,,,68,Secret Gem of Lancer,29.58,135.2,AP,1.083,,,,82,Lancer Monument,25.1,159.4,AP,0.457,,,,61,Magic Gem of Lancer,15.4,259.7,AP,0.078,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze Nobu,40,1.276,0.727,,37,Spirit Root,18.38,217.6,AP,0.732,0.357,,,3,Dragon Fang,78.21,51.1,AP,0.544,0.370,,,66,Secret Gem of Saber,37.61,106.4,AP,1.356,,,,59,Magic Gem of Saber,33.3,120.1,AP,0.186,,,,52,Gem of Saber,16.8,238.1,AP,0.034,,,,94,Saber Hellfire,2.99,"1,337.8",AP,0.017,,,,,,,,,,,,1228209,30705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood Nobu,40,1.376,0.847,,46,Reactor Core of Dawn,22.64,176.7,AP,0.588,0.296,,,20,Homunculus Baby,59.7,67.0,AP,0.788,0.551,,,67,Secret Gem of Archer,38.62,103.6,AP,1.299,,,,60,Magic Gem of Archer,36.5,109.6,AP,0.179,,,,53,Gem of Archer,16.8,238.1,AP,0.031,,,,95,Archer Hellfire,4.87,821.4,AP,0.507,,,,,,,,,,,,1198209,29955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
