Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Sector 1: Beg,40,0.610,0.374,,Divine Leyline Spiritron,46,87.0,AP,0.610,0.374,,,Secret Gem of Saber,4.74,843.9,AP,0.171,,,,Magic Gem of Saber,10.1,396.0,AP,0.057,,,,Gem of Saber,9.5,421.1,AP,0.019,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 1: Int,40,0.587,0.353,,Shell of Reminiscense,45.04,88.8,AP,0.587,0.353,,,Magic Gem of Caster,9.24,432.9,AP,0.040,,,,Gem of Caster,13.86,288.6,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 1: Adv,40,0.383,0.229,,Serpent Jewel,28.36,141.0,AP,0.383,0.229,,,Magic Gem of Berserker,20,200.0,AP,0.110,,,,Gem of Berserker,20,200.0,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 2: Torpedo,40,0.426,0.290,,Dragon Fang,61.34,65.2,AP,0.426,0.290,,,Magic Gem of Assassin,14.07,284.3,AP,0.063,,,,Gem of Assassin,16.1,248.4,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 2: Gunboat,40,1.068,0.616,,Tearstone of Blood,22.42,178.4,AP,0.650,0.325,,,Homunculus Baby,31.63,126.5,AP,0.418,0.291,,,Magic Gem of Caster,13.63,293.5,AP,0.060,,,,Gem of Caster,21.2,188.7,AP,0.043,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 3: Destroyer,40,1.132,0.644,,Spirit Root,18.37,217.7,AP,0.732,0.357,,,Mystic Spinal Fluid,49.93,80.1,AP,0.401,0.287,,,Secret Gem of Saber,15.12,264.6,AP,0.545,,,,Magic Gem of Saber,16,250.0,AP,0.090,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 3: Light,40,1.157,0.647,,Cursed Beast Gallstone,19.59,204.2,AP,0.766,0.413,,,Deadly Poison Needle,46.61,85.8,AP,0.390,0.234,,,Secret Gem of Berserker,14.97,267.2,AP,0.622,,,,Gem of Berserker,25.2,158.7,AP,0.047,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 4: Heavy,40,1.224,0.733,,Egg of Truth,20.14,198.6,AP,0.829,0.491,,,Fool's Chain,54.5,73.4,AP,0.395,0.242,,,Secret Gem of Lancer,9.86,405.7,AP,0.361,,,,Magic Gem of Lancer,15,266.7,AP,0.076,,,,Gem of Lancer,20.9,191.4,AP,0.044,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 4: Battle,40,1.210,0.730,,Mysterious Divine Wine,20,200.0,AP,0.699,0.398,,,Ghost Lantern,39.38,101.6,AP,0.512,0.332,,,Secret Gem of Rider,25.25,158.4,AP,0.641,,,,Gem of Rider,30.4,131.6,AP,0.064,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyss: Battleship,40,1.483,0.808,,Primordial Lanugo,29.67,134.8,AP,0.854,0.502,,,Octuplet Crystal,28.53,140.2,AP,0.372,0.181,,,Void's Dust,32.93,121.5,AP,0.257,0.125,,,Magic Gem of Archer,22.7,176.2,AP,0.111,,,,Archer Monument,25.6,156.3,AP,0.442,,,,Magic Gem of Berserker,7.8,512.8,AP,0.043,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
