Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Mississippi River: Beg,30,0.207,0.116,,Phoenix Feather,10.43,287.6,AP,0.207,0.116,,,Magic Gem of Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi River: Int,35,0.312,0.227,,Meteor Horseshoes,22.1,158.4,AP,0.312,0.227,,,Gem of Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans,40,0.186,0.115,,Evil Bone,33.39,119.8,AP,0.186,0.115,,,Gem of Assassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,40,0.511,0.281,,Seed of Yggdrasil,25.87,154.6,AP,0.261,0.147,,,Refined Magatama,19.3,207.3,AP,0.250,0.135,,,Magic Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville,40,0.569,0.355,,Giant's Ring,21.55,185.6,AP,0.265,0.156,,,Mystic Gunpowder,39.95,100.1,AP,0.304,0.199,,,Magic Gem of Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,40,0.566,0.297,,Lamp of Evil-Sealing,14.4,277.8,AP,0.346,0.190,,,Proof of Hero,42.57,94.0,AP,0.219,0.107,,,Magic Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,40,1.006,0.569,,Primordial Lanugo,15.58,256.7,AP,0.449,0.264,,,Great Knight Medal,37.29,107.3,AP,0.557,0.305,,,Magic Gem of Lancer,,,,,,,,Lancer Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,40,0.901,0.586,,Black Beast Grease,18.13,220.6,AP,0.465,0.282,,,Homunculus Baby,33.06,121.0,AP,0.436,0.304,,,Magic Gem of Assassin,,,,,,,,Assassin Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6900,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City,40,0.961,0.531,,Divine Leyline Spiritron,33.41,119.7,AP,0.443,0.271,,,Forbidden Page,29.92,133.7,AP,0.518,0.259,,,Magic Gem of Caster,,,,,,,,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omaha,40,1.000,0.497,,Reactor Core of Dawn,22.16,180.5,AP,0.575,0.290,,,Octuplet Crystal,32.65,122.5,AP,0.425,0.207,,,Magic Gem of Berserker,,,,,,,,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peoria,40,1.228,0.759,,Egg of Truth,21.22,188.5,AP,0.873,0.518,,,Dragon Fang,51.07,78.3,AP,0.355,0.242,,,Secret Gem of Archer,26.09,153.3,AP,0.877,,,,Archer Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Michigan,40,1.617,0.996,,Heart of the Foreign God,25.99,153.9,AP,1.058,0.653,,,Fool's Chain,77.17,51.8,AP,0.559,0.343,,,Secret Gem of Assassin,31.37,127.5,AP,1.239,,,,Assassin Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
