Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Cottage: Day,30,0.219,0.159,,21,Meteor Horseshoes,13.28,225.9,AP,0.219,0.159,,,61,Magic Gem of Lancer,,,,,,,,54,Gem of Lancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottage: Night,30,0.200,0.098,,15,Octuplet Crystal,11.52,260.4,AP,0.200,0.098,,,54,Gem of Lancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeside: Day,35,0.287,0.173,,23,Shell of Reminiscense,19.29,181.4,AP,0.287,0.173,,,59,Magic Gem of Saber,,,,,,,,52,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeside: Night,35,0.266,0.159,,16,Serpent Jewel,17.26,202.8,AP,0.266,0.159,,,59,Magic Gem of Saber,,,,,,,,52,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Grove: Day,40,0.548,0.309,,36,Dragon's Reverse Scale,6.25,640.0,AP,0.270,0.153,,,13,Seed of Yggdrasil,27.56,145.1,AP,0.278,0.156,,,72,Secret Gem of Berserker,6.11,654.7,AP,0.254,,,,65,Magic Gem of Berserker,,,,,,,,58,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Grove: Night,40,0.679,0.379,,45,Mysterious Divine Wine,9.95,402.0,AP,0.348,0.198,,,22,Great Knight Medal,22.17,180.4,AP,0.331,0.181,,,72,Secret Gem of Berserker,11.76,340.1,AP,0.489,,,,58,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condo: Day,40,0.828,0.440,,38,Warhorse's Young Horn,17.94,223.0,AP,0.417,0.234,,,19,Forbidden Page,23.74,168.5,AP,0.411,0.206,,,60,Magic Gem of Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condo: Night,40,0.746,0.425,,39,Tearstone of Blood,13.78,290.3,AP,0.400,0.200,,,14,Ghost Lantern,26.67,150.0,AP,0.347,0.225,,,60,Magic Gem of Archer,,,,,,,,53,Gem of Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private House: Day,40,0.788,0.455,,41,Lamp of Evil-Sealing,18.23,219.4,AP,0.438,0.239,,,29,Arrowhead of Malice,27.08,147.7,AP,0.350,0.216,,,68,Secret Gem of Lancer,11.26,355.2,AP,0.412,,,,61,Magic Gem of Lancer,,,,,,,,54,Gem of Lancer,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private House: Night,40,0.827,0.399,,47,Tsukumo Mirror,14.2,281.7,AP,0.557,0.269,,,4,Void's Dust,34.56,115.7,AP,0.270,0.130,,,68,Secret Gem of Lancer,30.53,131.0,AP,1.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
