Location,AP,Total Eff,T. Eff (min),,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,,Material,Drop%,APD,,Eff,Eff (min),,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min),,,Material,APD,,Eff,Eff (min)
Flower Park: Guide,30,0.192,0.115,,Deadly Poison Needle,17.18,174.6,AP,0.192,0.115,,,Gem of Caster,,,,,,,,Caster Piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower Park: Look After,35,0.343,0.239,,Homunculus Baby,22.75,153.8,AP,0.343,0.239,,,Magic Gem of Lancer,,,,,,,,Gem of Lancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walking Tree Forest,40,0.345,0.247,,Mystic Spinal Fluid,43,93.0,AP,0.345,0.247,,,Magic Gem of Saber,,,,,,,,Saber Piece,,,,,,,,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argo's Adventure,40,0.648,0.362,,Claw of Chaos,13.82,289.4,AP,0.312,0.198,,,Octuplet Crystal,25.83,154.9,AP,0.336,0.164,,,Magic Gem of Berserker,,,,,,,,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrilling Erice-Land,40,0.813,0.446,,Reactor Core of Dawn,17.05,234.6,AP,0.442,0.223,,,Shell of Reminiscense,28.45,140.6,AP,0.371,0.223,,,Magic Gem of Archer,,,,,,,,Gem of Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Genji,40,0.897,0.487,,Lamp of Evil-Sealing,18.7,213.9,AP,0.450,0.246,,,Refined Magatama,34.51,115.9,AP,0.447,0.241,,,Secret Gem of Caster,,,,,,,,Magic Gem of Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pole Magical Ice Castle,40,1.146,0.740,,Primordial Lanugo,23.15,172.8,AP,0.667,0.392,,,Meteor Horseshoes,38.8,103.1,AP,0.479,0.348,,,Magic Gem of Saber,,,,,,,,Saber Monument,,,,,,,,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oni Haunted House,40,1.397,0.853,,Scarab of Wisdom,20.4,196.1,AP,0.895,0.527,,,Ghost Lantern,38.64,103.5,AP,0.502,0.326,,,Secret Gem of Assassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini ServaFes Hall,40,1.403,0.847,,Flaming Oni Lantern Plant,21.24,188.3,AP,0.903,0.553,,,Giant's Ring,40.69,98.3,AP,0.500,0.295,,,Secret Gem of Berserker,,,,,,,,Berserker Monument,,,,,,,,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Tower: Petting Time,40,1.713,1.092,,Heart of the Foreign God,27.71,144.4,AP,1.128,0.696,,,Eternal Ice,50.74,78.8,AP,0.585,0.396,,,Secret Gem of Rider,,,,,,,,Rider Monument,,,,,,,,Magic Gem of Rider,,,,,,,,Gem of Rider,,,,,,,,,,,,,,,11280,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Tower: Infiltrate,40,1.940,1.163,,Egg of Truth,31.26,128.0,AP,1.286,0.763,,,Fool's Chain,90.09,44.4,AP,0.653,0.400,,,Secret Gem of Lancer,,,,,,,,Lancer Monument,,,,,,,,Magic Gem of Lancer,,,,,,,,,,,,,,,,,,,,,,,13536,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
