!! Bronze Materials,,
1,Proof of Hero,0
2,Evil Bone,0
3,Dragon Fang,349
4,Void's Dust,1363
5,Fool's Chain,962
6,Deadly Poison Needle,1812
7,Mystic Spinal Fluid,3821
8,Stake of Wailing Night,3767
9,Mystic Gunpowder,3802
10,Small Bell of Absolution,4672
11,Twilit Ritual Sword,1279
12,Ashes of Forgetfulness,1082
!! Silver Materials,,
13,Seed of Yggdrasil,0
14,Ghost Lantern,33
15,Octuplet Crystal,0
16,Serpent Jewel,0
17,Phoenix Feather,8
18,Eternal Gear,0
19,Forbidden Page,0
20,Homunculus Baby,0
21,Meteor Horseshoes,0
22,Great Knight Medal,1831
23,Shell of Reminiscense,1629
24,Refined Magatama,2113
25,Eternal Ice,2751
26,Giant's Ring,1376
27,Aurora Steel,1328
28,Soundless Bell,1615
29,Arrowhead of Malice,1452
30,Crown of Silvery Light,1637
31,Divine Leyline Spiritron,2151
32,Ball of Rainbow Thread,2063
33,Scale of Fantasy,2270
!! Gold Materials,,
34,Claw of Chaos,429
35,Heart of the Foreign God,0
36,Dragon's Reverse Scale,325
37,Spirit Root,778
38,Warhorse's Young Horn,218
39,Tearstone of Blood,475
40,Black Beast Grease,291
41,Lamp of Evil-Sealing,422
42,Scarab of Wisdom,523
43,Primordial Lanugo,861
44,Cursed Beast Gallstone,0
45,Mysterious Divine Wine,468
46,Reactor Core of Dawn,1317
47,Tsukumo Mirror,1336
48,Egg of Truth,1221
49,Fragment of a Twinkling Star,1333
50,Fruit of Eternity,1419
51,Flaming Oni Lantern Plant,1303
!! Blue Gems,,
52,Gem of Saber,0
53,Gem of Archer,0
54,Gem of Lancer,0
55,Gem of Rider,0
56,Gem of Caster,0
57,Gem of Assassin,0
58,Gem of Berserker,0
!! Red Gems,,
59,Magic Gem of Saber,0
60,Magic Gem of Archer,0
61,Magic Gem of Lancer,0
62,Magic Gem of Rider,0
63,Magic Gem of Caster,0
64,Magic Gem of Assassin,0
65,Magic Gem of Berserker,0
!! Gold Gems,,
66,Secret Gem of Saber,470
67,Secret Gem of Archer,0
68,Secret Gem of Lancer,0
69,Secret Gem of Rider,0
70,Secret Gem of Caster,107
71,Secret Gem of Assassin,0
72,Secret Gem of Berserker,0
!! Silver Statues,,
73,Saber Piece,0
74,Archer Piece,0
75,Lancer Piece,0
76,Rider Piece,0
77,Caster Piece,0
78,Assassin Piece,0
79,Berserker Piece,0
!! Gold Statues,,
80,Saber Monument,0
81,Archer Monument,0
82,Lancer Monument,0
83,Rider Monument,0
84,Caster Monument,0
85,Assassin Monument,0
86,Berserker Monument,0
!! 4* EXP,,
-6,Saber Blaze,0
