!! Bronze Materials,,
1,Proof of Hero,101
2,Evil Bone,4000
3,Dragon Fang,384
4,Void's Dust,1853
5,Fool's Chain,1038
6,Deadly Poison Needle,1838
7,Mystic Spinal Fluid,4883
8,Stake of Wailing Night,3811
9,Mystic Gunpowder,3853
10,Small Bell of Absolution,4719
11,Twilit Ritual Sword,1029
12,Ashes of Forgetfulness,1080
!! Silver Materials,,
13,Seed of Yggdrasil,577
14,Ghost Lantern,69
15,Octuplet Crystal,0
16,Serpent Jewel,356
17,Phoenix Feather,756
18,Eternal Gear,12
19,Forbidden Page,532
20,Homunculus Baby,3256
21,Meteor Horseshoes,212
22,Great Knight Medal,1841
23,Shell of Reminiscense,1624
24,Refined Magatama,2106
25,Eternal Ice,2755
26,Giant's Ring,1549
27,Aurora Steel,1254
28,Soundless Bell,1524
29,Arrowhead of Malice,1506
30,Crown of Silvery Light,1759
31,Divine Leyline Spiritron,2632
32,Ball of Rainbow Thread,2081
33,Scale of Fantasy,2176
!! Gold Materials,,
34,Claw of Chaos,476
35,Heart of the Foreign God,12
36,Dragon's Reverse Scale,317
37,Spirit Root,776
38,Warhorse's Young Horn,166
39,Tearstone of Blood,592
40,Black Beast Grease,234
41,Lamp of Evil-Sealing,499
42,Scarab of Wisdom,538
43,Primordial Lanugo,828
44,Cursed Beast Gallstone,156
45,Mysterious Divine Wine,484
46,Reactor Core of Dawn,1357
47,Tsukumo Mirror,1382
48,Egg of Truth,1240
49,Fragment of a Twinkling Star,1329
50,Fruit of Eternity,1553
51,Flaming Oni Lantern Plant,1230
!! Blue Gems,,
52,Gem of Saber,76
53,Gem of Archer,2523
54,Gem of Lancer,653
55,Gem of Rider,355
56,Gem of Caster,2412
57,Gem of Assassin,1234
58,Gem of Berserker,234
!! Red Gems,,
59,Magic Gem of Saber,1543
60,Magic Gem of Archer,213
61,Magic Gem of Lancer,132
62,Magic Gem of Rider,142
63,Magic Gem of Caster,1344
64,Magic Gem of Assassin,3211
65,Magic Gem of Berserker,1232
!! Gold Gems,,
66,Secret Gem of Saber,470
67,Secret Gem of Archer,432
68,Secret Gem of Lancer,213
69,Secret Gem of Rider,532
70,Secret Gem of Caster,107
71,Secret Gem of Assassin,567
72,Secret Gem of Berserker,856
!! Silver Statues,,
73,Saber Piece,65
74,Archer Piece,73
75,Lancer Piece,65
76,Rider Piece,34
77,Caster Piece,67
78,Assassin Piece,43
79,Berserker Piece,56
!! Gold Statues,,
80,Saber Monument,34
81,Archer Monument,67
82,Lancer Monument,89
83,Rider Monument,67
84,Caster Monument,89
85,Assassin Monument,43
86,Berserker Monument,56
!! 4* EXP,,
-6,EXP,100
