Zone,Quest,AP,Sample,Bronze Material,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,Quest,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,Quest,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Quest,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Training Grounds,Archer: Expert,40,10134,222.4,,,165.5,,,,,,,,,,211.8,,,,198.9,,,,207.9,,,,,,,,,,,,,,,,,,,315.1,,,,,,,,,,,,,Archer: Expert,,209.2,,,,,,,,33.4,,,,,,,,134.5,,,,,,Archer: Expert,,49.3,,,,,,,,69.1,,,,,,,,341.6,,,,,,,,,,,,,,Archer: Expert,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,50.25
Training Grounds,Archer: Advance,30,1260,258.9,,,146.5,,,,,,,,,,201.8,,,,328.2,,,,223.7,,,,,,,,,,,,,,,,,,,546.1,,,,,,,,,,,,,Archer: Advance,,154.0,,,,,,,,19.6,,,,,,,,199.7,,,,,,Archer: Advance,,28.1,,,,,,,,87.8,,,,,,,,340.9,,,,,,,,,,,,,,Archer: Advance,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,50.25
Training Grounds,Archer: Intermed,20,1157,252.1,66.3,1621.4,132.6,,,,,,,,,,131.1,,,,2867.5,,,,194.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer: Intermed,,14.7,,,,,,,,53.0,,,,,,,,,,,,,,Archer: Intermed,,29.5,,,,,,,,308.5,,,,,,,,49.0,,,,,,,,,,,,,,Archer: Intermed,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,46.08
Training Grounds,Archer: Novice,10,1610,92.5,41.1,272.4,190.1,,,,,,,,,,,,,,,,,,197.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archer: Novice,,7.4,,,,,,,,,,,,,,,,,,,,,,Archer: Novice,,44.0,,,,,,,,536.7,,,,,,,,24.0,,,,,,,,,,,,,,Archer: Novice,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,46.08
Training Grounds,Lancer: Expert,40,6345,206.5,,,171.0,,,,,,,,,,154.9,,,,363.3,,,189.5,,,,,,,,,,,,,,,,,,,313.4,,,,,,,,,,,,,,Lancer: Expert,,,215.3,,,,,,,,33.6,,,,,,,,146.4,,,,,Lancer: Expert,,,51.5,,,,,,,,72.8,,,,,,,,494.4,,,,,,,,,,,,,Lancer: Expert,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,50.33
Training Grounds,Lancer: Advance,30,1082,188.5,,,142.4,,,,,,,,,,156.8,,,,349.0,,,167.3,,,,,,,,,,,,,,,,,,,507.2,,,,,,,,,,,,,,Lancer: Advance,,,172.7,,,,,,,,20.2,,,,,,,,181.3,,,,,Lancer: Advance,,,30.3,,,,,,,,87.0,,,,,,,,336.7,,,,,,,,,,,,,Lancer: Advance,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,50.33
Training Grounds,Lancer: Intermed,20,1051,253.3,107.8,,132.2,,,,,,,,,,165.5,,,,,,,198.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lancer: Intermed,,,17.2,,,,,,,,33.5,,,,,,,,,,,,,Lancer: Intermed,,,28.2,,,,,,,,241.6,,,,,,,,54.9,,,,,,,,,,,,,Lancer: Intermed,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,47.18
Training Grounds,Lancer: Novice,10,1999,84.3,37.6,,186.7,,,,,,,,,,,,,,,,,203.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lancer: Novice,,,8.5,,,,,,,,,,,,,,,,,,,,,Lancer: Novice,,,42.8,,,,,,,,427.4,,,,,,,,27.3,,,,,,,,,,,,,Lancer: Novice,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,47.18
Training Grounds,Berserker: Exp,40,3165,169.1,,,173.8,,,,,,,,,,,,254.5,,,,,,,,,,,,,,,,,,,,490.2,,,,,,,,,,,,,,,,,,Berserker: Exp,,,,,,,239.8,,,,,,,,35.5,,,,,,,,166.2,Berserker: Exp,,,,,,,46.4,,,,,,,,72.5,,,,,,,,439.6,,,,,,,,,Berserker: Exp,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,51.57
Training Grounds,Berserker: Adv,30,1000,223.9,,,153.8,,,,,,,,,,,,241.9,,,,,,,,,,,,,,,,,,,,389.6,,,,,,,,,,,,,,,,,,Berserker: Adv,,,,,,,182.9,,,,,,,,22.0,,,,,,,,238.1,Berserker: Adv,,,,,,,29.0,,,,,,,,76.1,,,,,,,,311.3,,,,,,,,,Berserker: Adv,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,51.57
Training Grounds,Berserker: Inter,20,1059,325.8,,,103.3,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,622.9,,,,,,,,,,,,,,,,,,Berserker: Inter,,,,,,,15.7,,,,,,,,31.9,,,,,,,,,Berserker: Inter,,,,,,,28.9,,,,,,,,255.2,,,,,,,,56.9,,,,,,,,,Berserker: Inter,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,48.27
Training Grounds,Berserker: Nov,10,1001,90.6,,,263.6,,,,,,,,,,,,190.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berserker: Nov,,,,,,,7.5,,,,,,,,,,,,,,,,,Berserker: Nov,,,,,,,53.1,,,,,,,,632.7,,,,,,,,20.4,,,,,,,,,Berserker: Nov,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,48.27
Training Grounds,Rider: Expert,40,4118,,,85.4,242.6,,,,,,,,,,,,,,,,,,205.4,,,,,,,,,,,,,,,,540.1,,,,,,,,,,,,,,,,Rider: Expert,,,,181.0,,,,,,,,42.2,,,,,,,,101.6,,,,Rider: Expert,,,,51.7,,,,,,,,68.6,,,,,,,,293.5,,,,,,,,,,,,Rider: Expert,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,51.57
Training Grounds,Rider: Advanced,30,2151,,,65.6,233.0,,,,,,,,,,,,,,,,,,198.9,,,,,,,,,,,,,,,,1019.5,,,,,,,,,,,,,,,,Rider: Advanced,,,,127.5,,,,,,,,24.8,,,,,,,,125.1,,,,Rider: Advanced,,,,28.8,,,,,,,,81.3,,,,,,,,268.7,,,,,,,,,,,,Rider: Advanced,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,51.57
Training Grounds,Rider: Intermedi,20,1106,,,78.2,130.5,,,,,,,,,,,,,,,,,,189.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rider: Intermedi,,,,22.1,,,,,,,,21.6,,,,,,,,,,,,Rider: Intermedi,,,,28.3,,,,,,,,282.1,,,,,,,,53.3,,,,,,,,,,,,Rider: Intermedi,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,48.27
Training Grounds,Rider: Novice,10,1000,,,61.6,293.5,,,,,,,,,,,,,,,,,,199.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rider: Novice,,,,8.4,,,,,,,,,,,,,,,,,,,,Rider: Novice,,,,44.5,,,,,,,,575.3,,,,,,,,20.6,,,,,,,,,,,,Rider: Novice,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,48.27
Training Grounds,Caster: Expert,40,12170,,,,163.0,,,,,,,,,,,,,161.0,,,194.5,,,,,,,,,,,,,,,,,633.8,,,,,,,,,,,,,,,,,Caster: Expert,,,,,370.4,,,,,,,,44.0,,,,,,,,52.5,,,Caster: Expert,,,,,49.3,,,,,,,,70.2,,,,,,,,325.5,,,,,,,,,,,Caster: Expert,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,52.81
Training Grounds,Caster: Advance,30,1461,,,,142.6,,,,,,,,,,,,,134.7,,,196.9,,,,,,,,,,,,,,,,,806.1,,,,,,,,,,,,,,,,,Caster: Advance,,,,,631.3,,,,,,,,17.5,,,,,,,,129.7,,,Caster: Advance,,,,,31.2,,,,,,,,92.3,,,,,,,,225.4,,,,,,,,,,,Caster: Advance,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,52.81
Training Grounds,Caster: Intermed,20,1085,,,,95.0,,,,,,,,,,,,,132.4,,,207.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caster: Intermed,,,,,20.6,,,,,,,,25.5,,,,,,,,,,,Caster: Intermed,,,,,23.9,,,,,,,,298.1,,,,,,,,42.6,,,,,,,,,,,Caster: Intermed,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,49.37
Training Grounds,Caster: Novice,10,3041,,,,74.9,,,,,,,,,,,,,125.6,,,211.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caster: Novice,,,,,8.1,,,,,,,,87.2,,,,,,,,,,,Caster: Novice,,,,,31.0,,,,,,,,531.3,,,,,,,,21.8,,,,,,,,,,,Caster: Novice,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,49.37
Training Grounds,Assassin: Exp,40,6925,,,280.0,209.4,,,,,,,,,,128.0,217.4,,,,4559.3,,,,,,,,,,,,,,,,,,,,,,,333.3,,,,,,,,,,,,Assassin: Exp,,,,,,260.1,,,,,,,,33.9,,,,,,,,158.0,,Assassin: Exp,,,,,,50.2,,,,,,,,69.7,,,,,,,,416.7,,,,,,,,,,Assassin: Exp,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,52.81
Training Grounds,Assassin: Adv,30,1209,,,302.3,228.1,,,,,,,,,,191.9,186.0,,,,188.9,,,,,,,,,,,,,,,,,,,,,,,510.8,,,,,,,,,,,,Assassin: Adv,,,,,,189.9,,,,,,,,20.5,,,,,,,,196.1,,Assassin: Adv,,,,,,29.3,,,,,,,,80.8,,,,,,,,263.9,,,,,,,,,,Assassin: Adv,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,52.81
Training Grounds,Assassin: Inter,20,1106,,,115.8,123.6,,,,,,,,,,228.3,813.8,,,,202.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assassin: Inter,,,,,,24.3,,,,,,,,18.0,,,,,,,,,,Assassin: Inter,,,,,,29.8,,,,,,,,264.9,,,,,,,,55.4,,,,,,,,,,Assassin: Inter,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,49.37
Training Grounds,Assassin: Nov,10,1170,,,77.5,87.3,,,,,,,,,,,374.1,,,,108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assassin: Nov,,,,,,7.7,,,,,,,,,,,,,,,,,,Assassin: Nov,,,,,,35.2,,,,,,,,374.1,,,,,,,,21.8,,,,,,,,,,Assassin: Nov,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,49.37
Training Grounds,Saber: Expert,40,27855,212.4,,,177.6,,,,,,,,,,149.7,,,,377.8,196.2,,,,,194.7,,,,,,,,,,,,,,,497.9,,,,,,,,,,,,,,,Saber: Expert,169.6,,,,,,,,34.3,,,,,,,,144.2,,,,,,,Saber: Expert,54.7,,,,,,,,74.4,,,,,,,,561.3,,,,,,,,,,,,,,,Saber: Expert,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,52.81
Training Grounds,Saber: Advance,30,3856,215.4,,,149.8,,,,,,,,,,124.8,,,,173.4,209.9,,,,,192.8,,,,,,,,,,,,,,,776.4,,,,,,,,,,,,,,,Saber: Advance,116.5,,,,,,,,22.4,,,,,,,,599.4,,,,,,,Saber: Advance,30.1,,,,,,,,86.6,,,,,,,,333.3,,,,,,,,,,,,,,,Saber: Advance,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,52.81
