,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
Material,Proof of Hero,Evil Bone,Dragon Fang,Void's Dust,Fool's Chain,Deadly Poison Needle,Mystic Spinal Fluid,Stake of Wailing Night,Mystic Gunpowder,Small Bell of Absolution,Twilit Ritual Sword,Ashes of Forgetfulness,,Seed of Yggdrasil,Ghost Lantern,Octuplet Crystal,Serpent Jewel,Phoenix Feather,Eternal Gear,Forbidden Page,Homunculus Baby,Meteor Horseshoes,Great Knight Medal,Shell of Reminiscense,Refined Magatama,Eternal Ice,Giant's Ring,Aurora Steel,Soundless Bell,Arrowhead of Malice,Crown of Silvery Light,Divine Leyline Spiritron,Ball of Rainbow Thread,Scale of Fantasy,,Claw of Chaos,Heart of the Foreign God,Dragon's Reverse Scale,Spirit Root,Warhorse's Young Horn,Tearstone of Blood,Black Beast Grease,Lamp of Evil-Sealing,Scarab of Wisdom,Primordial Lanugo,Cursed Beast Gallstone,Mysterious Divine Wine,Reactor Core of Dawn,Tsukumo Mirror,Egg of Truth,Fragment of a Twinkling Star,Fruit of Eternity,Flaming Oni Lantern Plant,,Gem of Saber,Gem of Archer,Gem of Lancer,Gem of Rider,Gem of Caster,Gem of Assassin,Gem of Berserker,,Magic Gem of Saber,Magic Gem of Archer,Magic Gem of Lancer,Magic Gem of Rider,Magic Gem of Caster,Magic Gem of Assassin,Magic Gem of Berserker,,Secret Gem of Saber,Secret Gem of Archer,Secret Gem of Lancer,Secret Gem of Rider,Secret Gem of Caster,Secret Gem of Assassin,Secret Gem of Berserker,,Saber Piece,Archer Piece,Lancer Piece,Rider Piece,Caster Piece,Assassin Piece,Berserker Piece,,Saber Monument,Archer Monument,Lancer Monument,Rider Monument,Caster Monument,Assassin Monument,Berserker Monument,,Saber Blaze,Archer Blaze,Lancer Blaze,Rider Blaze,Caster Blaze,Assassin Blaze,Berserker Blaze,,Saber Hellfire,Archer Hellfire,Lancer Hellfire,Rider Hellfire,Caster Hellfire,Assassin Hellfire,Berserker Hellfire,
AP/Drop,20.6,22.3,27.8,31.2,29.0,33.5,32.1,31.0,30.4,28.9,29.2,29.9,0.0,40.3,52.0,52.1,54.0,59.4,45.5,69.3,52.8,49.4,59.8,52.1,51.8,46.1,49.2,53.9,53.5,51.7,55.0,53.0,52.2,46.2,0.0,90.2,162.8,172.9,159.3,93.0,116.0,102.6,95.9,175.5,115.2,150.0,138.9,103.8,157.0,164.6,168.1,103.7,170.0,0,8.0,7.4,8.5,8.4,8.1,7.7,7.5,0.0,22.4,19.6,20.2,21.6,17.5,18.0,22.0,0.0,144.2,134.5,146.4,101.6,52.5,158.0,166.2,0,29.0,28.1,28.2,28.3,23.9,29.3,28.9,0.0,74.4,69.1,72.8,68.6,70.2,69.7,72.5,0.0,10.4,9.6,11.2,5.9,10.6,11.0,10.8,0.0,22.6,366.7,191.5,370.6,12.8,324.2,220.3,
Exclude,0,0,0,0,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,2,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Skip To,7,8,10,11,12,,,,,,,,,24,26,27,28,29,31,32,33,34,,,,,,,,,,,,,,36,39,40,41,42,43,44,46,48,49,50,51,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Eff,,,,,,,1.398,1.000,,1.314,1.573,1.654,,,,,,,,,,,,1.575,,1.477,1.247,1.481,1.645,,1.698,1.631,1.619,1.646,,1.573,,,1.646,1.477,1.000,1.232,1.000,1.698,,1.654,,1.983,1.618,1.000,1.629,1.983,1.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Data:,Ranked from Highest to Lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,132,168,,264,280,289,,,,,,,,,,,,225,,182,196,199,208,,228,236,259,265,,280,,,265,182,138,248,262,228,,289,,235,247,254,232,235,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,131,163,,274,284,284,,,,,,,,,,,,264,,188,206,196,211,,232,241,247,275,,227,,,199,140,92,144,172,112,,160,,208,285,218,241,236,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
