Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,28.2,1.185,0.680,,23,Shell of Reminiscense,10,282.0,AP,0.185,0.111,,,55,Gem of Rider,14.55,193.8,AP,0.043,,,,76,Rider Piece,10.91,258.5,AP,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,67,"9,505",,,8.9,4.5,16.7,471.3,,,15,Octuplet Crystal,0.120,235.7,AP,0.221,0.108,,,24,Refined Magatama,0.120,235.7,AP,0.220,0.117,,,6,Deadly Poison Needle,0.180,157.1,AP,0.213,0.128,,,8,Stake of Wailing Night,0.180,157.1,AP,0.197,0.122,,,25,Eternal Ice,0.021,"1,346.6",AP,0.034,0.023,,,27,Aurora Steel,0.060,471.3,AP,0.114,0.071,,,-1,Blue Gems,0.120,,-2,Red Gems,0.120,,-3,Gold Gems,0.060
Int,32.08,1.763,0.976,,15,Octuplet Crystal,20.63,155.5,AP,0.335,0.163,,,56,Gem of Caster,15.63,205.2,AP,0.039,,,,77,Caster Piece,17.5,183.3,AP,0.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,90,"13,569",,,14.5,7.3,10.3,330.2,,,15,Octuplet Crystal,0.194,165.1,AP,0.316,0.154,,,24,Refined Magatama,0.194,165.1,AP,0.314,0.167,,,6,Deadly Poison Needle,0.292,110.1,AP,0.304,0.183,,,8,Stake of Wailing Night,0.292,110.1,AP,0.282,0.174,,,25,Eternal Ice,0.034,943.3,AP,0.049,0.033,,,27,Aurora Steel,0.097,330.2,AP,0.163,0.101,,,-1,Blue Gems,0.194,,-2,Red Gems,0.194,,-3,Gold Gems,0.097
Adv,35.4,2.423,1.435,,7,Mystic Spinal Fluid,42.29,83.7,AP,0.383,0.274,,,57,Gem of Assassin,23.97,147.7,AP,0.052,,,,78,Assassin Piece,18.95,186.8,AP,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,124,"19,384",,,25.3,11.1,6.5,231.1,,,15,Octuplet Crystal,0.306,115.6,AP,0.451,0.220,,,24,Refined Magatama,0.306,115.6,AP,0.448,0.239,,,6,Deadly Poison Needle,0.460,77.0,AP,0.435,0.261,,,8,Stake of Wailing Night,0.460,77.0,AP,0.402,0.248,,,25,Eternal Ice,0.054,660.3,AP,0.070,0.047,,,27,Aurora Steel,0.153,231.1,AP,0.233,0.145,,,-1,Blue Gems,0.306,,-2,Red Gems,0.306,,-3,Gold Gems,0.153
Fish,35.19,2.804,1.612,,45,Mysterious Divine Wine,8.22,428.1,AP,0.326,0.186,,,8,Stake of Wailing Night,37.78,93.1,AP,0.333,0.205,,,68,Secret Gem of Lancer,5.83,603.6,AP,0.243,,,,75,Lancer Piece,21.2,166.0,AP,0.170,,,,54,Gem of Lancer,28.8,122.2,AP,0.070,,,,,,,,,,,,,,,,,,,,,5400,153,"20,391",,,27.7,11.4,6.2,219.7,,,15,Octuplet Crystal,0.320,109.9,AP,0.474,0.231,,,24,Refined Magatama,0.320,109.9,AP,0.472,0.252,,,6,Deadly Poison Needle,0.481,73.2,AP,0.457,0.274,,,8,Stake of Wailing Night,0.481,73.2,AP,0.423,0.261,,,25,Eternal Ice,0.056,627.7,AP,0.073,0.050,,,27,Aurora Steel,0.160,219.7,AP,0.245,0.152,,,-1,Blue Gems,0.320,,-2,Red Gems,0.320,,-3,Gold Gems,0.160
Vegetable,34.81,3.261,1.892,,50,Fruit of Eternity,16.27,214.0,AP,0.485,0.244,,,21,Meteor Horseshoes,30.55,113.9,AP,0.434,0.315,,,72,Secret Gem of Berserker,16.04,217.0,AP,0.766,,,,86,Berserker Monument,11.1,313.6,AP,0.231,,,,58,Gem of Berserker,33.5,103.9,AP,0.072,,,,,,,,,,,,,,,,,,,,,6400,184,"22,265",,,31.8,12.0,5.8,201.2,,,15,Octuplet Crystal,0.346,100.6,AP,0.518,0.253,,,24,Refined Magatama,0.346,100.6,AP,0.515,0.275,,,6,Deadly Poison Needle,0.519,67.1,AP,0.499,0.300,,,8,Stake of Wailing Night,0.519,67.1,AP,0.462,0.285,,,25,Eternal Ice,0.061,574.9,AP,0.080,0.054,,,27,Aurora Steel,0.173,201.2,AP,0.268,0.166,,,-1,Blue Gems,0.346,,-2,Red Gems,0.346,,-3,Gold Gems,0.173
Meat,34.53,3.594,2.004,,36,Dragon's Reverse Scale,13.24,260.8,AP,0.663,0.375,,,18,Eternal Gear,33.59,102.8,AP,0.443,0.214,,,67,Secret Gem of Archer,10.95,315.3,AP,0.427,,,,81,Archer Monument,16,215.8,AP,0.320,,,,60,Magic Gem of Archer,28.2,122.4,AP,0.160,,,,53,Gem of Archer,12.1,285.4,AP,0.026,,,,,,,,,,,,7400,214,"23,656",,,33.2,12.7,5.5,189.4,,,15,Octuplet Crystal,0.365,94.7,AP,0.550,0.268,,,24,Refined Magatama,0.365,94.7,AP,0.547,0.292,,,6,Deadly Poison Needle,0.547,63.1,AP,0.531,0.318,,,8,Stake of Wailing Night,0.547,63.1,AP,0.491,0.303,,,25,Eternal Ice,0.064,541.1,AP,0.085,0.058,,,27,Aurora Steel,0.182,189.4,AP,0.285,0.177,,,-1,Blue Gems,0.365,,-2,Red Gems,0.365,,-3,Gold Gems,0.182
Cheese,34.46,3.753,2.195,,41,Lamp of Evil-Sealing,23.6,146.0,AP,0.657,0.359,,,20,Homunculus Baby,37.33,92.3,AP,0.572,0.400,,,59,Magic Gem of Saber,33.12,104.0,AP,0.215,,,,80,Saber Monument,19,181.4,AP,0.410,,,,52,Gem of Saber,11.7,294.5,AP,0.027,,,,,,,,,,,,,,,,,,,,,8400,244,"23,986",,,33.9,12.8,5.4,186.8,,,15,Octuplet Crystal,0.369,93.4,AP,0.558,0.272,,,24,Refined Magatama,0.369,93.4,AP,0.555,0.296,,,6,Deadly Poison Needle,0.554,62.3,AP,0.538,0.323,,,8,Stake of Wailing Night,0.554,62.3,AP,0.498,0.307,,,25,Eternal Ice,0.065,533.6,AP,0.086,0.059,,,27,Aurora Steel,0.185,186.8,AP,0.289,0.179,,,-1,Blue Gems,0.369,,-2,Red Gems,0.369,,-3,Gold Gems,0.185
Noodle,32.71,5.204,3.038,,48,Egg of Truth,21.05,155.4,AP,1.059,0.628,,,14,Ghost Lantern,40.49,80.8,AP,0.644,0.418,,,68,Secret Gem of Lancer,21.27,153.8,AP,0.952,,,,82,Lancer Monument,21.8,150.0,AP,0.485,,,,54,Gem of Lancer,22.4,146.0,AP,0.058,,,,54,Gem of Lancer,5.8,564.0,AP,0.015,,,,,,,,,,,,9400,287,"33,282",,,44.7,16.9,4.1,134.6,,,15,Octuplet Crystal,0.486,67.3,AP,0.774,0.378,,,24,Refined Magatama,0.486,67.3,AP,0.770,0.411,,,6,Deadly Poison Needle,0.729,44.9,AP,0.747,0.448,,,8,Stake of Wailing Night,0.729,44.9,AP,0.691,0.426,,,25,Eternal Ice,0.085,384.6,AP,0.120,0.081,,,27,Aurora Steel,0.243,134.6,AP,0.400,0.248,,,-1,Blue Gems,0.486,,-2,Red Gems,0.486,,-3,Gold Gems,0.243
Tidying Up,32.78,5.698,3.307,,51,Flaming Oni Lantern Plant,26.3,124.6,AP,1.364,0.835,,,30,Crown of Silvery Light,52.19,62.8,AP,0.876,0.504,,,71,Secret Gem of Assassin,31.36,104.5,AP,1.512,,,,85,Assassin Monument,26.1,125.6,AP,0.555,,,,57,Gem of Assassin,5.9,555.6,AP,0.014,,,,,,,,,,,,,,,,,,,,,9400,287,"32,870",,,44.8,16.6,4.2,136.3,,,15,Octuplet Crystal,0.481,68.1,AP,0.765,0.373,,,24,Refined Magatama,0.481,68.1,AP,0.760,0.406,,,6,Deadly Poison Needle,0.722,45.4,AP,0.737,0.442,,,8,Stake of Wailing Night,0.722,45.4,AP,0.682,0.421,,,25,Eternal Ice,0.084,389.4,AP,0.118,0.080,,,27,Aurora Steel,0.241,136.3,AP,0.395,0.245,,,-1,Blue Gems,0.481,,-2,Red Gems,0.481,,-3,Gold Gems,0.241
Ice Cream,,,,,25,Eternal Ice,43.15,0.0,AP,,0.000,,,64,Magic Gem of Assassin,11.22,0.0,AP,,,,,57,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,15,Octuplet Crystal,,,,,,,,24,Refined Magatama,,,,,,,,6,Deadly Poison Needle,,,,,,,,8,Stake of Wailing Night,,,,,,,,25,Eternal Ice,,,,,,,,27,Aurora Steel,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
