Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,27.75,1.557,0.898,,23,Shell of Reminiscense,10,277.5,AP,0.188,0.113,,,55,Gem of Rider,14.55,190.7,AP,0.044,,,,76,Rider Piece,10.91,254.4,AP,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,68,"12,081",,,8.9,4.5,13.4,370.8,,,15,Octuplet Crystal,0.150,185.4,AP,0.281,0.137,,,24,Refined Magatama,0.150,185.4,AP,0.279,0.149,,,6,Deadly Poison Needle,0.225,123.6,AP,0.271,0.163,,,8,Stake of Wailing Night,0.225,123.6,AP,0.251,0.155,,,25,Eternal Ice,0.026,"1,059.5",AP,0.044,0.029,,,34,Claw of Chaos,0.075,370.8,AP,0.243,0.152,,,-1,Blue Gems,0.150,,-2,Red Gems,0.150,,-3,Gold Gems,0.075
Int,31.35,2.310,1.295,,15,Octuplet Crystal,20.63,152.0,AP,0.343,0.167,,,56,Gem of Caster,15.63,200.6,AP,0.040,,,,77,Caster Piece,17.5,179.1,AP,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,93,"17,363",,,14.5,7.3,8.2,258.0,,,15,Octuplet Crystal,0.243,129.0,AP,0.404,0.197,,,24,Refined Magatama,0.243,129.0,AP,0.402,0.214,,,6,Deadly Poison Needle,0.365,86.0,AP,0.389,0.234,,,8,Stake of Wailing Night,0.365,86.0,AP,0.360,0.222,,,25,Eternal Ice,0.043,737.2,AP,0.063,0.042,,,34,Claw of Chaos,0.122,258.0,AP,0.350,0.218,,,-1,Blue Gems,0.243,,-2,Red Gems,0.243,,-3,Gold Gems,0.122
Adv,34.29,3.211,1.897,,7,Mystic Spinal Fluid,42.29,81.1,AP,0.396,0.283,,,57,Gem of Assassin,23.97,143.1,AP,0.054,,,,78,Assassin Piece,18.95,180.9,AP,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,128,"24,845",,,25.3,11.1,5.3,180.3,,,15,Octuplet Crystal,0.380,90.2,AP,0.578,0.282,,,24,Refined Magatama,0.380,90.2,AP,0.575,0.307,,,6,Deadly Poison Needle,0.571,60.1,AP,0.557,0.334,,,8,Stake of Wailing Night,0.571,60.1,AP,0.516,0.318,,,25,Eternal Ice,0.067,515.2,AP,0.089,0.061,,,34,Claw of Chaos,0.190,180.3,AP,0.500,0.312,,,-1,Blue Gems,0.380,,-2,Red Gems,0.380,,-3,Gold Gems,0.190
Fish,34.05,3.636,2.098,,45,Mysterious Divine Wine,8.22,414.2,AP,0.337,0.192,,,8,Stake of Wailing Night,37.78,90.1,AP,0.344,0.212,,,68,Secret Gem of Lancer,5.83,584.0,AP,0.251,,,,75,Lancer Piece,21.2,160.6,AP,0.176,,,,54,Gem of Lancer,28.8,118.2,AP,0.072,,,,,,,,,,,,,,,,,,,,,5400,159,"26,073",,,27.7,11.4,5.0,171.8,,,15,Octuplet Crystal,0.396,85.9,AP,0.606,0.296,,,24,Refined Magatama,0.396,85.9,AP,0.603,0.322,,,6,Deadly Poison Needle,0.595,57.3,AP,0.585,0.351,,,8,Stake of Wailing Night,0.595,57.3,AP,0.541,0.334,,,25,Eternal Ice,0.069,490.9,AP,0.094,0.064,,,34,Claw of Chaos,0.198,171.8,AP,0.525,0.328,,,-1,Blue Gems,0.396,,-2,Red Gems,0.396,,-3,Gold Gems,0.198
Vegetable,33.61,4.168,2.424,,50,Fruit of Eternity,16.27,206.6,AP,0.502,0.253,,,21,Meteor Horseshoes,30.55,110.0,AP,0.449,0.326,,,72,Secret Gem of Berserker,16.04,209.5,AP,0.793,,,,86,Berserker Monument,11.1,302.8,AP,0.239,,,,58,Gem of Berserker,33.5,100.3,AP,0.075,,,,,,,,,,,,,,,,,,,,,6400,190,"28,392",,,31.8,12.0,4.7,157.8,,,15,Octuplet Crystal,0.426,78.9,AP,0.660,0.322,,,24,Refined Magatama,0.426,78.9,AP,0.657,0.350,,,6,Deadly Poison Needle,0.639,52.6,AP,0.637,0.382,,,8,Stake of Wailing Night,0.639,52.6,AP,0.589,0.364,,,25,Eternal Ice,0.075,450.8,AP,0.102,0.069,,,34,Claw of Chaos,0.213,157.8,AP,0.572,0.357,,,-1,Blue Gems,0.426,,-2,Red Gems,0.426,,-3,Gold Gems,0.213
Meat,33.26,4.577,2.576,,36,Dragon's Reverse Scale,13.24,251.2,AP,0.688,0.389,,,18,Eternal Gear,33.59,99.0,AP,0.460,0.222,,,67,Secret Gem of Archer,10.95,303.7,AP,0.443,,,,81,Archer Monument,16,207.9,AP,0.332,,,,60,Magic Gem of Archer,28.2,117.9,AP,0.166,,,,53,Gem of Archer,12.1,274.9,AP,0.027,,,,,,,,,,,,7400,222,"30,262",,,33.2,12.7,4.5,148.0,,,15,Octuplet Crystal,0.449,74.0,AP,0.704,0.343,,,24,Refined Magatama,0.449,74.0,AP,0.700,0.373,,,6,Deadly Poison Needle,0.674,49.3,AP,0.679,0.407,,,8,Stake of Wailing Night,0.674,49.3,AP,0.628,0.388,,,25,Eternal Ice,0.079,423.0,AP,0.109,0.074,,,34,Claw of Chaos,0.225,148.0,AP,0.609,0.380,,,-1,Blue Gems,0.449,,-2,Red Gems,0.449,,-3,Gold Gems,0.225
Cheese,33.18,4.752,2.781,,41,Lamp of Evil-Sealing,23.6,140.6,AP,0.683,0.373,,,20,Homunculus Baby,37.33,88.9,AP,0.594,0.415,,,59,Magic Gem of Saber,33.12,100.2,AP,0.224,,,,80,Saber Monument,19,174.6,AP,0.426,,,,52,Gem of Saber,11.7,283.6,AP,0.028,,,,,,,,,,,,,,,,,,,,,8400,253,"30,672",,,33.9,12.8,4.4,146.1,,,15,Octuplet Crystal,0.454,73.0,AP,0.713,0.348,,,24,Refined Magatama,0.454,73.0,AP,0.709,0.379,,,6,Deadly Poison Needle,0.682,48.7,AP,0.688,0.413,,,8,Stake of Wailing Night,0.682,48.7,AP,0.637,0.393,,,25,Eternal Ice,0.080,417.3,AP,0.110,0.075,,,34,Claw of Chaos,0.227,146.1,AP,0.618,0.385,,,-1,Blue Gems,0.454,,-2,Red Gems,0.454,,-3,Gold Gems,0.227
Noodle,31.02,6.692,3.910,,48,Egg of Truth,21.05,147.4,AP,1.117,0.662,,,14,Ghost Lantern,40.49,76.6,AP,0.679,0.440,,,68,Secret Gem of Lancer,21.27,145.8,AP,1.004,,,,82,Lancer Monument,21.8,142.3,AP,0.512,,,,54,Gem of Lancer,22.4,138.5,AP,0.061,,,,54,Gem of Lancer,5.8,534.8,AP,0.016,,,,,,,,,,,,9400,303,"43,207",,,44.7,16.9,3.3,103.7,,,15,Octuplet Crystal,0.598,51.8,AP,1.005,0.490,,,24,Refined Magatama,0.598,51.8,AP,0.999,0.533,,,6,Deadly Poison Needle,0.898,34.6,AP,0.969,0.581,,,8,Stake of Wailing Night,0.898,34.6,AP,0.897,0.554,,,25,Eternal Ice,0.105,296.3,AP,0.156,0.105,,,34,Claw of Chaos,0.299,103.7,AP,0.870,0.543,,,-1,Blue Gems,0.598,,-2,Red Gems,0.598,,-3,Gold Gems,0.299
Tidying Up,31.13,7.182,4.176,,51,Flaming Oni Lantern Plant,26.3,118.4,AP,1.436,0.879,,,30,Crown of Silvery Light,52.19,59.6,AP,0.922,0.531,,,71,Secret Gem of Assassin,31.36,99.3,AP,1.592,,,,85,Assassin Monument,26.1,119.3,AP,0.584,,,,57,Gem of Assassin,5.9,527.6,AP,0.015,,,,,,,,,,,,,,,,,,,,,9400,302,"42,567",,,44.8,16.6,3.4,105.2,,,15,Octuplet Crystal,0.592,52.6,AP,0.990,0.483,,,24,Refined Magatama,0.592,52.6,AP,0.984,0.525,,,6,Deadly Poison Needle,0.887,35.1,AP,0.955,0.573,,,8,Stake of Wailing Night,0.887,35.1,AP,0.884,0.545,,,25,Eternal Ice,0.104,300.7,AP,0.153,0.104,,,34,Claw of Chaos,0.296,105.2,AP,0.857,0.535,,,-1,Blue Gems,0.592,,-2,Red Gems,0.592,,-3,Gold Gems,0.296
Ice Cream,,,,,25,Eternal Ice,43.15,0.0,AP,,0.000,,,64,Magic Gem of Assassin,11.22,0.0,AP,,,,,57,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,15,Octuplet Crystal,,,,,,,,24,Refined Magatama,,,,,,,,6,Deadly Poison Needle,,,,,,,,8,Stake of Wailing Night,,,,,,,,25,Eternal Ice,,,,,,,,34,Claw of Chaos,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,
