Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Beg,9.19,1.760,0.914,,1,Proof of Hero,13.3,69.1,AP,0.298,0.145,,,54,Gem of Lancer,3.16,290.8,AP,0.029,,,,75,Lancer Piece,2.8,328.2,AP,0.086,,,,58,Gem of Berserker,1.31,701.5,AP,0.011,,,,76,Rider Piece,3.11,295.5,AP,0.096,,,,,,,,,,,,,,,,,,,,,1900,207,"12,964",,,8.1,2.0,37.3,342.5,,,19,Forbidden Page,0.054,171.2,AP,0.405,0.202,,,22,Great Knight Medal,0.054,171.2,AP,0.349,0.191,,,1,Proof of Hero,0.081,114.2,AP,0.180,0.088,,,4,Void's Dust,0.081,114.2,AP,0.273,0.132,,,5,Fool's Chain,0.081,114.2,AP,0.254,0.156,,,,,,,,,,,,-1,Blue Gems,0.054,,-2,Red Gems,0.054,,-3,Gold Gems,0.027
Prelims: Int,18.43,1.751,0.972,,3,Dragon Fang,21.84,84.4,AP,0.329,0.224,,,52,Gem of Saber,6.91,266.7,AP,0.030,,,,73,Saber Piece,2.2,837.7,AP,0.035,,,,57,Gem of Assassin,12,153.6,AP,0.050,,,,77,Caster Piece,3.3,558.5,AP,0.043,,,,,,,,,,,,,,,,,,,,,2900,157,"12,608",,,15.8,3.9,19.1,352.2,,,19,Forbidden Page,0.105,176.1,AP,0.394,0.197,,,22,Great Knight Medal,0.105,176.1,AP,0.340,0.186,,,1,Proof of Hero,0.157,117.4,AP,0.175,0.086,,,4,Void's Dust,0.157,117.4,AP,0.266,0.128,,,5,Fool's Chain,0.157,117.4,AP,0.247,0.151,,,,,,,,,,,,-1,Blue Gems,0.105,,-2,Red Gems,0.105,,-3,Gold Gems,0.052
Prelims: Adv,27.39,2.187,1.162,,22,Great Knight Medal,27.33,100.2,AP,0.597,0.326,,,52,Gem of Saber,27.2,100.7,AP,0.079,,,,73,Saber Piece,9.4,291.4,AP,0.100,,,,79,Berserker Piece,7.8,351.2,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,161,"14,103",,,25.4,6.7,11.5,314.8,,,19,Forbidden Page,0.174,157.4,AP,0.440,0.220,,,22,Great Knight Medal,0.174,157.4,AP,0.380,0.208,,,1,Proof of Hero,0.261,104.9,AP,0.196,0.096,,,4,Void's Dust,0.261,104.9,AP,0.297,0.143,,,5,Fool's Chain,0.261,104.9,AP,0.276,0.169,,,,,,,,,,,,-1,Blue Gems,0.174,,-2,Red Gems,0.174,,-3,Gold Gems,0.087
Prelims: Exp,36.26,2.380,1.310,,34,Claw of Chaos,15.37,235.9,AP,0.382,0.239,,,6,Deadly Poison Needle,30.14,120.3,AP,0.278,0.167,,,65,Magic Gem of Berserker,19.4,186.9,AP,0.118,,,,81,Archer Monument,4.5,805.8,AP,0.086,,,,55,Gem of Rider,28,129.5,AP,0.065,,,,,,,,,,,,,,,,,,,,,6400,177,"15,245",,,35.1,9.9,8.0,291.2,,,19,Forbidden Page,0.249,145.6,AP,0.476,0.238,,,22,Great Knight Medal,0.249,145.6,AP,0.411,0.224,,,1,Proof of Hero,0.374,97.1,AP,0.212,0.104,,,4,Void's Dust,0.374,97.1,AP,0.321,0.155,,,5,Fool's Chain,0.374,97.1,AP,0.299,0.183,,,,,,,,,,,,-1,Blue Gems,0.249,,-2,Red Gems,0.249,,-3,Gold Gems,0.125
Prelims: Hero,35.74,3.264,1.739,,44,Cursed Beast Gallstone,18.29,195.4,AP,0.818,0.436,,,17,Phoenix Feather,27.51,129.9,AP,0.457,0.257,,,72,Secret Gem of Berserker,16.8,212.7,AP,0.781,,,,85,Assassin Monument,9,397.1,AP,0.176,,,,62,Magic Gem of Rider,24.3,147.1,AP,0.147,,,,55,Gem of Rider,22.6,158.1,AP,0.053,,,,,,,,,,,,7400,207,"17,641",,,36.8,12.1,7.0,251.7,,,19,Forbidden Page,0.284,125.8,AP,0.551,0.275,,,22,Great Knight Medal,0.284,125.8,AP,0.475,0.260,,,1,Proof of Hero,0.426,83.9,AP,0.246,0.120,,,4,Void's Dust,0.426,83.9,AP,0.372,0.179,,,5,Fool's Chain,0.426,83.9,AP,0.346,0.212,,,,,,,,,,,,-1,Blue Gems,0.284,,-2,Red Gems,0.284,,-3,Gold Gems,0.142
Prelims: Monarch,34.75,4.068,2.242,,42,Scarab of Wisdom,20.71,167.8,AP,1.046,0.616,,,16,Serpent Jewel,32.39,107.3,AP,0.503,0.301,,,67,Secret Gem of Archer,20.75,167.5,AP,0.803,,,,81,Archer Monument,13,267.3,AP,0.259,,,,60,Magic Gem of Archer,31.6,110.0,AP,0.178,,,,80,Saber Monument,3.7,939.2,AP,0.079,,,,,,,,,,,,8400,242,"22,338",,,44.9,15.0,5.7,198.8,,,19,Forbidden Page,0.350,99.4,AP,0.697,0.349,,,22,Great Knight Medal,0.350,99.4,AP,0.602,0.329,,,1,Proof of Hero,0.525,66.3,AP,0.311,0.152,,,4,Void's Dust,0.525,66.3,AP,0.471,0.227,,,5,Fool's Chain,0.525,66.3,AP,0.438,0.268,,,,,,,,,,,,-1,Blue Gems,0.350,,-2,Red Gems,0.350,,-3,Gold Gems,0.175
Prelims: Champ,34.75,4.510,2.427,,36,Dragon's Reverse Scale,25.26,137.6,AP,1.257,0.710,,,24,Refined Magatama,49.27,70.5,AP,0.734,0.392,,,72,Secret Gem of Berserker,25.21,137.8,AP,1.206,,,,86,Berserker Monument,12.7,273.6,AP,0.265,,,,80,Saber Monument,12.9,269.4,AP,0.276,,,,65,Magic Gem of Berserker,15.3,227.1,AP,0.097,,,,,,,,,,,,9400,271,"22,338",,,44.9,15.0,5.7,198.8,,,19,Forbidden Page,0.350,99.4,AP,0.697,0.349,,,22,Great Knight Medal,0.350,99.4,AP,0.602,0.329,,,1,Proof of Hero,0.525,66.3,AP,0.311,0.152,,,4,Void's Dust,0.525,66.3,AP,0.471,0.227,,,5,Fool's Chain,0.525,66.3,AP,0.438,0.268,,,,,,,,,,,,-1,Blue Gems,0.350,,-2,Red Gems,0.350,,-3,Gold Gems,0.175
Semis: Beg,9.17,1.914,1.041,,5,Fool's Chain,12.75,71.9,AP,0.403,0.247,,,58,Gem of Berserker,4.17,219.9,AP,0.034,,,,78,Assassin Piece,2.9,316.2,AP,0.093,,,,79,Berserker Piece,2.2,416.8,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,207,"13,396",,,8.6,2.0,36.1,331.4,,,19,Forbidden Page,0.055,165.7,AP,0.418,0.209,,,22,Great Knight Medal,0.055,165.7,AP,0.361,0.197,,,1,Proof of Hero,0.083,110.5,AP,0.186,0.091,,,4,Void's Dust,0.083,110.5,AP,0.282,0.136,,,5,Fool's Chain,0.083,110.5,AP,0.262,0.161,,,,,,,,,,,,-1,Blue Gems,0.055,,-2,Red Gems,0.055,,-3,Gold Gems,0.028
Semis: Int,18.34,1.985,1.127,,20,Homunculus Baby,16.5,111.2,AP,0.475,0.332,,,65,Magic Gem of Berserker,9,203.8,AP,0.108,,,,77,Caster Piece,4,458.5,AP,0.052,,,,58,Gem of Berserker,10.7,171.4,AP,0.044,,,,74,Archer Piece,3.7,495.7,AP,0.057,,,,79,Berserker Piece,2,917.0,AP,0.032,,,,,,,,,,,,2900,158,"13,396",,,17.2,4.0,18.1,331.4,,,19,Forbidden Page,0.111,165.7,AP,0.418,0.209,,,22,Great Knight Medal,0.111,165.7,AP,0.361,0.197,,,1,Proof of Hero,0.166,110.5,AP,0.186,0.091,,,4,Void's Dust,0.166,110.5,AP,0.282,0.136,,,5,Fool's Chain,0.166,110.5,AP,0.262,0.161,,,,,,,,,,,,-1,Blue Gems,0.111,,-2,Red Gems,0.111,,-3,Gold Gems,0.055
Semis: Adv,27.24,2.029,1.079,,17,Phoenix Feather,15.64,174.2,AP,0.341,0.192,,,59,Magic Gem of Saber,12.33,220.9,AP,0.101,,,,73,Saber Piece,7.3,373.2,AP,0.078,,,,52,Gem of Saber,25,109.0,AP,0.073,,,,76,Rider Piece,6.33,430.3,AP,0.066,,,,79,Berserker Piece,6,454.0,AP,0.064,,,,,,,,,,,,4400,162,"14,968",,,27.9,6.8,10.9,296.6,,,19,Forbidden Page,0.184,148.3,AP,0.467,0.234,,,22,Great Knight Medal,0.184,148.3,AP,0.403,0.220,,,1,Proof of Hero,0.276,98.9,AP,0.208,0.102,,,4,Void's Dust,0.276,98.9,AP,0.316,0.152,,,5,Fool's Chain,0.276,98.9,AP,0.293,0.180,,,,,,,,,,,,-1,Blue Gems,0.184,,-2,Red Gems,0.184,,-3,Gold Gems,0.092
Semis: Exp,36.17,2.497,1.315,,38,Warhorse's Young Horn,16.35,221.2,AP,0.420,0.236,,,4,Void's Dust,35.93,100.7,AP,0.310,0.150,,,61,Magic Gem of Lancer,37.7,95.9,AP,0.211,,,,82,Lancer Monument,5,723.4,AP,0.101,,,,80,Saber Monument,1.9,"1,903.7",AP,0.039,,,,81,Archer Monument,2.1,"1,722.4",AP,0.040,,,,,,,,,,,,6400,177,"15,672",,,37.4,9.8,7.8,283.3,,,19,Forbidden Page,0.255,141.7,AP,0.489,0.245,,,22,Great Knight Medal,0.255,141.7,AP,0.422,0.231,,,1,Proof of Hero,0.383,94.4,AP,0.218,0.106,,,4,Void's Dust,0.383,94.4,AP,0.330,0.159,,,5,Fool's Chain,0.383,94.4,AP,0.307,0.188,,,,,,,,,,,,-1,Blue Gems,0.255,,-2,Red Gems,0.255,,-3,Gold Gems,0.128
Semis: Hero,35.64,3.608,1.879,,37,Spirit Root,19.35,184.2,AP,0.865,0.422,,,22,Great Knight Medal,41.8,85.3,AP,0.701,0.383,,,66,Secret Gem of Saber,16.83,211.8,AP,0.681,,,,80,Saber Monument,8.9,400.4,AP,0.186,,,,59,Magic Gem of Saber,17.4,204.8,AP,0.109,,,,82,Lancer Monument,8.5,419.3,AP,0.174,,,,,,,,,,,,7400,208,"18,105",,,39.6,11.9,6.9,245.2,,,19,Forbidden Page,0.291,122.6,AP,0.565,0.283,,,22,Great Knight Medal,0.291,122.6,AP,0.488,0.267,,,1,Proof of Hero,0.436,81.7,AP,0.252,0.123,,,4,Void's Dust,0.436,81.7,AP,0.382,0.184,,,5,Fool's Chain,0.436,81.7,AP,0.355,0.217,,,,,,,,,,,,-1,Blue Gems,0.291,,-2,Red Gems,0.291,,-3,Gold Gems,0.145
Semis: Monarch,34.59,3.929,2.201,,45,Mysterious Divine Wine,20.64,167.6,AP,0.834,0.475,,,21,Meteor Horseshoes,34.02,101.7,AP,0.486,0.353,,,69,Secret Gem of Rider,19.37,178.6,AP,0.569,,,,83,Rider Monument,6,576.5,AP,0.119,,,,62,Magic Gem of Rider,20.8,166.3,AP,0.130,,,,55,Gem of Rider,16.7,207.1,AP,0.041,,,,,,,,,,,,8400,243,"23,148",,,48.2,15.0,5.5,191.8,,,19,Forbidden Page,0.361,95.9,AP,0.723,0.361,,,22,Great Knight Medal,0.361,95.9,AP,0.624,0.341,,,1,Proof of Hero,0.541,63.9,AP,0.322,0.157,,,4,Void's Dust,0.541,63.9,AP,0.488,0.235,,,5,Fool's Chain,0.541,63.9,AP,0.454,0.278,,,,,,,,,,,,-1,Blue Gems,0.361,,-2,Red Gems,0.361,,-3,Gold Gems,0.180
Semis: Champ,34.59,4.405,2.367,,47,Tsukumo Mirror,25.05,138.1,AP,1.137,0.548,,,25,Eternal Ice,49.39,70.0,AP,0.658,0.446,,,67,Secret Gem of Archer,24.97,138.5,AP,0.971,,,,81,Archer Monument,25.2,137.3,AP,0.503,,,,60,Magic Gem of Archer,15.2,227.6,AP,0.086,,,,,,,,,,,,,,,,,,,,,9400,272,"23,148",,,48.2,15.0,5.5,191.8,,,19,Forbidden Page,0.361,95.9,AP,0.723,0.361,,,22,Great Knight Medal,0.361,95.9,AP,0.624,0.341,,,1,Proof of Hero,0.541,63.9,AP,0.322,0.157,,,4,Void's Dust,0.541,63.9,AP,0.488,0.235,,,5,Fool's Chain,0.541,63.9,AP,0.454,0.278,,,,,,,,,,,,-1,Blue Gems,0.361,,-2,Red Gems,0.361,,-3,Gold Gems,0.180
