Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Flower Park: Guide,30,0.192,0.115,,6,Deadly Poison Needle,17.18,174.6,AP,0.192,0.115,,,56,Gem of Caster,,,,,,,,77,Caster Piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower Park: Look After,35,0.343,0.240,,20,Homunculus Baby,22.75,153.8,AP,0.343,0.240,,,61,Magic Gem of Lancer,,,,,,,,54,Gem of Lancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walking Tree Forest,40,0.345,0.247,,7,Mystic Spinal Fluid,43,93.0,AP,0.345,0.247,,,59,Magic Gem of Saber,,,,,,,,73,Saber Piece,,,,,,,,52,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argo's Adventure,40,0.648,0.359,,34,Claw of Chaos,13.82,289.4,AP,0.312,0.195,,,15,Octuplet Crystal,25.83,154.9,AP,0.336,0.164,,,65,Magic Gem of Berserker,,,,,,,,58,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrilling Erice-Land,40,0.813,0.446,,46,Reactor Core of Dawn,17.05,234.6,AP,0.442,0.223,,,23,Shell of Reminiscense,28.45,140.6,AP,0.371,0.223,,,60,Magic Gem of Archer,,,,,,,,53,Gem of Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Genji,40,0.896,0.484,,41,Lamp of Evil-Sealing,18.7,213.9,AP,0.449,0.245,,,24,Refined Magatama,34.51,115.9,AP,0.447,0.238,,,70,Secret Gem of Caster,,,,,,,,63,Magic Gem of Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pole Magical Ice Castle,40,1.146,0.740,,43,Primordial Lanugo,23.15,172.8,AP,0.667,0.392,,,21,Meteor Horseshoes,38.8,103.1,AP,0.479,0.348,,,59,Magic Gem of Saber,,,,,,,,80,Saber Monument,,,,,,,,52,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oni Haunted House,40,1.397,0.853,,42,Scarab of Wisdom,20.4,196.1,AP,0.895,0.527,,,14,Ghost Lantern,38.64,103.5,AP,0.502,0.326,,,71,Secret Gem of Assassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini ServaFes Hall,40,1.403,0.847,,51,Flaming Oni Lantern Plant,21.24,188.3,AP,0.903,0.553,,,26,Giant's Ring,40.69,98.3,AP,0.500,0.295,,,72,Secret Gem of Berserker,,,,,,,,86,Berserker Monument,,,,,,,,58,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Tower: Petting Time,40,1.713,1.092,,35,Heart of the Foreign God,27.71,144.4,AP,1.128,0.696,,,25,Eternal Ice,50.74,78.8,AP,0.585,0.396,,,69,Secret Gem of Rider,,,,,,,,83,Rider Monument,,,,,,,,62,Magic Gem of Rider,,,,,,,,55,Gem of Rider,,,,,,,,,,,,,,,,11280,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Tower: Infiltrate,40,1.940,1.163,,48,Egg of Truth,31.26,128.0,AP,1.286,0.763,,,5,Fool's Chain,90.09,44.4,AP,0.653,0.400,,,68,Secret Gem of Lancer,,,,,,,,82,Lancer Monument,,,,,,,,61,Magic Gem of Lancer,,,,,,,,,,,,,,,,,,,,,,,,,13536,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
