Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Santa Island Exploration: Beg,30,0.000,0.000,,1,Proof of Hero,11.88,252.5,AP,0.082,,,,55,Gem of Rider,14.62,205.2,AP,0.041,,,,76,Rider Piece,7.89,380.2,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Island Exploration: Int,35,0.334,0.280,,8,Stake of Wailing Night,37.66,92.9,AP,0.334,0.280,,,53,Gem of Archer,20.45,171.1,AP,0.043,,,,74,Archer Piece,20.45,171.1,AP,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Island Exploration: Adv,40,0.000,0.000,,21,Meteor Horseshoes,24.54,163.0,AP,0.303,,,,59,Magic Gem of Saber,10.06,397.6,AP,0.056,,,,73,Saber Piece,13.8,289.9,AP,0.100,,,,52,Gem of Saber,20.75,192.8,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Green,40,0.290,0.235,,40,Black Beast Grease,11.29,354.3,AP,0.290,0.235,,,5,Fool's Chain,35.36,113.1,AP,0.256,,,,64,Magic Gem of Assassin,15.08,265.3,AP,0.068,,,,85,Assassin Monument,12.9,310.1,AP,0.225,,,,57,Gem of Assassin,22.4,178.6,AP,0.043,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Yellow,40,0.313,0.195,,34,Claw of Chaos,13.86,288.6,AP,0.313,0.195,,,6,Deadly Poison Needle,35.69,112.1,AP,0.299,,,,72,Secret Gem of Berserker,12.55,318.7,AP,0.521,,,,86,Berserker Monument,11.9,336.1,AP,0.216,,,,58,Gem of Berserker,25.3,158.1,AP,0.047,,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Red,40,0.424,0.282,,38,Warhorse's Young Horn,18.24,219.3,AP,0.424,0.282,,,24,Refined Magatama,11.32,353.4,AP,0.147,,,,14,Ghost Lantern,15.09,265.1,AP,0.196,,,,63,Magic Gem of Caster,28.3,141.3,AP,0.124,,,,84,Caster Monument,14.5,275.9,AP,0.254,,,,56,Gem of Caster,19.5,205.1,AP,0.039,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: White,40,0.705,0.435,,47,Tsukumo Mirror,17.95,222.8,AP,0.705,0.435,,,20,Homunculus Baby,34.25,116.8,AP,0.452,,,,66,Secret Gem of Saber,14.8,270.3,AP,0.534,,,,80,Saber Monument,16.7,239.5,AP,0.311,,,,59,Magic Gem of Saber,14.3,279.7,AP,0.080,,,,52,Gem of Saber,19.1,209.4,AP,0.038,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Gold,40,0.424,0.286,,35,Heart of the Foreign God,17.84,224.2,AP,0.726,,,,27,Aurora Steel,31.46,127.1,AP,0.424,0.286,,,68,Secret Gem of Lancer,23.47,170.4,AP,0.859,,,,82,Lancer Monument,18.8,212.8,AP,0.342,,,,61,Magic Gem of Lancer,11.7,341.9,AP,0.059,,,,54,Gem of Lancer,15.5,258.1,AP,0.033,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Nursing: Platinum,40,1.689,1.056,,42,Scarab of Wisdom,25.61,156.2,AP,1.124,0.662,,,17,Phoenix Feather,38.05,105.1,AP,0.565,0.394,,,66,Secret Gem of Saber,29.65,134.9,AP,1.069,,,,80,Saber Monument,24.9,160.6,AP,0.463,,,,59,Magic Gem of Saber,14.6,274.0,AP,0.082,,,,52,Gem of Saber,10.6,377.4,AP,0.021,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Rescue,,,,,25,Eternal Ice,23.21,0.0,AP,,0.000,,,54,Gem of Lancer,34.98,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
