Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Center Street,30,0.137,0.067,,1,Proof of Hero,19.93,150.5,AP,0.137,0.067,,,52,Gem of Saber,4.8,625.0,AP,0.013,,,,73,Saber Piece,9.8,306.1,AP,0.095,,,,58,Gem of Berserker,4.8,625.0,AP,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary Forest Park,35,0.277,0.156,,13,Seed of Yggdrasil,24.08,145.3,AP,0.277,0.156,,,60,Magic Gem of Archer,3.4,"1,029.4",AP,0.019,,,,74,Archer Piece,15.9,220.1,AP,0.128,,,,53,Gem of Archer,9.13,383.4,AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X Alter's Home,40,0.234,0.113,,18,Eternal Gear,20.56,194.6,AP,0.234,0.113,,,58,Gem of Berserker,18.9,211.6,AP,0.035,,,,79,Berserker Piece,17.68,226.2,AP,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On-Air Stage,40,0.491,0.296,,26,Giant's Ring,20.24,197.6,AP,0.249,0.147,,,8,Stake of Wailing Night,31.21,128.2,AP,0.242,0.149,,,65,Magic Gem of Berserker,9.84,406.5,AP,0.054,,,,77,Caster Piece,19.8,202.0,AP,0.118,,,,56,Gem of Caster,14.3,279.7,AP,0.029,,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atelier,40,0.749,0.421,,19,Forbidden Page,25.7,155.6,AP,0.445,0.223,,,9,Mystic Gunpowder,39.99,100.0,AP,0.304,0.199,,,68,Secret Gem of Lancer,5.04,793.7,AP,0.184,,,,82,Lancer Monument,10.4,384.6,AP,0.189,,,,61,Magic Gem of Lancer,10,400.0,AP,0.051,,,,54,Gem of Lancer,20.8,192.3,AP,0.044,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Boardinghouse,40,0.618,0.421,,21,Meteor Horseshoes,29.48,135.7,AP,0.364,0.265,,,2,Evil Bone,45.59,87.7,AP,0.254,0.157,,,72,Secret Gem of Berserker,14.78,270.6,AP,0.614,,,,86,Berserker Monument,14.5,275.9,AP,0.263,,,,58,Gem of Berserker,28.6,139.9,AP,0.054,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesson Studio,40,1.062,0.630,,40,Black Beast Grease,23.77,168.3,AP,0.610,0.370,,,30,Crown of Silvery Light,32.93,121.5,AP,0.453,0.261,,,64,Magic Gem of Assassin,32.54,122.9,AP,0.146,,,,85,Assassin Monument,18.4,217.4,AP,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Stage: Chorus,40,1.084,0.575,,38,Warhorse's Young Horn,26.7,149.8,AP,0.621,0.349,,,15,Octuplet Crystal,35.58,112.4,AP,0.463,0.226,,,62,Magic Gem of Rider,18.5,216.2,AP,0.100,,,,83,Rider Monument,19.5,205.1,AP,0.334,,,,55,Gem of Rider,28.3,141.3,AP,0.059,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Stage: Form,40,1.175,0.615,,50,Fruit of Eternity,24.92,160.5,AP,0.646,0.326,,,22,Great Knight Medal,35.37,113.1,AP,0.529,0.289,,,60,Magic Gem of Archer,21.08,189.8,AP,0.103,,,,81,Archer Monument,20.9,191.4,AP,0.361,,,,65,Magic Gem of Berserker,20.6,194.2,AP,0.113,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Stage: Stage,40,0.904,0.537,,41,Lamp of Evil-Sealing,24.57,162.8,AP,0.590,0.322,,,3,Dragon Fang,45.22,88.5,AP,0.314,0.214,,,72,Secret Gem of Berserker,23.98,166.8,AP,0.996,,,,82,Lancer Monument,19.6,204.1,AP,0.357,,,,54,Gem of Lancer,28.3,141.3,AP,0.060,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shitamachi Comm.,40,1.693,1.045,,49,Fragment of a Twinkling Star,25.01,159.9,AP,1.051,0.629,,,14,Ghost Lantern,49.35,81.1,AP,0.642,0.416,,,70,Secret Gem of Caster,30.23,132.3,AP,0.397,,,,84,Caster Monument,25,160.0,AP,0.439,,,,56,Gem of Caster,19.9,201.0,AP,0.040,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
