Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Mansion-side Cavern: Misfortune,30,0.769,0.425,,19,Forbidden Page,18,166.7,AP,0.416,0.208,,,31,Divine Leyline Spiritron,20,150.0,AP,0.353,0.217,,,52,Gem of Saber,25.14,119.3,AP,0.067,,,,73,Saber Piece,7.7,389.6,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansion-side Cavern: Large Wine,35,0.445,0.274,,2,Evil Bone,69.84,50.1,AP,0.445,0.274,,,56,Gem of Caster,34.75,100.7,AP,0.080,,,,77,Caster Piece,9.79,357.5,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansion-side Cavern: Beast Grotto,40,0.640,0.309,,18,Eternal Gear,56.27,71.1,AP,0.640,0.309,,,65,Magic Gem of Berserker,24.27,164.8,AP,0.133,,,,79,Berserker Piece,16,250.0,AP,0.116,,,,58,Gem of Berserker,22.67,176.4,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea of Sandstorms,40,1.089,0.671,,30,Crown of Silvery Light,48.83,81.9,AP,0.671,0.386,,,3,Dragon Fang,60.08,66.6,AP,0.418,0.285,,,62,Magic Gem of Rider,22.46,178.1,AP,0.121,,,,76,Rider Piece,19.9,201.0,AP,0.141,,,,55,Gem of Rider,34.6,115.6,AP,0.073,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Hideout,40,1.411,0.782,,43,Primordial Lanugo,32.44,123.3,AP,0.934,0.549,,,1,Proof of Hero,92.56,43.2,AP,0.477,0.233,,,61,Magic Gem of Lancer,31.55,126.8,AP,0.159,,,,82,Lancer Monument,11,363.6,AP,0.200,,,,54,Gem of Lancer,34.5,115.9,AP,0.073,,,,,,,,,,,,,,,,,,,,,15690,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest of Magic: Guardian,40,1.652,1.095,,34,Claw of Chaos,35.64,112.2,AP,0.804,0.502,,,20,Homunculus Baby,64.27,62.2,AP,0.848,0.593,,,59,Magic Gem of Saber,45.29,88.3,AP,0.254,,,,80,Saber Monument,10.4,384.6,AP,0.193,,,,52,Gem of Saber,45,88.9,AP,0.090,,,,,,,,,,,,,,,,,,,,,6900,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest of Magic: Apology,40,3.679,1.968,,37,Spirit Root,52.87,75.7,AP,2.106,1.027,,,27,Aurora Steel,58.91,67.9,AP,0.794,0.492,,,30,Crown of Silvery Light,56.68,70.6,AP,0.779,0.449,,,66,Secret Gem of Saber,52.58,76.1,AP,1.896,,,,80,Saber Monument,26.4,151.5,AP,0.491,,,,59,Magic Gem of Saber,66.1,60.5,AP,0.370,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House ot Seven,40,1.631,0.920,,38,Warhorse's Young Horn,36.88,108.5,AP,0.857,0.482,,,1,Proof of Hero,59.32,67.4,AP,0.305,0.149,,,8,Stake of Wailing Night,60.37,66.3,AP,0.468,0.289,,,64,Magic Gem of Assassin,34.5,115.9,AP,0.155,,,,85,Assassin Monument,13.1,305.3,AP,0.228,,,,57,Gem of Assassin,43.6,91.7,AP,0.084,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csejte Cinderella: Masked,40,1.923,1.071,,27,Aurora Steel,40.95,97.7,AP,0.552,0.342,,,15,Octuplet Crystal,43.14,92.7,AP,0.562,0.274,,,17,Phoenix Feather,54.48,73.4,AP,0.809,0.455,,,65,Magic Gem of Berserker,42.4,94.3,AP,0.233,,,,86,Berserker Monument,15.8,253.2,AP,0.286,,,,58,Gem of Berserker,56.6,70.7,AP,0.106,,,,,,,,,,,,7900,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csejte Cinderella: Big Yawn,40,3.318,1.975,,51,Flaming Oni Lantern Plant,51.56,77.6,AP,2.191,1.342,,,1,Proof of Hero,88.91,45.0,AP,0.458,0.223,,,5,Fool's Chain,92.31,43.3,AP,0.669,0.410,,,70,Secret Gem of Caster,43.28,92.4,AP,0.568,,,,84,Caster Monument,26.3,152.1,AP,0.462,,,,63,Magic Gem of Caster,53,75.5,AP,0.232,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderella's Chambers: Goddess,40,2.234,1.319,,40,Black Beast Grease,47.18,84.8,AP,1.210,0.733,,,22,Great Knight Medal,43.73,91.5,AP,0.654,0.357,,,2,Evil Bone,66.34,60.3,AP,0.370,0.228,,,60,Magic Gem of Archer,55.1,72.6,AP,0.270,,,,81,Archer Monument,17.2,232.6,AP,0.297,,,,53,Gem of Archer,55.1,72.6,AP,0.102,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderella's Chambers: Surprised,40,2.407,1.320,,20,Homunculus Baby,55.61,71.9,AP,0.734,0.513,,,18,Eternal Gear,97.96,40.8,AP,1.114,0.538,,,4,Void's Dust,71.56,55.9,AP,0.558,0.269,,,72,Secret Gem of Berserker,62.68,63.8,AP,2.604,,,,86,Berserker Monument,26.2,152.7,AP,0.475,,,,65,Magic Gem of Berserker,42,95.2,AP,0.231,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Forest,40,2.751,1.515,,42,Scarab of Wisdom,40.28,99.3,AP,1.767,1.041,,,18,Eternal Gear,47.51,84.2,AP,0.540,0.261,,,4,Void's Dust,56.8,70.4,AP,0.443,0.214,,,68,Secret Gem of Lancer,21.13,189.3,AP,0.773,,,,82,Lancer Monument,19.2,208.3,AP,0.349,,,,61,Magic Gem of Lancer,44.1,90.7,AP,0.223,,,,,,,,,,,,8900,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strange Hut,40,2.809,1.524,,39,Tearstone of Blood,52.43,76.3,AP,1.520,0.760,,,31,Divine Leyline Spiritron,48.2,83.0,AP,0.639,0.392,,,28,Soundless Bell,48.57,82.4,AP,0.650,0.372,,,71,Secret Gem of Assassin,52.3,76.5,AP,2.066,,,,85,Assassin Monument,21.3,187.8,AP,0.371,,,,64,Magic Gem of Assassin,68.2,58.7,AP,0.307,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
