Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Sector 1: Beg,40,0.610,0.374,,31,Divine Leyline Spiritron,46,87.0,AP,0.610,0.374,,,66,Secret Gem of Saber,4.74,843.9,AP,0.171,,,,59,Magic Gem of Saber,10.1,396.0,AP,0.057,,,,52,Gem of Saber,9.5,421.1,AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 1: Int,40,0.587,0.353,,23,Shell of Reminiscense,45.04,88.8,AP,0.587,0.353,,,63,Magic Gem of Caster,9.24,432.9,AP,0.040,,,,56,Gem of Caster,13.86,288.6,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 1: Adv,40,0.383,0.229,,16,Serpent Jewel,28.36,141.0,AP,0.383,0.229,,,65,Magic Gem of Berserker,20,200.0,AP,0.110,,,,58,Gem of Berserker,20,200.0,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 2: Torpedo,40,0.426,0.291,,3,Dragon Fang,61.34,65.2,AP,0.426,0.291,,,64,Magic Gem of Assassin,14.07,284.3,AP,0.063,,,,57,Gem of Assassin,16.1,248.4,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 2: Gunboat,40,1.068,0.617,,39,Tearstone of Blood,22.42,178.4,AP,0.650,0.325,,,20,Homunculus Baby,31.63,126.5,AP,0.418,0.292,,,63,Magic Gem of Caster,13.63,293.5,AP,0.060,,,,56,Gem of Caster,21.2,188.7,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 3: Destroyer,40,1.132,0.644,,37,Spirit Root,18.37,217.7,AP,0.732,0.357,,,7,Mystic Spinal Fluid,49.93,80.1,AP,0.401,0.287,,,66,Secret Gem of Saber,15.12,264.6,AP,0.545,,,,59,Magic Gem of Saber,16,250.0,AP,0.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 3: Light,40,1.173,0.652,,44,Cursed Beast Gallstone,19.59,204.2,AP,0.783,0.418,,,6,Deadly Poison Needle,46.61,85.8,AP,0.390,0.234,,,72,Secret Gem of Berserker,14.97,267.2,AP,0.622,,,,58,Gem of Berserker,25.2,158.7,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 4: Heavy,40,1.224,0.733,,48,Egg of Truth,20.14,198.6,AP,0.829,0.491,,,5,Fool's Chain,54.5,73.4,AP,0.395,0.242,,,68,Secret Gem of Lancer,9.86,405.7,AP,0.361,,,,61,Magic Gem of Lancer,15,266.7,AP,0.076,,,,54,Gem of Lancer,20.9,191.4,AP,0.044,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 4: Battle,40,1.210,0.730,,45,Mysterious Divine Wine,20,200.0,AP,0.699,0.398,,,14,Ghost Lantern,39.38,101.6,AP,0.512,0.332,,,69,Secret Gem of Rider,25.25,158.4,AP,0.641,,,,55,Gem of Rider,30.4,131.6,AP,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyss: Battleship,40,1.483,0.807,,43,Primordial Lanugo,29.67,134.8,AP,0.854,0.502,,,15,Octuplet Crystal,28.53,140.2,AP,0.372,0.181,,,4,Void's Dust,32.93,121.5,AP,0.257,0.124,,,60,Magic Gem of Archer,22.7,176.2,AP,0.111,,,,81,Archer Monument,25.6,156.3,AP,0.442,,,,65,Magic Gem of Berserker,7.8,512.8,AP,0.043,,,,,,,,,,,,,9400,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
