Location,AP,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,,Eff,,,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Mississippi River: Beg,30,0.207,0.116,,17,Phoenix Feather,10.43,287.6,AP,0.207,0.116,,,60,Magic Gem of Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi River: Int,35,0.312,0.227,,21,Meteor Horseshoes,22.1,158.4,AP,0.312,0.227,,,55,Gem of Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans,40,0.186,0.115,,2,Evil Bone,33.39,119.8,AP,0.186,0.115,,,57,Gem of Assassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,40,0.511,0.280,,13,Seed of Yggdrasil,25.87,154.6,AP,0.261,0.147,,,24,Refined Magatama,19.3,207.3,AP,0.250,0.133,,,59,Magic Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville,40,0.569,0.355,,26,Giant's Ring,21.55,185.6,AP,0.265,0.156,,,9,Mystic Gunpowder,39.95,100.1,AP,0.304,0.199,,,63,Magic Gem of Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,40,0.565,0.296,,41,Lamp of Evil-Sealing,14.4,277.8,AP,0.346,0.189,,,1,Proof of Hero,42.57,94.0,AP,0.219,0.107,,,65,Magic Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,40,1.006,0.568,,43,Primordial Lanugo,15.58,256.7,AP,0.449,0.264,,,22,Great Knight Medal,37.29,107.3,AP,0.557,0.305,,,61,Magic Gem of Lancer,,,,,,,,82,Lancer Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,40,0.901,0.587,,40,Black Beast Grease,18.13,220.6,AP,0.465,0.282,,,20,Homunculus Baby,33.06,121.0,AP,0.436,0.305,,,64,Magic Gem of Assassin,,,,,,,,85,Assassin Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6900,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City,40,0.961,0.531,,31,Divine Leyline Spiritron,33.41,119.7,AP,0.443,0.271,,,19,Forbidden Page,29.92,133.7,AP,0.518,0.259,,,63,Magic Gem of Caster,,,,,,,,84,Caster Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omaha,40,1.000,0.497,,46,Reactor Core of Dawn,22.16,180.5,AP,0.575,0.290,,,15,Octuplet Crystal,32.65,122.5,AP,0.425,0.207,,,65,Magic Gem of Berserker,,,,,,,,86,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
