!! Bronze Materials,
Proof of Hero,0
Evil Bone,0
Dragon Fang,349
Void's Dust,1363
Fool's Chain,962
Deadly Poison Needle,1812
Mystic Spinal Fluid,3821
Stake of Wailing Night,3767
Mystic Gunpowder,3802
Small Bell of Absolution,4672
Twilit Ritual Sword,1279
Obsidian Knife,0
Vestige of Madness,0
Ashes of Forgetfulness,1082
!! Silver Materials,
Seed of Yggdrasil,0
Ghost Lantern,33
Octuplet Crystal,0
Serpent Jewel,0
Phoenix Feather,8
Eternal Gear,0
Forbidden Page,0
Homunculus Baby,0
Meteor Horseshoes,0
Great Knight Medal,1831
Shell of Reminiscense,1629
Refined Magatama,2113
Eternal Ice,2751
Giant's Ring,1376
Aurora Steel,1328
Soundless Bell,1615
Arrowhead of Malice,1452
Crown of Silvery Light,1637
Divine Leyline Spiritron,2151
Ball of Rainbow Thread,2063
Scale of Fantasy,2270
Sun Leather,0
Ether Photon Converger,0
!! Gold Materials,
Claw of Chaos,429
Heart of the Foreign God,0
Dragon's Reverse Scale,325
Spirit Root,778
Warhorse's Young Horn,218
Tearstone of Blood,475
Black Beast Grease,291
Lamp of Evil-Sealing,422
Scarab of Wisdom,523
Primordial Lanugo,861
Cursed Beast Gallstone,0
Mysterious Divine Wine,468
Reactor Core of Dawn,1317
Tsukumo Mirror,1336
Egg of Truth,1221
Fragment of a Twinkling Star,1333
Fruit of Eternity,1419
Flaming Oni Lantern Plant,1303
!! Blue Gems,
Gem of Saber,0
Gem of Archer,0
Gem of Lancer,0
Gem of Rider,0
Gem of Caster,0
Gem of Assassin,0
Gem of Berserker,0
!! Red Gems,
Magic Gem of Saber,0
Magic Gem of Archer,0
Magic Gem of Lancer,0
Magic Gem of Rider,0
Magic Gem of Caster,0
Magic Gem of Assassin,0
Magic Gem of Berserker,0
!! Gold Gems,
Secret Gem of Saber,470
Secret Gem of Archer,0
Secret Gem of Lancer,0
Secret Gem of Rider,0
Secret Gem of Caster,107
Secret Gem of Assassin,0
Secret Gem of Berserker,0
!! Silver Statues,
Saber Piece,0
Archer Piece,0
Lancer Piece,0
Rider Piece,0
Caster Piece,0
Assassin Piece,0
Berserker Piece,0
!! Gold Statues,
Saber Monument,0
Archer Monument,0
Lancer Monument,0
Rider Monument,0
Caster Monument,0
Assassin Monument,0
Berserker Monument,0
!! 4* EXP,
Saber Blaze,0
