!! Bronze Materials,
Proof of Hero,0
Evil Bone,0
Dragon Fang,0
Void's Dust,0
Fool's Chain,0
Deadly Poison Needle,0
Mystic Spinal Fluid,1523
Stake of Wailing Night,2537
Mystic Gunpowder,3570
Small Bell of Absolution,4545
Twilit Ritual Sword,2484
Ashes of Forgetfulness,1712
Obsidian Knife,1305
Vestige of Madness,599
!! Silver Materials,
Seed of Yggdrasil,0
Ghost Lantern,0
Octuplet Crystal,0
Serpent Jewel,0
Phoenix Feather,267
Eternal Gear,0
Forbidden Page,0
Homunculus Baby,0
Meteor Horseshoes,0
Great Knight Medal,0
Shell of Reminiscence,488
Refined Magatama,1341
Eternal Ice,1944
Giant's Ring,0
Aurora Steel,1064
Soundless Bell,710
Arrowhead of Malice,283
Crown of Silvery Light,828
Divine Leyline Spiritron,994
Ball of Rainbow Thread,1080
Scale of Fantasy,2203
Sun Leather,357
Ether Photon Converger,540
Flower of the End,0
!! Gold Materials,
Claw of Chaos,0
Heart of the Foreign God,0
Dragon's Reverse Scale,0
Spirit Root,494
Warhorse's Young Horn,393
Tearstone of Blood,478
Black Beast Grease,562
Lamp of Evil-Sealing,624
Scarab of Wisdom,597
Primordial Lanugo,0
Cursed Beast Gallstone,87
Mysterious Divine Wine,0
Reactor Core of Dawn,711
Tsukumo Mirror,538
Egg of Truth,1423
Fragment of a Twinkling Star,167
Fruit of Eternity,228
Flaming Oni Lantern Plant,1186
Golden Cauldron,0
!! Blue Gems,
Gem of Saber,0
Gem of Archer,0
Gem of Lancer,0
Gem of Rider,0
Gem of Caster,0
Gem of Assassin,0
Gem of Berserker,0
!! Red Gems,
Magic Gem of Saber,0
Magic Gem of Archer,0
Magic Gem of Lancer,0
Magic Gem of Rider,0
Magic Gem of Caster,0
Magic Gem of Assassin,0
Magic Gem of Berserker,0
!! Gold Gems,
Secret Gem of Saber,0
Secret Gem of Archer,0
Secret Gem of Lancer,0
Secret Gem of Rider,0
Secret Gem of Caster,0
Secret Gem of Assassin,0
Secret Gem of Berserker,0
!! Silver Statues,
Saber Piece,0
Archer Piece,0
Lancer Piece,0
Rider Piece,0
Caster Piece,0
Assassin Piece,0
Berserker Piece,0
!! Gold Statues,
Saber Monument,0
Archer Monument,0
Lancer Monument,0
Rider Monument,0
Caster Monument,0
Assassin Monument,0
Berserker Monument,0
!! 4* EXP,
Saber Blaze,0
