!! Bronze Materials,
Proof of Hero,0
Evil Bone,209
Dragon Fang,507
Void's Dust,396
Fool's Chain,1340
Deadly Poison Needle,2103
Mystic Spinal Fluid,2716
Stake of Wailing Night,4066
Mystic Gunpowder,4416
Small Bell of Absolution,5030
Twilit Ritual Sword,2134
Ashes of Forgetfulness,1520
Obsidian Knife,981
Vestige of Madness,415
!! Silver Materials,
Seed of Yggdrasil,0
Ghost Lantern,296
Octuplet Crystal,0
Serpent Jewel,0
Phoenix Feather,268
Eternal Gear,0
Forbidden Page,0
Homunculus Baby,0
Meteor Horseshoes,0
Great Knight Medal,1478
Shell of Reminiscence,1630
Refined Magatama,2211
Eternal Ice,2808
Giant's Ring,1474
Aurora Steel,1424
Soundless Bell,991
Arrowhead of Malice,1601
Crown of Silvery Light,1744
Divine Leyline Spiritron,1283
Ball of Rainbow Thread,2321
Scale of Fantasy,2428
Sun Leather,203
Ether Photon Converger,202
Flower of the End,202
Universal Cube,3
!! Gold Materials,
Claw of Chaos,789
Heart of the Foreign God,0
Dragon's Reverse Scale,504
Spirit Root,830
Warhorse's Young Horn,327
Tearstone of Blood,672
Black Beast Grease,509
Lamp of Evil-Sealing,644
Scarab of Wisdom,583
Primordial Lanugo,1081
Cursed Beast Gallstone,97
Mysterious Divine Wine,596
Reactor Core of Dawn,1402
Tsukumo Mirror,1204
Egg of Truth,1376
Fragment of a Twinkling Star,1446
Fruit of Eternity,1468
Flaming Oni Lantern Plant,1462
Golden Cauldron,80
Moonlight Nucleus,3
!! Blue Gems,
Gem of Saber,0
Gem of Archer,0
Gem of Lancer,0
Gem of Rider,0
Gem of Caster,0
Gem of Assassin,0
Gem of Berserker,0
!! Red Gems,
Magic Gem of Saber,0
Magic Gem of Archer,0
Magic Gem of Lancer,0
Magic Gem of Rider,0
Magic Gem of Caster,0
Magic Gem of Assassin,0
Magic Gem of Berserker,0
!! Gold Gems,
Secret Gem of Saber,0
Secret Gem of Archer,0
Secret Gem of Lancer,0
Secret Gem of Rider,0
Secret Gem of Caster,0
Secret Gem of Assassin,0
Secret Gem of Berserker,0
!! Silver Statues,
Saber Piece,0
Archer Piece,0
Lancer Piece,0
Rider Piece,0
Caster Piece,0
Assassin Piece,0
Berserker Piece,0
!! Gold Statues,
Saber Monument,0
Archer Monument,0
Lancer Monument,0
Rider Monument,0
Caster Monument,0
Assassin Monument,0
Berserker Monument,0
!! 4* EXP,
Saber Blaze,0
